buyer_motivation_row_id,product_id,source_motivation_id,source_motivation_id_raw,motivation_batch_key,source_file,source_sheet,source_batch,import_version,source_sequence,buyer_situation,buyer_problem,buyer_desire,what_buyer_is_really_thinking,emotional_trigger,practical_trigger,buying_trigger,product_role,proof_from_product,best_formula,hook_direction,sample_hook,sample_subhook,sample_cta,why_it_can_sell
MWTCB_25ML__zip_csv__BM001,MWTCB_25ML,BM001,BM_001,2026-06-19_zip_csv__BM001,mwtcb_gemini_copywriting_landbank_csv.zip,Buyer_Motivation_Map,2026-06-19_zip_csv,2026-06-19_initial_landbank,1,Anak kecil menangis tengah malam,"Perut kembung / meragam, tak boleh tidur","Anak tenang cepat, mak bapak boleh rehat","""Aku dah mengantuk gila, tolonglah diam selesa.""",Penat / Stres melampau,Emergency midnight,Anak nangis non-stop,Hero penyelamat kecemasan,Formula Asli sejak 1958,PAS,Problem callout,"""Anak mula meragam pukul 2 pagi, waktu tu baru kau nak menggelimpang cari minyak?""","""Jangan tunggu anak melalak baru nak geledah almari. Sapu siap-siap.""",Tap Beg Kuning Standby,Menyentuh 'pain point' mak-mak yang kurang tidur.
MWTCB_25ML__zip_csv__BM002,MWTCB_25ML,BM002,BM_002,2026-06-19_zip_csv__BM002,mwtcb_gemini_copywriting_landbank_csv.zip,Buyer_Motivation_Map,2026-06-19_zip_csv,2026-06-19_initial_landbank,2,Memandu redah jem balik kerja,"Pinggang lenguh, tengkuk tegang menghadap stereng","Selesa memandu, tak rasa terseksa dalam kereta","""Sakitnya babi pinggang aku, jauh lagi nak sampai ni.""",Rimas / Marah,Driving strain,Jem melekat 2 jam,Standby atas dashboard,Botol 25ml muat cup holder,HSO,Use moment,"""Hadap jem dari KL ke Shah Alam, pinggang dah bunyi 'krak'. Kau ada benda ni?""","""Cap merah ni letak siap-siap atas dashboard. Tengkuk tegang terus rasa lega.""",Ambil Promo Kereta,Realiti harian pekerja korporat / komuter tegar.
MWTCB_25ML__zip_csv__BM003,MWTCB_25ML,BM003,BM_003,2026-06-19_zip_csv__BM003,mwtcb_gemini_copywriting_landbank_csv.zip,Buyer_Motivation_Map,2026-06-19_zip_csv,2026-06-19_initial_landbank,3,Mak ayah di kampung sakit lutut,"Sukar solat, kaki kerap kebas bila duduk","Nak rasa lutut ringan, boleh urus diri","""Kesian mak nak bangun solat pun terketar-ketar.""",Bersalah / Kasih sayang,Gifting for parents,Nak balik kampung,Hadiah berbakti yang biasa,Label Warisan Cap Burung,BAB,Family situation,"""Mak kat kampung tu kalau solat makin lama makin payah nak bangun. Jangan biarkan.""","""Bagi dia minyak yang dia memang kenal sejak kecil. Botol kaca hijau tradisi.""",Hantar Kat Mak Sekarang,Trigger emosi anak yang jauh dari orang tua.
MWTCB_25ML__zip_csv__BM004,MWTCB_25ML,BM004,BM_004,2026-06-19_zip_csv__BM004,mwtcb_gemini_copywriting_landbank_csv.zip,Buyer_Motivation_Map,2026-06-19_zip_csv,2026-06-19_initial_landbank,4,Simpan barang dalam beg travel,"Beg penuh, minyak saiz biasa pecah/tumpah","Minyak standby yang tak makan ruang, selamat","""Aku nak travel tapi kalau minyak ni tumpah habis baju aku.""",Risau beg kotor,Space saving,Packing kain baju,Travel companion,"Botol kaca hijau tebal, saiz 25ml",FAB,Small bottle practicality,"""Bawa minyak besar-besar dalam beg travel buat menyemak jer. Guna yang ni.""","""Saiz 25ml, kaca hijau tebal. Sumbat celah zip pun tak risau pecah atau tumpah.""",Beli Saiz Travel,Menjual fungsi praktikaliti saiz produk.
MWTCB_25ML__zip_csv__BM005,MWTCB_25ML,BM005,BM_005,2026-06-19_zip_csv__BM005,mwtcb_gemini_copywriting_landbank_csv.zip,Buyer_Motivation_Map,2026-06-19_zip_csv,2026-06-19_initial_landbank,5,Tok kerap mengadu angin dalam badan,"Sering sendawa tak lepas, perut sebu","Angin keluar cepat, badan rasa ringan","""Tok kalau masuk angin mula la bising satu rumah.""",Kasihan / Hormat,Eldercare,Orang tua merungut,Minyak rujukan warga emas,Petua Turun Temurun 1958,PASTOR,Nostalgia trigger,"""Orang tua kalau dah start sebu perut, dia tak cari ubat moden. Dia cari yang ni.""","""Minyak Hijau formula asli. Sekali urut, angin lama terus keluar bertubi-tubi.""",Borong Untuk Tok,Trust lama yang melekat pada golongan veteran.
MWTCB_25ML__zip_csv__BM006,MWTCB_25ML,BM006,BM_006,2026-06-19_zip_csv__BM006,mwtcb_gemini_copywriting_landbank_csv.zip,Buyer_Motivation_Map,2026-06-19_zip_csv,2026-06-19_initial_landbank,6,Lelaki harian kerja angkat barang,"Otot bahu kejang, lenguh urat",Boleh sambung kerja esok tanpa sakit,"""Kalau esok sakit, aku tak boleh cari duit.""",Takut hilang pendapatan,Occupational pain,Badan start sengal,Minyak relief malam,Formula tegang urat,PAS,Pain callout,"""Kerja angkat kotak sehari suntuk, malam ni confirm siksa tak boleh tidur.""","""Sapu sebelum tidur. Biar herba meresap, esok bangun badan fresh tak ada ketat.""",Klik Sini Untuk Stok,Sangat relevan untuk blue-collar workers.
MWTCB_25ML__zip_csv__BM007,MWTCB_25ML,BM007,BM_007,2026-06-19_zip_csv__BM007,mwtcb_gemini_copywriting_landbank_csv.zip,Buyer_Motivation_Map,2026-06-19_zip_csv,2026-06-19_initial_landbank,7,Geledah laci cari minyak tak jumpa,"Laci penuh barang random, minyak hilang",Nak satu minyak kecil khusus diletak tetap,"""Mana pergi minyak aku simpan hari tu? Waktu nak guna nilah hilang!""",Sakit hati / Panik,Drawer clutter,Emergency search,Fix lokasi standby,Botol 25ml senang selit,Problem/Moment,Laci/rak problem,"""Laci rumah kau penuh ubat tapi satu pun tak boleh pakai waktu kecemasan?""","""Cap merah ni senang cam. Letak satu dalam laci tv, satu dekat dapur.""",Dapatkan Set Rumah,"Menyelesaikan isu harian ""kehilangan barang"" di rumah."
MWTCB_25ML__zip_csv__BM008,MWTCB_25ML,BM008,BM_008,2026-06-19_zip_csv__BM008,mwtcb_gemini_copywriting_landbank_csv.zip,Buyer_Motivation_Map,2026-06-19_zip_csv,2026-06-19_initial_landbank,8,Riders hantar makanan bawah hujan,"Sendi sejuk, kaki kejang atas motor","Badan hangat semula, tak demam","""Sejuk gila babi urat aku redah hujan petang ni.""",Siksa / Gigil,Weather exposure,Basah lencun,Minyak panaskan urat,Formula Asli herba,HSO,Before need,"""Rider gigil atas motor redah hujan? Jangan sampai urat kaki kejang tengah jalan.""","""Sapu siap-siap kat betis sebelum sarung seluar hujan. Kekal hangat.""",Standby Satu Dalam Pouch,Target market spesifik (gig economy workers).
MWTCB_25ML__zip_csv__BM009,MWTCB_25ML,BM009,BM_009,2026-06-19_zip_csv__BM009,mwtcb_gemini_copywriting_landbank_csv.zip,Buyer_Motivation_Map,2026-06-19_zip_csv,2026-06-19_initial_landbank,9,Pengunjung nampak botol di TikTok feed,Rasa macam pernah tengok kat rumah nenek dulu,"Mengubati rindu, nak rasa bau herba kampung","""Eh, minyak ni! Arwah tok aku selalu simpan dalam almari dulu.""",Nostalgia tebal,Visual recognition,Scroll malam-malam,Memori masa kecil,Sejak 1958 & Cap Burung,Hook/Memory,Object recognition,"""Berhenti scroll! Kau ingat lagi tak minyak cap burung kat rumah tok dulu?""","""Bukan barang baru nak up. Formula asli sejak 1958 yang korang cari.""",Tengok Harga Gila,Memanfaatkan kuasa visual retro/vintage.
MWTCB_25ML__zip_csv__BM010,MWTCB_25ML,BM010,BM_010,2026-06-19_zip_csv__BM010,mwtcb_gemini_copywriting_landbank_csv.zip,Buyer_Motivation_Map,2026-06-19_zip_csv,2026-06-19_initial_landbank,10,Berdiri lama dalam LRT/Komuter,"Betis bengkak, kaki rasa menyucuk",Sembuh lenguh kaki dengan cepat,"""Sengsara betul berdiri sejam, rasa nak cabut kaki.""",Siksa / Lenguh,Commute fatigue,Kaki mula kebas,Relief lepas berdiri,Minyak hijau pekat,PAS,Use moment,"""Balik kerja kena berdiri tegak sejam dalam LRT? Kaki rasa nak luruh.""","""Balik rumah terus lumur minyak hijau ni. Rasa berdenyut tu hilang terus.""",Dapatkan Sekarang,Menyentuh isu pekerja bandar (urban pain).
MWTCB_25ML__zip_csv__BM011,MWTCB_25ML,BM011,BM_011,2026-06-19_zip_csv__BM011,mwtcb_gemini_copywriting_landbank_csv.zip,Buyer_Motivation_Map,2026-06-19_zip_csv,2026-06-19_initial_landbank,11,Suri rumah buat deep cleaning,Pinggang rasa patah lepas mop/kemas rumah,"Sakit hilang malam ni, esok boleh urus anak","""Baru kemas stor sikit pinggang dah rasa nak patah.""",Penat fizikal,Household chores,Selesai kerja rumah,Ubat malam mak-mak,Formula herba pekat,Hook/Family,Mak-mak hook,"""Suri rumah kalau dah start mengemas, malam confirm mengaduh sakit pinggang.""","""Jangan biar malam kau tersiksa. Sapu minyak cap burung ni, herba asli serap dalam.""",Beli Untuk Isteri,Menyasarkan golongan suami untuk belikan bagi isteri.
MWTCB_25ML__zip_csv__BM012,MWTCB_25ML,BM012,BM_012,2026-06-19_zip_csv__BM012,mwtcb_gemini_copywriting_landbank_csv.zip,Buyer_Motivation_Map,2026-06-19_zip_csv,2026-06-19_initial_landbank,12,Pembeli impulse tengok harga murah,"Nak cuba sebab nampak senang, harga mampu milik","Tak rugi mencuba, barang murah janji berkesan","""Murah sangat ni, beli tiga terus buat letak merata tempat.""",Suka jimat,Low financial risk,Live streaming,Stok borong murah,Pembelian multi-buy,SLAP,TikTok Shop trigger,"""Harga murah gila, tak payah fikir dua kali. Guna kupon terus sauk 3 botol.""","""Satu letak beg, satu kereta, satu ruang tamu. Tak rugi standby barang lama.""",Tap Beg Kuning,Conversion laju untuk produk bawah RM20.
MWTCB_25ML__zip_csv__BM013,MWTCB_25ML,BM013,BM_013,2026-06-19_zip_csv__BM013,mwtcb_gemini_copywriting_landbank_csv.zip,Buyer_Motivation_Map,2026-06-19_zip_csv,2026-06-19_initial_landbank,13,Ahli sukan/Gym harian tegang otot,Otot biceps/peha rasa keras lepas workout,"Recovery urat cepat, tak mengganggu jadual","""DOMS kuat sangat ni, nak gerak pun susah.""",Lenguh / Sakit,Fitness recovery,Lepas bersukan,Minyak urut otot,Formula meresap,FAB,Use moment,"""Otot ketat gila lepas layan leg day? Jangan biar esok jalan kengkang.""","""Minyak hijau ni herba dia pekat, urut sikit kat muscle terus rasa loose.""",Ambil Stok Gym,Mengalihkan target herba tradisional ke industri moden.
