subhook_id,product_id,hook_id,angle_id,motivation_id,subhook_text,subhook_role,boldness_level,buyer_stage,persona_fit,primary_bucket,usage_context,sales_mechanism,proof_direction,visual_support,source_batch,subhook_status
MWTCB_SUBHOOK_001,MWTCB_25ML,MWTCB_HOOK_001,MWTCB_ANG_001,MWTCB_25ML__xlsx__BM001,Minyak hijau cap merah ni simpan siap-siap dalam laci bilik tidur.,situation reason,AGGRESSIVE,cold_scroll,universal_household,STANDBY_BEFORE_NEED,rumah,before_need_preparation,situation match,show bottle placement in drawer/bag,2026-06-19_part3_6_copy_components,draft
MWTCB_SUBHOOK_002,MWTCB_25ML,MWTCB_HOOK_002,MWTCB_ANG_001,MWTCB_25ML__xlsx__BM001,Minyak Cap Burung dengan formula herba asli 1958 untuk melegakan perut kembung anak.,trust cue,AGGRESSIVE,cold_scroll,universal_household,STANDBY_BEFORE_NEED,rumah,before_need_preparation,heritage proof,close up of retro label,2026-06-19_part3_6_copy_components,draft
MWTCB_SUBHOOK_003,MWTCB_25ML,MWTCB_HOOK_003,MWTCB_ANG_001,MWTCB_25ML__xlsx__BM001,Sebab tu kena standby botol kecil 25ml ni dekat dalam laci kecemasan rumah.,storage cue,AGGRESSIVE,cold_scroll,universal_household,STANDBY_BEFORE_NEED,rumah,before_need_preparation,practical proof,show pocket/glove box fit,2026-06-19_part3_6_copy_components,draft
MWTCB_SUBHOOK_004,MWTCB_25ML,MWTCB_HOOK_004,MWTCB_ANG_002,MWTCB_25ML__xlsx__BM001,Botol kecil 25ml ni senang selit dekat celah laci dapur.,situation reason,MODERATE,cold_scroll,universal_household,STANDBY_BEFORE_NEED,rumah,before_need_preparation,situation match,show bottle placement in drawer/bag,2026-06-19_part3_6_copy_components,draft
MWTCB_SUBHOOK_005,MWTCB_25ML,MWTCB_HOOK_005,MWTCB_ANG_002,MWTCB_25ML__xlsx__BM001,Minyak Cap Burung dengan formula herba asli 1958 untuk melegakan lenguh sendi bekerja di dapur.,trust cue,MODERATE,cold_scroll,universal_household,STANDBY_BEFORE_NEED,rumah,before_need_preparation,heritage proof,close up of retro label,2026-06-19_part3_6_copy_components,draft
MWTCB_SUBHOOK_006,MWTCB_25ML,MWTCB_HOOK_006,MWTCB_ANG_002,MWTCB_25ML__xlsx__BM001,Sebab tu kena standby botol kecil 25ml ni dekat dalam laci kecemasan rumah.,storage cue,MODERATE,cold_scroll,universal_household,STANDBY_BEFORE_NEED,rumah,before_need_preparation,practical proof,show pocket/glove box fit,2026-06-19_part3_6_copy_components,draft
MWTCB_SUBHOOK_007,MWTCB_25ML,MWTCB_HOOK_007,MWTCB_ANG_003,MWTCB_25ML__xlsx__BM001,Satu rumah patut ada sekurang-kurangnya satu botol standby.,standby cue,BOLD,cold_scroll,universal_household,STANDBY_BEFORE_NEED,rumah,before_need_preparation,situation match,show bottle placement in drawer/bag,2026-06-19_part3_6_copy_components,draft
MWTCB_SUBHOOK_008,MWTCB_25ML,MWTCB_HOOK_008,MWTCB_ANG_003,MWTCB_25ML__xlsx__BM001,Minyak Cap Burung dengan formula herba asli 1958 untuk melegakan lenguh-lenguh-badan.,trust cue,BOLD,cold_scroll,universal_household,STANDBY_BEFORE_NEED,rumah,before_need_preparation,heritage proof,close up of retro label,2026-06-19_part3_6_copy_components,draft
MWTCB_SUBHOOK_009,MWTCB_25ML,MWTCB_HOOK_009,MWTCB_ANG_003,MWTCB_25ML__xlsx__BM001,Sebab tu kena standby botol kecil 25ml ni dekat dalam laci kecemasan rumah.,storage cue,BOLD,cold_scroll,universal_household,STANDBY_BEFORE_NEED,rumah,before_need_preparation,practical proof,show pocket/glove box fit,2026-06-19_part3_6_copy_components,draft
MWTCB_SUBHOOK_010,MWTCB_25ML,MWTCB_HOOK_010,MWTCB_ANG_004,MWTCB_25ML__xlsx__BM002,Sebab tu botol kecil ni kena ada sentiasa atas meja kerja.,situation reason,BOLD,warm_interest,universal_household,STANDBY_BEFORE_NEED,laci,fear_of_not_having,situation match,show bottle placement in drawer/bag,2026-06-19_part3_6_copy_components,draft
MWTCB_SUBHOOK_011,MWTCB_25ML,MWTCB_HOOK_011,MWTCB_ANG_004,MWTCB_25ML__xlsx__BM002,Minyak Cap Burung dengan formula herba asli 1958 untuk melegakan tengkuk kaku lenguh leher.,trust cue,BOLD,warm_interest,universal_household,STANDBY_BEFORE_NEED,laci,fear_of_not_having,heritage proof,close up of retro label,2026-06-19_part3_6_copy_components,draft
MWTCB_SUBHOOK_012,MWTCB_25ML,MWTCB_HOOK_012,MWTCB_ANG_004,MWTCB_25ML__xlsx__BM002,Sebab tu kena standby botol kecil 25ml ni dekat dalam laci kecemasan rumah.,storage cue,BOLD,warm_interest,universal_household,STANDBY_BEFORE_NEED,laci,fear_of_not_having,practical proof,show pocket/glove box fit,2026-06-19_part3_6_copy_components,draft
MWTCB_SUBHOOK_013,MWTCB_25ML,MWTCB_HOOK_013,MWTCB_ANG_005,MWTCB_25ML__xlsx__BM002,"Letak sebiji tepi katil, capai saja tanpa buka mata.",situation reason,SOFT,warm_interest,universal_household,STANDBY_BEFORE_NEED,laci,fear_of_not_having,situation match,show bottle placement in drawer/bag,2026-06-19_part3_6_copy_components,draft
MWTCB_SUBHOOK_014,MWTCB_25ML,MWTCB_HOOK_014,MWTCB_ANG_005,MWTCB_25ML__xlsx__BM002,Minyak Cap Burung dengan formula herba asli 1958 untuk melegakan lenguh-lenguh-badan.,trust cue,SOFT,warm_interest,universal_household,STANDBY_BEFORE_NEED,laci,fear_of_not_having,heritage proof,close up of retro label,2026-06-19_part3_6_copy_components,draft
MWTCB_SUBHOOK_015,MWTCB_25ML,MWTCB_HOOK_015,MWTCB_ANG_005,MWTCB_25ML__xlsx__BM002,Sebab tu kena standby botol kecil 25ml ni dekat dalam laci kecemasan rumah.,storage cue,SOFT,warm_interest,universal_household,STANDBY_BEFORE_NEED,laci,fear_of_not_having,practical proof,show pocket/glove box fit,2026-06-19_part3_6_copy_components,draft
MWTCB_SUBHOOK_016,MWTCB_25ML,MWTCB_HOOK_016,MWTCB_ANG_006,MWTCB_25ML__xlsx__BM002,Standby botol kecil Cap Burung tepi bantal untuk sapuan pantas.,standby cue,AGGRESSIVE,warm_interest,universal_household,STANDBY_BEFORE_NEED,laci,fear_of_not_having,situation match,show bottle placement in drawer/bag,2026-06-19_part3_6_copy_components,draft
