buyer_motivation_row_id,product_id,source_motivation_id,source_motivation_id_raw,motivation_batch_key,source_file,source_sheet,source_batch,import_version,source_sequence,buyer_situation,buyer_problem,buyer_desire,what_buyer_is_really_thinking,emotional_trigger,practical_trigger,buying_trigger,product_role,proof_from_product,best_formula,hook_direction,sample_hook,sample_subhook,sample_cta,why_it_can_sell
MWTCB_25ML__xlsx__BM001,MWTCB_25ML,BM001,BM001,2026-06-19_xlsx__BM001,mwtcb_copywriting_landbank.xlsx,Buyer Motivation Map,2026-06-19_xlsx,2026-06-19_initial_landbank,1,Rumah tak ada minyak standby,Bila badan tak selesa baru kelam-kabut cari minyak,Nak rumah sentiasa lengkap,“Aku patut ada benda ni sebelum kecoh.”,Takut tak bersedia,Simpan satu di rumah,Need-before-need,Barang standby wajib rumah,"Botol kecil, minyak tradisional, label warisan",PAS,standby rumah,Jangan tunggu badan buat hal baru tercari-cari.,Satu rumah patut ada minyak standby macam ni.,"Tap sekarang, standby satu botol di rumah.",Menjual kerana ia tekan rasa “rumah belum lengkap”.
MWTCB_25ML__xlsx__BM002,MWTCB_25ML,BM002,BM002,2026-06-19_xlsx__BM002,mwtcb_copywriting_landbank.xlsx,Buyer Motivation Map,2026-06-19_xlsx,2026-06-19_initial_landbank,2,Badan tiba-tiba rasa tak sedap,Masalah datang tanpa warning,Nak cepat capai sesuatu yang familiar,"“Masa perlu, aku tak nak cari merata.”",Panik kecil,Mudah letak dekat laci atau tepi katil,Urgency moment,First grab item bila perlu,"Botol kecil, mudah simpan",Problem/Moment/Standby/CTA,badan buat hal,Badan tak bagi notis sebelum buat perangai.,Sebab tu botol kecil ni kena duduk dekat-dekat.,"Check harga sekarang, jangan tunggu perlu.",Situasi sangat real dan mudah dibayangkan.
MWTCB_25ML__xlsx__BM003,MWTCB_25ML,BM003,BM003,2026-06-19_xlsx__BM003,mwtcb_copywriting_landbank.xlsx,Buyer Motivation Map,2026-06-19_xlsx,2026-06-19_initial_landbank,3,Mak ayah biasa simpan minyak macam ni,Anak muda lupa barang asas rumah,Nak ikut habit orang tua yang praktikal,“Mak ayah dulu simpan sebab benda ni berguna.”,Rasa hormat pada petua lama,Satu botol untuk almari rumah,Nostalgia trust,Minyak keluarga turun-temurun,"Petua Turun Temurun, Sejak 1958",Hook/Memory/Trust/CTA,mak ayah habit,Mak ayah kita bukan saja-saja simpan minyak macam ni.,Benda kecil ni selalu dicari bila rumah mula kecoh.,"Order sekarang, buat rumah kau lengkap.",Gabung nostalgia dengan practical reason.
MWTCB_25ML__xlsx__BM004,MWTCB_25ML,BM004,BM004,2026-06-19_xlsx__BM004,mwtcb_copywriting_landbank.xlsx,Buyer Motivation Map,2026-06-19_xlsx,2026-06-19_initial_landbank,4,Balik kampung nak bawa sesuatu untuk orang rumah,Hadiah biasa terlalu random,Nak bawa barang yang mak ayah kenal dan guna,"“Kalau aku bawa ni, orang rumah faham fungsi dia.”",Kasih sayang keluarga,Mudah masuk beg balik kampung,Gifting trigger,Hadiah kecil yang berguna,"Label warisan, logo burung, look old-school",AIDA,balik kampung,Balik kampung jangan bawa tangan kosong yang tak berguna.,Bawa benda yang mak ayah boleh cam dan pakai.,"Tap beli, bawa balik untuk orang rumah.","Menjual sebagai practical gift, bukan hadiah hiasan."
MWTCB_25ML__xlsx__BM005,MWTCB_25ML,BM005,BM005,2026-06-19_xlsx__BM005,mwtcb_copywriting_landbank.xlsx,Buyer Motivation Map,2026-06-19_xlsx,2026-06-19_initial_landbank,5,Rumah penuh barang besar,Botol besar menyemak dan jarang dibawa,Nak barang kecil tapi berguna,“Aku nak benda yang tak makan ruang.”,Rimas rumah semak,25ml mudah simpan,Convenience trigger,Minyak kecil serbaguna,Botol kecil 25ml,FAB,botol kecil praktikal,Botol besar menyemak. Botol kecil ni masuk mana-mana.,"Laci, beg, kereta — semua boleh standby.","Ambil 3 botol, letak tempat berbeza.",Saiz kecil justify multi-buy.
MWTCB_25ML__xlsx__BM006,MWTCB_25ML,BM006,BM006,2026-06-19_xlsx__BM006,mwtcb_copywriting_landbank.xlsx,Buyer Motivation Map,2026-06-19_xlsx,2026-06-19_initial_landbank,6,Laci rumah penuh benda random,Barang penting pula tak ada,Nak laci standby yang betul-betul berguna,"“Daripada simpan sampah, baik simpan benda perlu.”",Rasa bersalah rumah tak teratur,Muat dalam laci kecil,Home organisation trigger,Barang wajib laci rumah,"Botol kecil, cap merah senang cam",SLAP,laci rumah,"Laci rumah penuh benda random, tapi minyak standby tak ada?",Botol kecil ni jenis barang yang baru nampak penting bila perlu.,"Tap sekarang, masuk satu dalam laci.",Menyerang habit rumah yang ramai orang relate.
MWTCB_25ML__xlsx__BM007,MWTCB_25ML,BM007,BM007,2026-06-19_xlsx__BM007,mwtcb_copywriting_landbank.xlsx,Buyer Motivation Map,2026-06-19_xlsx,2026-06-19_initial_landbank,7,Drive jauh / roadtrip,"Pening, loya, badan tak selesa boleh kacau perjalanan",Nak travel tanpa rasa helpless,"“Kalau jadi apa-apa dalam kereta, aku ada standby.”",Takut perjalanan rosak,Simpan satu dalam kereta,Travel prep trigger,Minyak standby kereta,"Botol kecil, mudah simpan kereta",PAS,kereta standby,Roadtrip boleh jadi neraka bila badan mula tak sedap.,Satu botol kecil dalam kereta boleh jadi penyelamat mood.,"Tap beli, letak satu dalam kereta.",Travel pain kuat dan mudah convert.
MWTCB_25ML__xlsx__BM008,MWTCB_25ML,BM008,BM008,2026-06-19_xlsx__BM008,mwtcb_copywriting_landbank.xlsx,Buyer Motivation Map,2026-06-19_xlsx,2026-06-19_initial_landbank,8,Beg harian kosong daripada barang penting,Bila luar rumah baru terasa perlu,Nak rasa ready bila keluar,“Aku tak nak menyesal sebab benda kecil pun tak bawa.”,Anxiety bila jauh dari rumah,Muat pouch dan handbag,Everyday carry trigger,Minyak EDC keluarga,"Botol kecil, cap merah senang cari",Hook/Use Moment/CTA,beg wajib,"Ada barang yang patut duduk dalam beg, bukan tunggu rumah.",Botol kecil ni memang jenis barang ‘just in case’.,Masukkan satu dalam cart sekarang.,Mendorong impulse buy sebab mudah dibayangkan.
MWTCB_25ML__xlsx__BM009,MWTCB_25ML,BM009,BM009,2026-06-19_xlsx__BM009,mwtcb_copywriting_landbank.xlsx,Buyer Motivation Map,2026-06-19_xlsx,2026-06-19_initial_landbank,9,Travel bag nampak lengkap tapi tiada minyak,Trip boleh terganggu oleh benda kecil,Nak kit perjalanan yang betul lengkap,"“Powerbank ada, minyak standby tak ada pula.”",Takut trip rosak,Travel size,Packing checklist trigger,Travel oil wajib,Botol kecil 25ml,4U,travel reminder,"Powerbank kau ingat, minyak standby kau lupa?","Bila badan buat hal masa travel, baru terasa bodoh tak bawa.",Tap sekarang sebelum trip seterusnya.,Kontras moden vs tradisi buat hook tajam.
MWTCB_25ML__xlsx__BM010,MWTCB_25ML,BM010,BM010,2026-06-19_xlsx__BM010,mwtcb_copywriting_landbank.xlsx,Buyer Motivation Map,2026-06-19_xlsx,2026-06-19_initial_landbank,10,Orang Melayu familiar dengan minyak sapu,Produk tak perlu explain panjang,Nak beli sesuatu yang terasa dekat,“Aku tahu vibe minyak ni.”,Familiarity comfort,Visual tradisional,Recognition trigger,Minyak sapu yang mudah diterima,"Minyak hijau, cap merah, label burung",AIDA,familiar Melayu,Sekali tengok dah tahu — ini bukan produk pelik-pelik.,Vibe minyak lama yang rumah Melayu memang kenal.,Check produk sekarang.,"Low education barrier, mudah close."
