source_batch,source_file,source_sheet,import_version,source_sequence,source_motivation_id,buyer_motivation_row_id,rank,reason
2026-06-19_xlsx,mwtcb_copywriting_landbank.xlsx,Top 15 Expand,2026-06-19_initial_landbank,1,BM014,MWTCB_25ML__xlsx__BM014,1,"Multi-buy logic paling jelas: rumah, kereta, beg. Terus naikkan AOV."
2026-06-19_xlsx,mwtcb_copywriting_landbank.xlsx,Top 15 Expand,2026-06-19_initial_landbank,2,BM015,MWTCB_25ML__xlsx__BM015,2,“Jangan tunggu perlu baru cari” ialah direct-response core trigger.
2026-06-19_xlsx,mwtcb_copywriting_landbank.xlsx,Top 15 Expand,2026-06-19_initial_landbank,3,BM001,MWTCB_25ML__xlsx__BM001,3,Rumah wajib ada barang standby. Broadest household angle.
2026-06-19_xlsx,mwtcb_copywriting_landbank.xlsx,Top 15 Expand,2026-06-19_initial_landbank,4,BM030,MWTCB_25ML__xlsx__BM030,4,“Sejak 1958” jadi trust weapon yang tak nampak generic.
2026-06-19_xlsx,mwtcb_copywriting_landbank.xlsx,Top 15 Expand,2026-06-19_initial_landbank,5,BM007,MWTCB_25ML__xlsx__BM007,5,Roadtrip/kereta ada pain jelas dan visual scene kuat.
2026-06-19_xlsx,mwtcb_copywriting_landbank.xlsx,Top 15 Expand,2026-06-19_initial_landbank,6,BM026,MWTCB_25ML__xlsx__BM026,6,"Mak-mak buyer kuat, practical, cepat faham, tinggi conversion."
2026-06-19_xlsx,mwtcb_copywriting_landbank.xlsx,Top 15 Expand,2026-06-19_initial_landbank,7,BM018,MWTCB_25ML__xlsx__BM018,7,Rumah tok nostalgia kuat untuk stop scroll dan emotional stickiness.
2026-06-19_xlsx,mwtcb_copywriting_landbank.xlsx,Top 15 Expand,2026-06-19_initial_landbank,8,BM058,MWTCB_25ML__xlsx__BM058,8,TikTok impulse buyer: tak plan beli tapi rasa wajib ada.
2026-06-19_xlsx,mwtcb_copywriting_landbank.xlsx,Top 15 Expand,2026-06-19_initial_landbank,9,BM012,MWTCB_25ML__xlsx__BM012,9,Cap merah + minyak hijau kuat untuk product-only stop-scroll.
2026-06-19_xlsx,mwtcb_copywriting_landbank.xlsx,Top 15 Expand,2026-06-19_initial_landbank,10,BM049,MWTCB_25ML__xlsx__BM049,10,Perut mula buat hal ialah use moment yang sangat familiar.
2026-06-19_xlsx,mwtcb_copywriting_landbank.xlsx,Top 15 Expand,2026-06-19_initial_landbank,11,BM021,MWTCB_25ML__xlsx__BM021,11,Repeat purchase + stock-up angle.
2026-06-19_xlsx,mwtcb_copywriting_landbank.xlsx,Top 15 Expand,2026-06-19_initial_landbank,12,BM036,MWTCB_25ML__xlsx__BM036,12,"Satu botol cepat lesap, push bundle tanpa nampak memaksa."
2026-06-19_xlsx,mwtcb_copywriting_landbank.xlsx,Top 15 Expand,2026-06-19_initial_landbank,13,BM009,MWTCB_25ML__xlsx__BM009,13,"Travel checklist angle: powerbank ingat, minyak lupa."
2026-06-19_xlsx,mwtcb_copywriting_landbank.xlsx,Top 15 Expand,2026-06-19_initial_landbank,14,BM056,MWTCB_25ML__xlsx__BM056,14,Trust cue “Sejak 1958” sebagai product page dan poster headline.
2026-06-19_xlsx,mwtcb_copywriting_landbank.xlsx,Top 15 Expand,2026-06-19_initial_landbank,15,BM035,MWTCB_25ML__xlsx__BM035,15,“Bukan untuk show off. Untuk ada bila perlu.” Sangat sharp dan commercial.
