source_batch,source_file,source_sheet,import_version,source_sequence,source_motivation_id,buyer_motivation_row_id,status,reason
2026-06-19_xlsx,mwtcb_copywriting_landbank.xlsx,Park Later,2026-06-19_initial_landbank,1,BM041,MWTCB_25ML__xlsx__BM041,PARK,After-activity angle boleh jadi terlalu generic kalau tak ada scene spesifik.
2026-06-19_xlsx,mwtcb_copywriting_landbank.xlsx,Park Later,2026-06-19_initial_landbank,2,BM032,MWTCB_25ML__xlsx__BM032,PARK,"Formula asli bagus sebagai proof chip, tapi kurang kuat sebagai main motivation."
2026-06-19_xlsx,mwtcb_copywriting_landbank.xlsx,Park Later,2026-06-19_initial_landbank,3,BM033,MWTCB_25ML__xlsx__BM033,PARK,"Logo burung bagus untuk recall, bukan sales driver utama."
2026-06-19_xlsx,mwtcb_copywriting_landbank.xlsx,Park Later,2026-06-19_initial_landbank,4,BM034,MWTCB_25ML__xlsx__BM034,PARK,"Botol kaca hijau cantik untuk product-only, tapi bukan enough untuk full angle."
2026-06-19_xlsx,mwtcb_copywriting_landbank.xlsx,Park Later,2026-06-19_initial_landbank,5,BM039,MWTCB_25ML__xlsx__BM039,PARK,Open house angle seasonal. Guna bila campaign raya/kenduri/family event.
2026-06-19_xlsx,mwtcb_copywriting_landbank.xlsx,Park Later,2026-06-19_initial_landbank,6,BM040,MWTCB_25ML__xlsx__BM040,PARK,"Cuaca hujan/lemau seasonal. Bagus untuk timing tertentu, bukan evergreen utama."
2026-06-19_xlsx,mwtcb_copywriting_landbank.xlsx,Park Later,2026-06-19_initial_landbank,7,BM043,MWTCB_25ML__xlsx__BM043,PARK,"Copycat differentiation boleh guna, tapi jangan jadikan main story terlalu awal."
2026-06-19_xlsx,mwtcb_copywriting_landbank.xlsx,Park Later,2026-06-19_initial_landbank,8,BM054,MWTCB_25ML__xlsx__BM054,PARK,"Corner barang perlu bagus untuk carousel/product page, kurang punchy untuk cold ads."
2026-06-19_xlsx,mwtcb_copywriting_landbank.xlsx,Park Later,2026-06-19_initial_landbank,9,BM055,MWTCB_25ML__xlsx__BM055,PARK,"Rumah bandar/rasa kampung emotional, tapi kurang direct conversion berbanding rumah tok atau Sejak 1958."
2026-06-19_xlsx,mwtcb_copywriting_landbank.xlsx,Park Later,2026-06-19_initial_landbank,10,BM060,MWTCB_25ML__xlsx__BM060,PARK,"Local identity bagus sebagai brand layer, bukan direct-response hook utama."
