video_matrix_id,product_id,motivation_id,angle_id,hook_id,subhook_id,usp_id,cta_id,angle_name,hook_text,subhook_text,usp_text,cta_text,primary_bucket,secondary_bucket,angle_family,hook_family,buyer_stage,persona_fit,boldness_level,usage_context,sales_mechanism,best_content_format,platform_surface_fit,video_format,video_duration_fit,scene_direction,opening_visual,product_role,proof_visual,cta_delivery,dialogue_language,copy_tone,raw_claim_tolerance,production_review_required,notion_row_fit,creative_notes,source_batch,matrix_status
MWTCB_VIDMAT_001,MWTCB_25ML,MWTCB_25ML__xlsx__BM001,MWTCB_ANG_001,MWTCB_HOOK_001,MWTCB_SUBHOOK_001,MWTCB_USP_001,MWTCB_CTA_001,Kecemasan Anak Tengah Malam,Anak melalak pukul 2 pagi baru kau kalut nak cari minyak?,Minyak hijau cap merah ni simpan siap-siap dalam laci bilik tidur.,Formula asli herba turun-temurun sejak 1958.,Tap beg kuning sekarang untuk standby.,STANDBY_BEFORE_NEED,FAMILY_HOME,standby_before_need,standby_before_need,cold_scroll,universal_household,AGGRESSIVE,rumah,before_need_preparation,hybrid_video,poster_ads,product_only_video,6s,Visual bermula dengan: Tangan gelabah mencari botol di dalam laci kecemasan malam-malam. Kemudian beralih ke scene: Close-up jam dinding menunjukkan pukul 2:30 pagi. Ibu dengan cemas menggeledah laci meja melegakan anak dengan minyak cap merah. Seterusnya tunjukkan sapuan minyak hijau secara dekat.,Tangan gelabah mencari botol di dalam laci kecemasan malam-malam.,Standby item kecemasan rumah yang sedia digunakan bila-bila masa.,Close up botol retro cap merah. Tunjukkan teks USP: Formula asli herba turun-temurun sejak 1958..,Overlay teks beg kuning TikTok Shop berkelip dengan anak panah menunjuk ke bawah.,Bahasa Melayu,"vernakular Melayu, aggressive",HIGH,YES,MWTCB_VID_STANDBY_BEFORE_NEED_AGGRESSIVE,Maps to hook style problem_hook and angle mechanism before_need_preparation,2026-06-19_part7_poster_video_matrix,draft
MWTCB_VIDMAT_002,MWTCB_25ML,MWTCB_25ML__xlsx__BM001,MWTCB_ANG_001,MWTCB_HOOK_002,MWTCB_SUBHOOK_002,MWTCB_USP_001,MWTCB_CTA_001,Kecemasan Anak Tengah Malam,POV: Beli siap-siap sebab anak mula meragam atau kembung perut pukul 2 pagi ketika semua farmasi sudah tutup.,Minyak Cap Burung dengan formula herba asli 1958 untuk melegakan perut kembung anak.,Formula asli herba turun-temurun sejak 1958.,Tap beg kuning sekarang untuk standby.,STANDBY_BEFORE_NEED,FAMILY_HOME,standby_before_need,standby_before_need,cold_scroll,universal_household,AGGRESSIVE,rumah,before_need_preparation,hybrid_video,poster_ads,POV_scene,20s,Visual bermula dengan: Tangan gelabah mencari botol di dalam laci kecemasan malam-malam. Kemudian beralih ke scene: Close-up jam dinding menunjukkan pukul 2:30 pagi. Ibu dengan cemas menggeledah laci meja melegakan anak dengan minyak cap merah. Seterusnya tunjukkan sapuan minyak hijau secara dekat.,Tangan gelabah mencari botol di dalam laci kecemasan malam-malam.,Standby item kecemasan rumah yang sedia digunakan bila-bila masa.,Close up botol retro cap merah. Tunjukkan teks USP: Formula asli herba turun-temurun sejak 1958..,Overlay teks beg kuning TikTok Shop berkelip dengan anak panah menunjuk ke bawah.,Bahasa Melayu,"vernakular Melayu, aggressive",HIGH,YES,MWTCB_VID_STANDBY_BEFORE_NEED_AGGRESSIVE,Maps to hook style POV_hook and angle mechanism before_need_preparation,2026-06-19_part7_poster_video_matrix,draft
MWTCB_VIDMAT_003,MWTCB_25ML,MWTCB_25ML__xlsx__BM001,MWTCB_ANG_001,MWTCB_HOOK_003,MWTCB_SUBHOOK_003,MWTCB_USP_001,MWTCB_CTA_001,Kecemasan Anak Tengah Malam,Jangan tunggu sampai anak mula meragam atau kembung perut pukul 2 pagi ketika semua farmasi sudah tutup baru sibuk nak cari minyak!,Sebab tu kena standby botol kecil 25ml ni dekat dalam laci kecemasan rumah.,Formula asli herba turun-temurun sejak 1958.,Tap beg kuning sekarang untuk standby.,STANDBY_BEFORE_NEED,FAMILY_HOME,standby_before_need,standby_before_need,cold_scroll,universal_household,AGGRESSIVE,rumah,before_need_preparation,hybrid_video,poster_ads,hybrid_video,20s,Visual bermula dengan: Tangan gelabah mencari botol di dalam laci kecemasan malam-malam. Kemudian beralih ke scene: Close-up jam dinding menunjukkan pukul 2:30 pagi. Ibu dengan cemas menggeledah laci meja melegakan anak dengan minyak cap merah. Seterusnya tunjukkan sapuan minyak hijau secara dekat.,Tangan gelabah mencari botol di dalam laci kecemasan malam-malam.,Standby item kecemasan rumah yang sedia digunakan bila-bila masa.,Close up botol retro cap merah. Tunjukkan teks USP: Formula asli herba turun-temurun sejak 1958..,Overlay teks beg kuning TikTok Shop berkelip dengan anak panah menunjuk ke bawah.,Bahasa Melayu,"vernakular Melayu, aggressive",HIGH,YES,MWTCB_VID_STANDBY_BEFORE_NEED_AGGRESSIVE,Maps to hook style warning_hook and angle mechanism before_need_preparation,2026-06-19_part7_poster_video_matrix,draft
MWTCB_VIDMAT_004,MWTCB_25ML,MWTCB_25ML__xlsx__BM001,MWTCB_ANG_001,MWTCB_HOOK_001,MWTCB_SUBHOOK_002,MWTCB_USP_002,MWTCB_CTA_001,Kecemasan Anak Tengah Malam,Anak melalak pukul 2 pagi baru kau kalut nak cari minyak?,Minyak Cap Burung dengan formula herba asli 1958 untuk melegakan perut kembung anak.,Sediaan herba asli tradisional untuk standby keluarga.,Tap beg kuning sekarang untuk standby.,STANDBY_BEFORE_NEED,FAMILY_HOME,standby_before_need,standby_before_need,cold_scroll,universal_household,AGGRESSIVE,rumah,before_need_preparation,hybrid_video,poster_ads,product_only_video,6s,Visual bermula dengan: Tangan gelabah mencari botol di dalam laci kecemasan malam-malam. Kemudian beralih ke scene: Close-up jam dinding menunjukkan pukul 2:30 pagi. Ibu dengan cemas menggeledah laci meja melegakan anak dengan minyak cap merah. Seterusnya tunjukkan sapuan minyak hijau secara dekat.,Tangan gelabah mencari botol di dalam laci kecemasan malam-malam.,Standby item kecemasan rumah yang sedia digunakan bila-bila masa.,Close up botol retro cap merah. Tunjukkan teks USP: Sediaan herba asli tradisional untuk standby keluarga..,Overlay teks beg kuning TikTok Shop berkelip dengan anak panah menunjuk ke bawah.,Bahasa Melayu,"vernakular Melayu, aggressive",HIGH,YES,MWTCB_VID_STANDBY_BEFORE_NEED_AGGRESSIVE,Maps to hook style problem_hook and angle mechanism before_need_preparation,2026-06-19_part7_poster_video_matrix,draft
MWTCB_VIDMAT_005,MWTCB_25ML,MWTCB_25ML__xlsx__BM001,MWTCB_ANG_002,MWTCB_HOOK_004,MWTCB_SUBHOOK_004,MWTCB_USP_003,MWTCB_CTA_002,Hero Laci Dapur,"Dapur cantik, barang standby kecemasan pula tarak.",Botol kecil 25ml ni senang selit dekat celah laci dapur.,"Cap merah senang nampak, minyak hijau pekat herba asli.",Standby satu botol dekat dapur hari ini.,STANDBY_BEFORE_NEED,FAMILY_HOME,household_readiness,household_readiness,cold_scroll,universal_household,MODERATE,rumah,before_need_preparation,hybrid_video,poster_ads,product_only_video,6s,"Visual bermula dengan: Tangan gelabah mencari botol di dalam laci kecemasan malam-malam. Kemudian beralih ke scene: Tangan ibu terseliuh ringan ketika memusing kuali tebal di dapur, lalu segera mencapai botol kaca hijau retro Cap Burung dari rak rempah. Seterusnya tunjukkan sapuan minyak hijau secara dekat.",Tangan gelabah mencari botol di dalam laci kecemasan malam-malam.,Standby item kecemasan rumah yang sedia digunakan bila-bila masa.,"Close up botol retro cap merah. Tunjukkan teks USP: Cap merah senang nampak, minyak hijau pekat herba asli..",Overlay teks 'Standby Satu Rumah' dengan visual laci dibuka.,Bahasa Melayu,"vernakular Melayu, moderate",MEDIUM,NO,MWTCB_VID_STANDBY_BEFORE_NEED_MODERATE,Maps to hook style standby_hook and angle mechanism before_need_preparation,2026-06-19_part7_poster_video_matrix,draft
MWTCB_VIDMAT_006,MWTCB_25ML,MWTCB_25ML__xlsx__BM001,MWTCB_ANG_002,MWTCB_HOOK_005,MWTCB_SUBHOOK_005,MWTCB_USP_003,MWTCB_CTA_002,Hero Laci Dapur,"POV: Beli siap-siap sebab sengal-sengal semasa memasak atau bekerja di dapur, memerlukan sapuan pantas.",Minyak Cap Burung dengan formula herba asli 1958 untuk melegakan lenguh sendi bekerja di dapur.,"Cap merah senang nampak, minyak hijau pekat herba asli.",Standby satu botol dekat dapur hari ini.,STANDBY_BEFORE_NEED,FAMILY_HOME,household_readiness,household_readiness,cold_scroll,universal_household,MODERATE,rumah,before_need_preparation,hybrid_video,poster_ads,POV_scene,20s,"Visual bermula dengan: Tangan gelabah mencari botol di dalam laci kecemasan malam-malam. Kemudian beralih ke scene: Tangan ibu terseliuh ringan ketika memusing kuali tebal di dapur, lalu segera mencapai botol kaca hijau retro Cap Burung dari rak rempah. Seterusnya tunjukkan sapuan minyak hijau secara dekat.",Tangan gelabah mencari botol di dalam laci kecemasan malam-malam.,Standby item kecemasan rumah yang sedia digunakan bila-bila masa.,"Close up botol retro cap merah. Tunjukkan teks USP: Cap merah senang nampak, minyak hijau pekat herba asli..",Overlay teks 'Standby Satu Rumah' dengan visual laci dibuka.,Bahasa Melayu,"vernakular Melayu, moderate",HIGH,YES,MWTCB_VID_STANDBY_BEFORE_NEED_MODERATE,Maps to hook style POV_hook and angle mechanism before_need_preparation,2026-06-19_part7_poster_video_matrix,draft
MWTCB_VIDMAT_007,MWTCB_25ML,MWTCB_25ML__xlsx__BM001,MWTCB_ANG_002,MWTCB_HOOK_006,MWTCB_SUBHOOK_006,MWTCB_USP_003,MWTCB_CTA_002,Hero Laci Dapur,"Pernah tak korang gelabah bila sengal-sengal semasa memasak atau bekerja di dapur, memerlukan sapuan pantas?",Sebab tu kena standby botol kecil 25ml ni dekat dalam laci kecemasan rumah.,"Cap merah senang nampak, minyak hijau pekat herba asli.",Standby satu botol dekat dapur hari ini.,STANDBY_BEFORE_NEED,FAMILY_HOME,household_readiness,household_readiness,cold_scroll,universal_household,MODERATE,rumah,before_need_preparation,hybrid_video,poster_ads,UGC_talking_head,30s,"Visual bermula dengan: Tangan gelabah mencari botol di dalam laci kecemasan malam-malam. Kemudian beralih ke scene: Tangan ibu terseliuh ringan ketika memusing kuali tebal di dapur, lalu segera mencapai botol kaca hijau retro Cap Burung dari rak rempah. Seterusnya tunjukkan sapuan minyak hijau secara dekat.",Tangan gelabah mencari botol di dalam laci kecemasan malam-malam.,Standby item kecemasan rumah yang sedia digunakan bila-bila masa.,"Close up botol retro cap merah. Tunjukkan teks USP: Cap merah senang nampak, minyak hijau pekat herba asli..",Overlay teks 'Standby Satu Rumah' dengan visual laci dibuka.,Bahasa Melayu,"vernakular Melayu, moderate",HIGH,YES,MWTCB_VID_STANDBY_BEFORE_NEED_MODERATE,Maps to hook style question_hook and angle mechanism before_need_preparation,2026-06-19_part7_poster_video_matrix,draft
MWTCB_VIDMAT_008,MWTCB_25ML,MWTCB_25ML__xlsx__BM001,MWTCB_ANG_002,MWTCB_HOOK_004,MWTCB_SUBHOOK_005,MWTCB_USP_004,MWTCB_CTA_002,Hero Laci Dapur,"Dapur cantik, barang standby kecemasan pula tarak.",Minyak Cap Burung dengan formula herba asli 1958 untuk melegakan lenguh sendi bekerja di dapur.,Sediaan herba asli tradisional untuk standby keluarga.,Standby satu botol dekat dapur hari ini.,STANDBY_BEFORE_NEED,FAMILY_HOME,household_readiness,household_readiness,cold_scroll,universal_household,MODERATE,rumah,before_need_preparation,hybrid_video,poster_ads,product_only_video,6s,"Visual bermula dengan: Tangan gelabah mencari botol di dalam laci kecemasan malam-malam. Kemudian beralih ke scene: Tangan ibu terseliuh ringan ketika memusing kuali tebal di dapur, lalu segera mencapai botol kaca hijau retro Cap Burung dari rak rempah. Seterusnya tunjukkan sapuan minyak hijau secara dekat.",Tangan gelabah mencari botol di dalam laci kecemasan malam-malam.,Standby item kecemasan rumah yang sedia digunakan bila-bila masa.,Close up botol retro cap merah. Tunjukkan teks USP: Sediaan herba asli tradisional untuk standby keluarga..,Overlay teks 'Standby Satu Rumah' dengan visual laci dibuka.,Bahasa Melayu,"vernakular Melayu, moderate",HIGH,YES,MWTCB_VID_STANDBY_BEFORE_NEED_MODERATE,Maps to hook style standby_hook and angle mechanism before_need_preparation,2026-06-19_part7_poster_video_matrix,draft
MWTCB_VIDMAT_009,MWTCB_25ML,MWTCB_25ML__xlsx__BM001,MWTCB_ANG_003,MWTCB_HOOK_007,MWTCB_SUBHOOK_007,MWTCB_USP_005,MWTCB_CTA_003,Need-Before-Need Mindset,"Benda ni beli bukan sebab tengah sakit, tapi sebab tahu nanti akan perlu.",Satu rumah patut ada sekurang-kurangnya satu botol standby.,Formula turun-temurun yang bertahan sejak 1958.,Klik beg kuning untuk persediaan rumah.,STANDBY_BEFORE_NEED,FAMILY_HOME,standby_before_need,standby_before_need,cold_scroll,universal_household,BOLD,rumah,before_need_preparation,hybrid_video,poster_ads,product_only_video,6s,"Visual bermula dengan: Tangan gelabah mencari botol di dalam laci kecemasan malam-malam. Kemudian beralih ke scene: Tangan menyusun 3 botol Cap Burung dalam susunan rapi di laci ruang tamu, dashboard kereta, dan beg kerja. Seterusnya tunjukkan sapuan minyak hijau secara dekat.",Tangan gelabah mencari botol di dalam laci kecemasan malam-malam.,Standby item kecemasan rumah yang sedia digunakan bila-bila masa.,Close up botol retro cap merah. Tunjukkan teks USP: Formula turun-temurun yang bertahan sejak 1958..,Overlay teks beg kuning TikTok Shop berkelip dengan anak panah menunjuk ke bawah.,Bahasa Melayu,"vernakular Melayu, bold",HIGH,YES,MWTCB_VID_STANDBY_BEFORE_NEED_BOLD,Maps to hook style problem_hook and angle mechanism before_need_preparation,2026-06-19_part7_poster_video_matrix,draft
MWTCB_VIDMAT_010,MWTCB_25ML,MWTCB_25ML__xlsx__BM001,MWTCB_ANG_003,MWTCB_HOOK_008,MWTCB_SUBHOOK_008,MWTCB_USP_005,MWTCB_CTA_003,Need-Before-Need Mindset,POV: Beli siap-siap sebab mengubah tabiat membeli dari 'membeli ketika sakit' kepada 'stok awal sebelum sakit'.,Minyak Cap Burung dengan formula herba asli 1958 untuk melegakan lenguh-lenguh-badan.,Formula turun-temurun yang bertahan sejak 1958.,Klik beg kuning untuk persediaan rumah.,STANDBY_BEFORE_NEED,FAMILY_HOME,standby_before_need,standby_before_need,cold_scroll,universal_household,BOLD,rumah,before_need_preparation,hybrid_video,poster_ads,POV_scene,20s,"Visual bermula dengan: Tangan gelabah mencari botol di dalam laci kecemasan malam-malam. Kemudian beralih ke scene: Tangan menyusun 3 botol Cap Burung dalam susunan rapi di laci ruang tamu, dashboard kereta, dan beg kerja. Seterusnya tunjukkan sapuan minyak hijau secara dekat.",Tangan gelabah mencari botol di dalam laci kecemasan malam-malam.,Standby item kecemasan rumah yang sedia digunakan bila-bila masa.,Close up botol retro cap merah. Tunjukkan teks USP: Formula turun-temurun yang bertahan sejak 1958..,Overlay teks beg kuning TikTok Shop berkelip dengan anak panah menunjuk ke bawah.,Bahasa Melayu,"vernakular Melayu, bold",HIGH,YES,MWTCB_VID_STANDBY_BEFORE_NEED_BOLD,Maps to hook style POV_hook and angle mechanism before_need_preparation,2026-06-19_part7_poster_video_matrix,draft
