source_batch,source_file,source_sheet,import_version,source_sequence,source_motivation_id,buyer_motivation_row_id,rank,u_g_c_angle
2026-06-19_xlsx,mwtcb_copywriting_landbank.xlsx,UGC Top10,2026-06-19_initial_landbank,1,BM026,MWTCB_25ML__xlsx__BM026,1,Mak-mak cakap direct: “Benda macam ni kena ada sebelum rumah kecoh.”
2026-06-19_xlsx,mwtcb_copywriting_landbank.xlsx,UGC Top10,2026-06-19_initial_landbank,2,BM003,MWTCB_25ML__xlsx__BM003,2,Anak cerita habit mak ayah simpan minyak.
2026-06-19_xlsx,mwtcb_copywriting_landbank.xlsx,UGC Top10,2026-06-19_initial_landbank,3,BM024,MWTCB_25ML__xlsx__BM024,3,Lelaki/pekerja balik kerja badan rasa berat.
2026-06-19_xlsx,mwtcb_copywriting_landbank.xlsx,UGC Top10,2026-06-19_initial_landbank,4,BM022,MWTCB_25ML__xlsx__BM022,4,"Anak beli untuk mak ayah, practical gift."
2026-06-19_xlsx,mwtcb_copywriting_landbank.xlsx,UGC Top10,2026-06-19_initial_landbank,5,BM045,MWTCB_25ML__xlsx__BM045,5,Handbag penuh barang beauty tapi minyak standby tak ada.
2026-06-19_xlsx,mwtcb_copywriting_landbank.xlsx,UGC Top10,2026-06-19_initial_landbank,6,BM031,MWTCB_25ML__xlsx__BM031,6,Petua orang lama jangan cepat dibuang.
2026-06-19_xlsx,mwtcb_copywriting_landbank.xlsx,UGC Top10,2026-06-19_initial_landbank,7,BM011,MWTCB_25ML__xlsx__BM011,7,Bukan semua benda viral boleh dipercayai.
2026-06-19_xlsx,mwtcb_copywriting_landbank.xlsx,UGC Top10,2026-06-19_initial_landbank,8,BM017,MWTCB_25ML__xlsx__BM017,8,Satu rumah cari barang yang sama bila tak selesa.
2026-06-19_xlsx,mwtcb_copywriting_landbank.xlsx,UGC Top10,2026-06-19_initial_landbank,9,BM035,MWTCB_25ML__xlsx__BM035,9,"Produk bukan untuk show off, untuk ada bila perlu."
2026-06-19_xlsx,mwtcb_copywriting_landbank.xlsx,UGC Top10,2026-06-19_initial_landbank,10,BM046,MWTCB_25ML__xlsx__BM046,10,Lelaki pun kena standby barang basic.
