rank,motivation_id,boldness_level,hook,sample_subhook,sample_cta
1,BM_005,MODERATE,"""Orang tua kalau dah start sebu perut, dia tak cari ubat moden. Dia cari yang ni.""","""Minyak Hijau formula asli. Sekali urut, angin lama terus keluar bertubi-tubi.""",Borong Untuk Tok
2,BM_007,MODERATE,"""Laci rumah kau penuh ubat tapi satu pun tak boleh pakai waktu kecemasan?""","""Cap merah ni senang cam. Letak satu dalam laci tv, satu dekat dapur.""",Dapatkan Set Rumah
3,BM_015,SOFT,"""Orang tua kalau malam selalu terjaga sebab kaki sejuk? Sapu minyak herba ni.""","""Formula asli sejak 1958, panaskan tapak kaki sebelum tidur supaya lena.""",Beli Set Warga Emas
4,BM_045,MODERATE,"""Panjat gunung beg nak kena ringan, tapi minyak urut wajib bawa. Guna yang ni.""","""Botol kaca hijau tebal 25ml. Tak makan ruang beg, lutut start longgar terus gosok.""",Beli Set Hiking
5,BM_003,MODERATE,"""Mak kat kampung tu kalau solat makin lama makin payah nak bangun. Jangan biarkan.""","""Bagi dia minyak yang dia memang kenal sejak kecil. Botol kaca hijau tradisi.""",Hantar Kat Mak Sekarang
6,BM_009,MODERATE,"""Berhenti scroll! Kau ingat lagi tak minyak cap burung kat rumah tok dulu?""","""Bukan barang baru nak up. Formula asli sejak 1958 yang korang cari.""",Tengok Harga Gila
7,BM_014,MODERATE,"""Balik kampung minggu depan jangan balik tangan kosong. Mak ayah tak nak benda mahal.""","""Bawak balik sepeket minyak cap burung ni, senyum orang tua tu sebab barang rare.""",Beli Buah Tangan
8,BM_030,SOFT,"""Kerja shift malam kilang atau security? Angin malam sejuk mencerah urat.""","""Sapu minyak herba cap burung ni kat dada dan belakang sebelum start shift.""",Dapatkan Benteng Anda
9,BM_050,MODERATE,"""Rumah melayu tak lengkap kalau laci ruang tamu tak bau minyak angin herba asli.""","""Minyak cap burung beri vibe rumah tok yang selamat, tenang, dan bersedia.""",Lengkapkan Rumah
10,BM_060,MODERATE,"""Jangan gadaikan urat badan kau dekat produk OEM semalam suntuk baru nak up.""","""Pakai minyak cap burung. Formula asli bertahan sejak 1958 sebab kualiti herba dia.""",Dapatkan Jaminan 1958
