cta_id,product_id,angle_id,motivation_id,cta_text,cta_family,buyer_stage,boldness_level,platform_surface_fit,best_content_format,urgency_level,action_type,usage_context,source_batch,cta_status
MWTCB_CTA_001,MWTCB_25ML,MWTCB_ANG_001,MWTCB_25ML__xlsx__BM001,Tap beg kuning sekarang untuk standby.,shop_now,cold_scroll,AGGRESSIVE,poster_ads,hybrid_video,HIGH,click_beg_kuning,rumah,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_002,MWTCB_25ML,MWTCB_ANG_002,MWTCB_25ML__xlsx__BM001,Standby satu botol dekat dapur hari ini.,standby_now,cold_scroll,MODERATE,poster_ads,hybrid_video,MEDIUM,prepare_stock,rumah,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_003,MWTCB_25ML,MWTCB_ANG_003,MWTCB_25ML__xlsx__BM001,Klik beg kuning untuk persediaan rumah.,shop_now,cold_scroll,BOLD,poster_ads,hybrid_video,MEDIUM,click_beg_kuning,rumah,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_004,MWTCB_25ML,MWTCB_ANG_004,MWTCB_25ML__xlsx__BM002,Simpan satu botol dekat ofis sekarang.,price_check,warm_interest,BOLD,poster_ads,hybrid_video,HIGH,view_offer,laci,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_005,MWTCB_25ML,MWTCB_ANG_005,MWTCB_25ML__xlsx__BM002,Sauk set tidur lena tepi katil sekarang.,bundle_buy,warm_interest,SOFT,poster_ads,hybrid_video,HIGH,bundle_checkout,laci,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_006,MWTCB_25ML,MWTCB_ANG_006,MWTCB_25ML__xlsx__BM002,Dapatkan set tidur lena sekarang.,bundle_buy,warm_interest,AGGRESSIVE,poster_ads,hybrid_video,HIGH,bundle_checkout,laci,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_007,MWTCB_25ML,MWTCB_ANG_007,MWTCB_25ML__xlsx__BM015,Jangan tunggu kena baru cari. Beli hari ini.,price_check,cold_scroll,AGGRESSIVE,poster_ads,hybrid_video,MEDIUM,view_offer,rumah,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_008,MWTCB_25ML,MWTCB_ANG_008,MWTCB_25ML__xlsx__BM015,Sauk promo kit kecemasan rumah sekarang.,price_check,cold_scroll,MODERATE,poster_ads,hybrid_video,HIGH,view_offer,rumah,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_009,MWTCB_25ML,MWTCB_ANG_009,MWTCB_25ML__xlsx__BM015,Ambil set ruang tamu standby hari ini.,standby_now,cold_scroll,MODERATE,poster_ads,hybrid_video,MEDIUM,prepare_stock,rumah,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_010,MWTCB_25ML,MWTCB_ANG_010,MWTCB_25ML__xlsx__BM037,Beli sekarang untuk mak ayah tidur lena.,price_check,cold_scroll,BOLD,poster_ads,hybrid_video,HIGH,view_offer,malam,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_011,MWTCB_25ML,MWTCB_ANG_011,MWTCB_25ML__xlsx__BM037,Tap untuk hilangkan sakit salah bantal.,price_check,cold_scroll,MODERATE,poster_ads,hybrid_video,MEDIUM,view_offer,malam,2026-06-19_part3_6_copy_components,draft
