source_batch,source_file,source_sheet,import_version,source_sequence,source_motivation_id,buyer_motivation_row_id,rank,boldness_level,hook,sample_subhook,sample_cta
2026-06-19_zip_csv,mwtcb_gemini_copywriting_landbank_csv.zip,Safe_Hooks,2026-06-19_initial_landbank,1,BM005,MWTCB_25ML__zip_csv__BM005,1,MODERATE,"""Orang tua kalau dah start sebu perut, dia tak cari ubat moden. Dia cari yang ni.""","""Minyak Hijau formula asli. Sekali urut, angin lama terus keluar bertubi-tubi.""",Borong Untuk Tok
2026-06-19_zip_csv,mwtcb_gemini_copywriting_landbank_csv.zip,Safe_Hooks,2026-06-19_initial_landbank,2,BM007,MWTCB_25ML__zip_csv__BM007,2,MODERATE,"""Laci rumah kau penuh ubat tapi satu pun tak boleh pakai waktu kecemasan?""","""Cap merah ni senang cam. Letak satu dalam laci tv, satu dekat dapur.""",Dapatkan Set Rumah
2026-06-19_zip_csv,mwtcb_gemini_copywriting_landbank_csv.zip,Safe_Hooks,2026-06-19_initial_landbank,3,BM015,MWTCB_25ML__zip_csv__BM015,3,SOFT,"""Orang tua kalau malam selalu terjaga sebab kaki sejuk? Sapu minyak herba ni.""","""Formula asli sejak 1958, panaskan tapak kaki sebelum tidur supaya lena.""",Beli Set Warga Emas
2026-06-19_zip_csv,mwtcb_gemini_copywriting_landbank_csv.zip,Safe_Hooks,2026-06-19_initial_landbank,4,BM045,MWTCB_25ML__zip_csv__BM045,4,MODERATE,"""Panjat gunung beg nak kena ringan, tapi minyak urut wajib bawa. Guna yang ni.""","""Botol kaca hijau tebal 25ml. Tak makan ruang beg, lutut start longgar terus gosok.""",Beli Set Hiking
2026-06-19_zip_csv,mwtcb_gemini_copywriting_landbank_csv.zip,Safe_Hooks,2026-06-19_initial_landbank,5,BM003,MWTCB_25ML__zip_csv__BM003,5,MODERATE,"""Mak kat kampung tu kalau solat makin lama makin payah nak bangun. Jangan biarkan.""","""Bagi dia minyak yang dia memang kenal sejak kecil. Botol kaca hijau tradisi.""",Hantar Kat Mak Sekarang
2026-06-19_zip_csv,mwtcb_gemini_copywriting_landbank_csv.zip,Safe_Hooks,2026-06-19_initial_landbank,6,BM009,MWTCB_25ML__zip_csv__BM009,6,MODERATE,"""Berhenti scroll! Kau ingat lagi tak minyak cap burung kat rumah tok dulu?""","""Bukan barang baru nak up. Formula asli sejak 1958 yang korang cari.""",Tengok Harga Gila
2026-06-19_zip_csv,mwtcb_gemini_copywriting_landbank_csv.zip,Safe_Hooks,2026-06-19_initial_landbank,7,BM014,MWTCB_25ML__zip_csv__BM014,7,MODERATE,"""Balik kampung minggu depan jangan balik tangan kosong. Mak ayah tak nak benda mahal.""","""Bawak balik sepeket minyak cap burung ni, senyum orang tua tu sebab barang rare.""",Beli Buah Tangan
2026-06-19_zip_csv,mwtcb_gemini_copywriting_landbank_csv.zip,Safe_Hooks,2026-06-19_initial_landbank,8,BM030,MWTCB_25ML__zip_csv__BM030,8,SOFT,"""Kerja shift malam kilang atau security? Angin malam sejuk mencerah urat.""","""Sapu minyak herba cap burung ni kat dada dan belakang sebelum start shift.""",Dapatkan Benteng Anda
2026-06-19_zip_csv,mwtcb_gemini_copywriting_landbank_csv.zip,Safe_Hooks,2026-06-19_initial_landbank,9,BM050,MWTCB_25ML__zip_csv__BM050,9,MODERATE,"""Rumah melayu tak lengkap kalau laci ruang tamu tak bau minyak angin herba asli.""","""Minyak cap burung beri vibe rumah tok yang selamat, tenang, dan bersedia.""",Lengkapkan Rumah
2026-06-19_zip_csv,mwtcb_gemini_copywriting_landbank_csv.zip,Safe_Hooks,2026-06-19_initial_landbank,10,BM060,MWTCB_25ML__zip_csv__BM060,10,MODERATE,"""Jangan gadaikan urat badan kau dekat produk OEM semalam suntuk baru nak up.""","""Pakai minyak cap burung. Formula asli bertahan sejak 1958 sebab kualiti herba dia.""",Dapatkan Jaminan 1958
