rank,motivation_id,hook
1,BM007,Roadtrip boleh jadi neraka bila badan mula tak sedap.
2,BM037,"Bila perlu waktu malam, minyak pula tak ada."
3,BM013,Rumah cantik tak guna kalau benda basic pun tak ada.
4,BM038,Takkan minyak standby pun nak pinjam jiran?
5,BM024,Balik kerja badan rasa macam kena hempap hari Isnin?
6,BM006,"Laci rumah penuh benda random, tapi minyak standby tak ada?"
7,BM045,"Handbag penuh lip tint, tapi minyak standby tak ada?"
8,BM015,Jangan tunggu perlu baru cari.
9,BM026,Mak-mak tahu — benda kecil boleh jadi drama kalau tak standby.
10,BM035,Produk macam ni bukan untuk show off. Dia untuk ada bila perlu.
