motivation_id,primary_bucket,secondary_bucket,buyer_stage,persona_fit,boldness_level,usage_context,sales_mechanism,best_content_format,best_platform_surface,bundle_potential,repeat_purchase_potential,strongest_hook_from_this_motivation,expansion_priority,notes_for_angle_generation
BM_001,STANDBY_BEFORE_NEED,NOSTALGIA_TRUST,ready_to_buy,mak_mak,AGGRESSIVE,malam,fear_of_not_having,poster_ad,poster_ads,MEDIUM,MEDIUM,"""Anak mula meragam pukul 2 pagi, waktu tu baru kau nak menggelimpang cari minyak?""",HIGH,Expand as standby_before_need angle using PAS with proof: Formula Asli sejak 1958. Keep raw sales tension; split final variants by boldness.
BM_002,TRAVEL_CAR_BAG,PRACTICAL_STORAGE,ready_to_buy,driver_travel,BOLD,kerja,practical_convenience,POV_scene,TikTok_Shop_video,MEDIUM,LOW,"""Hadap jem dari KL ke Shah Alam, pinggang dah bunyi 'krak'. Kau ada benda ni?""",HIGH,Expand as travel_car_bag angle using HSO with proof: Botol 25ml muat cup holder. Keep raw sales tension; split final variants by boldness.
BM_003,FAMILY_HOME,VISUAL_RECOGNITION,gift_buyer,anak_beli_untuk_parent,MODERATE,balik_kampung,family_responsibility,UGC_talking_head,TikTok_Shop_video,MEDIUM,HIGH,"""Mak kat kampung tu kalau solat makin lama makin payah nak bangun. Jangan biarkan.""",HIGH,Expand as family_home angle using BAB with proof: Label Warisan Cap Burung. Keep raw sales tension; split final variants by boldness.
BM_004,PRACTICAL_STORAGE,TRAVEL_CAR_BAG,ready_to_buy,anak_beli_untuk_parent,AGGRESSIVE,beg,multi_location_logic,POV_scene,TikTok_Shop_video,MEDIUM,LOW,"""Bawa minyak besar-besar dalam beg travel buat menyemak jer. Guna yang ni.""",HIGH,"Expand as practical_storage angle using FAB with proof: Botol kaca hijau tebal, saiz 25ml. Keep raw sales tension; split final variants by boldness."
BM_005,NOSTALGIA_TRUST,FAMILY_HOME,repeat_buyer,anak_beli_untuk_parent,MODERATE,rumah,nostalgia_trust,hybrid_video,TikTok_Shop_video,HIGH,HIGH,"""Orang tua kalau dah start sebu perut, dia tak cari ubat moden. Dia cari yang ni.""",HIGH,Expand as nostalgia_trust angle using PASTOR with proof: Petua Turun Temurun 1958. Keep raw sales tension; split final variants by boldness.
BM_006,NOSTALGIA_TRUST,MULTI_BUY,repeat_buyer,lelaki_bekerja,AGGRESSIVE,kerja,fear_of_not_having,hybrid_video,TikTok_Shop_video,HIGH,HIGH,"""Kerja angkat kotak sehari suntuk, malam ni confirm siksa tak boleh tidur.""",MEDIUM,Expand as nostalgia_trust angle using PAS with proof: Formula tegang urat. Keep raw sales tension; split final variants by boldness.
BM_007,PRACTICAL_STORAGE,STANDBY_BEFORE_NEED,repeat_buyer,family_home_buyer,MODERATE,rumah,practical_convenience,POV_scene,TikTok_Shop_video,HIGH,LOW,"""Laci rumah kau penuh ubat tapi satu pun tak boleh pakai waktu kecemasan?""",HIGH,Expand as practical_storage angle using Problem/Moment with proof: Botol 25ml senang selit. Keep raw sales tension; split final variants by boldness.
BM_008,TRAVEL_CAR_BAG,STANDBY_BEFORE_NEED,cold_scroll,driver_travel,MODERATE,beg,before_need_preparation,POV_scene,TikTok_Shop_video,LOW,LOW,"""Rider gigil atas motor redah hujan? Jangan sampai urat kaki kejang tengah jalan.""",MEDIUM,Expand as travel_car_bag angle using HSO with proof: Formula Asli herba. Keep raw sales tension; split final variants by boldness.
BM_009,NOSTALGIA_TRUST,VISUAL_RECOGNITION,ready_to_buy,nostalgia_buyer,MODERATE,balik_kampung,nostalgia_trust,hybrid_video,TikTok_Shop_video,MEDIUM,MEDIUM,"""Berhenti scroll! Kau ingat lagi tak minyak cap burung kat rumah tok dulu?""",HIGH,Expand as nostalgia_trust angle using Hook/Memory with proof: Sejak 1958 & Cap Burung. Keep raw sales tension; split final variants by boldness.
BM_010,TRAVEL_CAR_BAG,VISUAL_RECOGNITION,warm_interest,lelaki_bekerja,AGGRESSIVE,kerja,fear_of_not_having,UGC_talking_head,TikTok_Shop_video,MEDIUM,LOW,"""Balik kerja kena berdiri tegak sejam dalam LRT? Kaki rasa nak luruh.""",MEDIUM,Expand as travel_car_bag angle using PAS with proof: Minyak hijau pekat. Keep raw sales tension; split final variants by boldness.
BM_011,FAMILY_HOME,NOSTALGIA_TRUST,ready_to_buy,mak_mak,AGGRESSIVE,kerja,family_responsibility,UGC_talking_head,TikTok_Shop_video,MEDIUM,MEDIUM,"""Suri rumah kalau dah start mengemas, malam confirm mengaduh sakit pinggang.""",MEDIUM,Expand as family_home angle using Hook/Family with proof: Formula herba pekat. Keep raw sales tension; split final variants by boldness.
BM_012,MULTI_BUY,TIKTOK_CURIOSITY,repeat_buyer,impulse_tiktok_buyer,AGGRESSIVE,beg,impulse_low_friction,carousel,TikTok_Shop_video,HIGH,HIGH,"""Harga murah gila, tak payah fikir dua kali. Guna kupon terus sauk 3 botol.""",HIGH,Expand as multi_buy angle using SLAP with proof: Pembelian multi-buy. Keep raw sales tension; split final variants by boldness.
BM_013,NOSTALGIA_TRUST,VISUAL_RECOGNITION,repeat_buyer,anak_beli_untuk_parent,AGGRESSIVE,rak,nostalgia_trust,hybrid_video,TikTok_Shop_video,HIGH,HIGH,"""Otot ketat gila lepas layan leg day? Jangan biar esok jalan kengkang.""",MEDIUM,Expand as nostalgia_trust angle using FAB with proof: Formula meresap. Keep raw sales tension; split final variants by boldness.
BM_014,FAMILY_HOME,SEASONAL_CONTEXT,gift_buyer,anak_beli_untuk_parent,MODERATE,balik_kampung,family_responsibility,UGC_talking_head,TikTok_Shop_video,MEDIUM,HIGH,"""Balik kampung minggu depan jangan balik tangan kosong. Mak ayah tak nak benda mahal.""",HIGH,"Expand as family_home angle using Hook/Multi-location with proof: Botol kaca hijau, logo burung. Keep raw sales tension; split final variants by boldness."
BM_015,NOSTALGIA_TRUST,FAMILY_HOME,repeat_buyer,anak_beli_untuk_parent,SOFT,malam,family_responsibility,hybrid_video,TikTok_Shop_video,HIGH,HIGH,"""Orang tua kalau malam selalu terjaga sebab kaki sejuk? Sapu minyak herba ni.""",HIGH,Expand as nostalgia_trust angle using PASTOR with proof: Sapuan herba tradisional. Keep raw sales tension; split final variants by boldness.
BM_016,PRACTICAL_STORAGE,PERSONA_SPECIFIC,cold_scroll,lelaki_bekerja,AGGRESSIVE,kerja,practical_convenience,POV_scene,TikTok_Shop_video,MEDIUM,LOW,"""Duduk menghadap laptop 8 jam, leher rasa macam kena simen. Keras gila.""",HIGH,Expand as practical_storage angle using PAS with proof: Botol kecil mudah letak. Keep raw sales tension; split final variants by boldness.
BM_017,STANDBY_BEFORE_NEED,VISUAL_RECOGNITION,warm_interest,mak_mak,BOLD,malam,fear_of_not_having,poster_ad,poster_ads,LOW,MEDIUM,"""Tengah sedap tidur tiba-tiba betis kejang simpul biawak? Sakit dia sampai menangis.""",HIGH,Expand as standby_before_need angle using Problem/Moment with proof: Formula urut selamat. Keep raw sales tension; split final variants by boldness.
BM_018,FAMILY_HOME,VISUAL_RECOGNITION,gift_buyer,mak_mak,AGGRESSIVE,rumah,family_responsibility,UGC_talking_head,TikTok_Shop_video,LOW,MEDIUM,"""Ayah kau kalau dah start berkebun, petang confirm mengadu tangan kebas.""",HIGH,Expand as family_home angle using AIDA with proof: Formula tradisional asli. Keep raw sales tension; split final variants by boldness.
BM_019,VISUAL_RECOGNITION,NOSTALGIA_TRUST,warm_interest,lelaki_bekerja,MODERATE,kerja,visual_recognition,product_only_video,TikTok_Shop_video,LOW,LOW,"""Kepala rasa macam kena ketuk dengan tukul? Jangan telan ubat jer.""",MEDIUM,Expand as visual_recognition angle using Hook/Pain with proof: Bau herba semula jadi. Keep raw sales tension; split final variants by boldness.
BM_020,VISUAL_RECOGNITION,TRAVEL_CAR_BAG,cold_scroll,family_home_buyer,AGGRESSIVE,beg,multi_location_logic,product_only_video,TikTok_Shop_video,MEDIUM,LOW,"""Tengah sedap lepak luar kena gigit nyamuk? Gatal sampai luka digarut.""",MEDIUM,"Expand as visual_recognition angle using QUEST with proof: Cap merah, herba asli. Keep raw sales tension; split final variants by boldness."
