angle_id,product_id,motivation_id,angle_name,angle_family,primary_bucket,secondary_bucket,buyer_stage,persona_fit,boldness_level,usage_context,sales_mechanism,commercial_trigger,visual_scene,copy_formula_fit,hook_style,hook_direction,subhook_direction,usp_direction,cta_direction,content_format_fit,platform_surface_fit,bundle_potential,repeat_purchase_potential,why_it_can_sell,creative_notes,source_motivation_hook,source_batch,angle_status
MWTCB_ANG_001,MWTCB_25ML,MWTCB_25ML__xlsx__BM001,Kecemasan Anak Tengah Malam,standby_before_need,STANDBY_BEFORE_NEED,FAMILY_HOME,cold_scroll,universal_household,AGGRESSIVE,rumah,before_need_preparation,Anak mula meragam atau kembung perut pukul 2 pagi ketika semua farmasi sudah tutup.,Close-up jam dinding menunjukkan pukul 2:30 pagi. Ibu dengan cemas menggeledah laci meja melegakan anak dengan minyak cap merah.,PAS,standby rumah,Anak melalak pukul 2 pagi baru kau kalut nak cari minyak?,Minyak hijau cap merah ni simpan siap-siap dalam laci bilik tidur.,Formula asli herba turun-temurun sejak 1958.,Tap beg kuning sekarang untuk standby.,hybrid_video,poster_ads,HIGH,MEDIUM,Menyerang ketakutan mak-mak jika tidak bersedia menghadapi kecemasan malam.,"Keep raw energy, focus on midnight panic context.",Jangan tunggu badan buat hal baru tercari-cari.,2026-06-19_part2_angle_bank,draft
MWTCB_ANG_002,MWTCB_25ML,MWTCB_25ML__xlsx__BM001,Hero Laci Dapur,household_readiness,STANDBY_BEFORE_NEED,FAMILY_HOME,cold_scroll,universal_household,MODERATE,rumah,before_need_preparation,"Discomfort semasa memasak atau bekerja di dapur, memerlukan sapuan pantas.","Tangan ibu terseliuh ringan ketika memusing kuali tebal di dapur, lalu segera mencapai botol kaca hijau retro Cap Burung dari rak rempah.",PAS,standby rumah,"Dapur cantik, barang standby kecemasan pula tarak.",Botol kecil 25ml ni senang selit dekat celah laci dapur.,"Cap merah senang nampak, minyak hijau pekat herba asli.",Standby satu botol dekat dapur hari ini.,hybrid_video,poster_ads,HIGH,MEDIUM,Menonjolkan fungsi standby di lokasi spesifik dapur.,Focus on kitchen work scene.,Jangan tunggu badan buat hal baru tercari-cari.,2026-06-19_part2_angle_bank,draft
MWTCB_ANG_003,MWTCB_25ML,MWTCB_25ML__xlsx__BM001,Need-Before-Need Mindset,standby_before_need,STANDBY_BEFORE_NEED,FAMILY_HOME,cold_scroll,universal_household,BOLD,rumah,before_need_preparation,Mengubah tabiat membeli dari 'membeli ketika sakit' kepada 'stok awal sebelum sakit'.,"Tangan menyusun 3 botol Cap Burung dalam susunan rapi di laci ruang tamu, dashboard kereta, dan beg kerja.",PAS,standby rumah,"Benda ni beli bukan sebab tengah sakit, tapi sebab tahu nanti akan perlu.",Satu rumah patut ada sekurang-kurangnya satu botol standby.,Formula turun-temurun yang bertahan sejak 1958.,Klik beg kuning untuk persediaan rumah.,hybrid_video,poster_ads,HIGH,MEDIUM,Membina kesedaran bahawa minyak herba adalah barangan persediaan wajib.,Direct-response classic positioning.,Jangan tunggu badan buat hal baru tercari-cari.,2026-06-19_part2_angle_bank,draft
MWTCB_ANG_004,MWTCB_25ML,MWTCB_25ML__xlsx__BM002,Notis Sengal Sendi Tiba-Tiba,standby_before_need,STANDBY_BEFORE_NEED,PRACTICAL_STORAGE,warm_interest,universal_household,BOLD,laci,fear_of_not_having,Masalah sendi atau otot yang tegang menyerang secara tiba-tiba tanpa amaran.,Lelaki korporat sedang duduk di kerusi ofis tiba-tiba memegang lehernya yang kaku sambil mengerang kecil.,Problem/Moment/Standby/CTA,badan buat hal,Badan tak bagi e-mel makluman sebelum urat tengkuk kau kejang.,Sebab tu botol kecil ni kena ada sentiasa atas meja kerja.,Herba pekat tradisional asli yang meresap pantas.,Simpan satu botol dekat ofis sekarang.,hybrid_video,poster_ads,MEDIUM,MEDIUM,Menyasar pekerja yang menganggap badan mereka sentiasa sihat sehingga diserang lenguh sendi.,Corporate worker context.,Badan tak bagi notis sebelum buat perangai.,2026-06-19_part2_angle_bank,draft
MWTCB_ANG_005,MWTCB_25ML,MWTCB_25ML__xlsx__BM002,Bedside Table Standby,practical_storage,STANDBY_BEFORE_NEED,PRACTICAL_STORAGE,warm_interest,universal_household,SOFT,laci,fear_of_not_having,Kemudahan mencapai minyak angin dari katil ketika tidak selesa malam hari.,"Lelaki mengantuk memusingkan badan di katil, tangannya meraba bedside table dan terus mencapai botol cap merah dengan mudah tanpa perlu bangun.",Problem/Moment/Standby/CTA,badan buat hal,"Bila badan mula buat hal waktu malam, malas gila nak bangun cari minyak satu rumah.","Letak sebiji tepi katil, capai saja tanpa buka mata.",Bau herba asli yang menenangkan tidur.,Sauk set tidur lena tepi katil sekarang.,hybrid_video,poster_ads,MEDIUM,MEDIUM,Menjual keselesaan malam tanpa gangguan bangun mencari minyak.,Relaxed night vibe.,Badan tak bagi notis sebelum buat perangai.,2026-06-19_part2_angle_bank,draft
MWTCB_ANG_006,MWTCB_25ML,MWTCB_25ML__xlsx__BM002,Kecemasan Tengah Malam Orang Tua,standby_before_need,STANDBY_BEFORE_NEED,PRACTICAL_STORAGE,warm_interest,universal_household,AGGRESSIVE,laci,fear_of_not_having,Warga emas tiba-tiba mengalami kejang betis tengah malam buta dalam cuaca sejuk.,"Datuk memegang betisnya dengan dahi berkerut, lalu nenek mencapai botol cap merah di meja tepi katil untuk mengurutnya.",Problem/Moment/Standby/CTA,badan buat hal,"Tengah lena tidur tiba-tiba betis kejang menyucuk, takkan baru nak panggil anak?",Standby botol kecil Cap Burung tepi bantal untuk sapuan pantas.,Formula asli tradisional dengan herba hangat melonggarkan kejang.,Dapatkan set tidur lena sekarang.,hybrid_video,poster_ads,MEDIUM,MEDIUM,Menunjukkan kegunaan kecemasan di katil warga tua.,Night cramp prevention.,Badan tak bagi notis sebelum buat perangai.,2026-06-19_part2_angle_bank,draft
MWTCB_ANG_007,MWTCB_25ML,MWTCB_25ML__xlsx__BM015,Penyesalan Malam Sunyi,standby_before_need,STANDBY_BEFORE_NEED,MULTI_BUY,cold_scroll,universal_household,AGGRESSIVE,rumah,before_need_preparation,Penyesalan tidak membeli awal apabila perut mula memulas tajam di waktu malam.,"POV memandang almari ubat yang kosong melompong dengan debu, manakala tangan memegang perut yang sakit.",PAS,jangan tunggu,Sakit perut pukul 3 pagi baru nak menyesal almari kosong?,Minyak Cap Burung ni patut ada sebelum perut mula memulas.,Petua tradisional tulen sejak 1958.,Jangan tunggu kena baru cari. Beli hari ini.,hybrid_video,poster_ads,HIGH,HIGH,Memanfaatkan rasa bersalah akibat menangguhkan pembelian barangan asas kecemasan.,High tension regret callout.,Jangan tunggu perlu baru cari.,2026-06-19_part2_angle_bank,draft
MWTCB_ANG_008,MWTCB_25ML,MWTCB_25ML__xlsx__BM015,First Aid Box Checklist,household_readiness,STANDBY_BEFORE_NEED,MULTI_BUY,cold_scroll,universal_household,MODERATE,rumah,before_need_preparation,Melengkapkan kotak pertolongan cemas rumah dengan ubat herba tradisional.,Close-up tangan memasukkan botol hijau retro celah plaster dan bandage dalam kotak kecemasan putih.,PAS,jangan tunggu,Kotak kecemasan kau penuh plaster tapi minyak angin herba tiada?,Lengkapkan ubat standby rumah dengan formula asli 1958.,Cap merah mudah dicam ketika kecemasan.,Sauk promo kit kecemasan rumah sekarang.,hybrid_video,poster_ads,HIGH,HIGH,Memosisikan produk sebagai item wajib dalam kit kesihatan rumah.,Preparedness check angle.,Jangan tunggu perlu baru cari.,2026-06-19_part2_angle_bank,draft
MWTCB_ANG_009,MWTCB_25ML,MWTCB_25ML__xlsx__BM015,Laci Ruang Tamu Kecemasan,household_readiness,STANDBY_BEFORE_NEED,MULTI_BUY,cold_scroll,universal_household,MODERATE,rumah,before_need_preparation,Kemudahan menyimpan minyak angin di laci utama ruang tamu yang sering dikongsi seisi rumah.,"Tangan menarik laci kabinet TV kayu, menyelitkan botol Cap Burung celah remote control dan bateri.",PAS,jangan tunggu,Laci depan TV penuh barang random tapi minyak standby keluarga tarak.,Simpan sebotol Cap Burung di tempat yang semua orang rumah mudah cari.,Cap merah mudah dicam sekali pandang.,Ambil set ruang tamu standby hari ini.,hybrid_video,poster_ads,HIGH,HIGH,Menonjolkan laci ruang tamu sebagai pusat simpanan strategik.,Living room drawer storage.,Jangan tunggu perlu baru cari.,2026-06-19_part2_angle_bank,draft
MWTCB_ANG_010,MWTCB_25ML,MWTCB_25ML__xlsx__BM037,Sakit Sendi Malam Buta,standby_before_need,STANDBY_BEFORE_NEED,SEASONAL_CONTEXT,cold_scroll,universal_household,BOLD,malam,fear_of_not_having,Sendi sejuk atau ngilu mencucuk tulang yang sering menyerang ketika cuaca sejuk malam.,"Makcik tua terjaga malam memegang lututnya yang kebas, lalu tersenyum lega menyapu minyak hijau pekat tradisi.",PAS,malam baru cari,Orang tua kalau malam selalu terjaga sebab kaki sejuk berdenyut.,Sapu herba asli cap burung sebelum tidur untuk hangatkan urat sendi.,Petua asli tradisional sejak 1958.,Beli sekarang untuk mak ayah tidur lena.,hybrid_video,poster_ads,MEDIUM,MEDIUM,Menyasar anak-anak yang mahu mak ayah tidur lena tanpa terjaga akibat lenguh malam.,Warm caring emotional trigger.,"Yang paling sakit hati? Bila perlu waktu malam, minyak pula tak ada.",2026-06-19_part2_angle_bank,draft
