rank,motivation_id,product_only_reason
1,BM012,Cap merah + minyak hijau = instant visual hook.
2,BM057,Produk sendiri boleh stop scroll tanpa talent.
3,BM019,Vibe almari tok buat orang curious.
4,BM034,Botol kaca hijau nampak klasik dan closeup-friendly.
5,BM052,Cap merah sebagai quick-find proof dalam laci.
6,BM020,Botol kecil senang masuk cart.
7,BM033,Logo Cap Burung mudah ingat.
8,BM005,"Demo masuk laci, beg, kereta."
9,BM030,Overlay “Sejak 1958” kuat untuk trust.
10,BM056,Trust signal pada label boleh jadi hero frame.
