notion_row_id,product_id,production_type,source_matrix_id,prompt_pack_id,motivation_id,angle_id,hook_id,subhook_id,usp_id,cta_id,angle_name,angle_family,buyer_stage,persona_fit,boldness_level,usage_context,sales_mechanism,primary_bucket,secondary_bucket,headline_or_hook,subheadline_or_subhook,usp_text,cta_text,format_family,platform_surface_fit,creative_output_type,raw_claim_tolerance,production_review_required,operator_edit_required,recommended_view,priority_score,production_notes,source_batch,row_status
MWTCB_NOTION_ROW_0001,MWTCB_25ML,video,MWTCB_VIDMAT_001,MWTCB_VID_PACK_001,MWTCB_25ML__xlsx__BM001,MWTCB_ANG_001,MWTCB_HOOK_001,MWTCB_SUBHOOK_001,MWTCB_USP_001,MWTCB_CTA_001,Kecemasan Anak Tengah Malam,standby_before_need,cold_scroll,universal_household,AGGRESSIVE,rumah,before_need_preparation,STANDBY_BEFORE_NEED,FAMILY_HOME,Anak melalak pukul 2 pagi baru kau kalut nak cari minyak?,Minyak hijau cap merah ni simpan siap-siap dalam laci bilik tidur.,Formula asli herba turun-temurun sejak 1958.,Tap beg kuning sekarang untuk standby.,GENERAL,poster_ads,VIDEO_CREATIVE_BRIEF,HIGH,YES,YES,OPERATOR_FIRST,15,High claim tolerance — operator must review before production hand-off. Do not submit to engine without sign-off.,2026-06-19_part8_notion_prompt_pack,draft
MWTCB_NOTION_ROW_0002,MWTCB_25ML,video,MWTCB_VIDMAT_002,MWTCB_VID_PACK_002,MWTCB_25ML__xlsx__BM001,MWTCB_ANG_001,MWTCB_HOOK_002,MWTCB_SUBHOOK_002,MWTCB_USP_001,MWTCB_CTA_001,Kecemasan Anak Tengah Malam,standby_before_need,cold_scroll,universal_household,AGGRESSIVE,rumah,before_need_preparation,STANDBY_BEFORE_NEED,FAMILY_HOME,POV: Beli siap-siap sebab anak mula meragam atau kembung perut pukul 2 pagi ketika semua farmasi sudah tutup.,Minyak Cap Burung dengan formula herba asli 1958 untuk melegakan perut kembung anak.,Formula asli herba turun-temurun sejak 1958.,Tap beg kuning sekarang untuk standby.,GENERAL,poster_ads,VIDEO_CREATIVE_BRIEF,HIGH,YES,YES,OPERATOR_FIRST,15,High claim tolerance — operator must review before production hand-off. Do not submit to engine without sign-off.,2026-06-19_part8_notion_prompt_pack,draft
MWTCB_NOTION_ROW_0003,MWTCB_25ML,video,MWTCB_VIDMAT_003,MWTCB_VID_PACK_003,MWTCB_25ML__xlsx__BM001,MWTCB_ANG_001,MWTCB_HOOK_003,MWTCB_SUBHOOK_003,MWTCB_USP_001,MWTCB_CTA_001,Kecemasan Anak Tengah Malam,standby_before_need,cold_scroll,universal_household,AGGRESSIVE,rumah,before_need_preparation,STANDBY_BEFORE_NEED,FAMILY_HOME,Jangan tunggu sampai anak mula meragam atau kembung perut pukul 2 pagi ketika semua farmasi sudah tutup baru sibuk nak cari minyak!,Sebab tu kena standby botol kecil 25ml ni dekat dalam laci kecemasan rumah.,Formula asli herba turun-temurun sejak 1958.,Tap beg kuning sekarang untuk standby.,GENERAL,poster_ads,VIDEO_CREATIVE_BRIEF,HIGH,YES,YES,OPERATOR_FIRST,15,High claim tolerance — operator must review before production hand-off. Do not submit to engine without sign-off.,2026-06-19_part8_notion_prompt_pack,draft
MWTCB_NOTION_ROW_0004,MWTCB_25ML,video,MWTCB_VIDMAT_004,MWTCB_VID_PACK_004,MWTCB_25ML__xlsx__BM001,MWTCB_ANG_001,MWTCB_HOOK_001,MWTCB_SUBHOOK_002,MWTCB_USP_002,MWTCB_CTA_001,Kecemasan Anak Tengah Malam,standby_before_need,cold_scroll,universal_household,AGGRESSIVE,rumah,before_need_preparation,STANDBY_BEFORE_NEED,FAMILY_HOME,Anak melalak pukul 2 pagi baru kau kalut nak cari minyak?,Minyak Cap Burung dengan formula herba asli 1958 untuk melegakan perut kembung anak.,Sediaan herba asli tradisional untuk standby keluarga.,Tap beg kuning sekarang untuk standby.,GENERAL,poster_ads,VIDEO_CREATIVE_BRIEF,HIGH,YES,YES,OPERATOR_FIRST,15,High claim tolerance — operator must review before production hand-off. Do not submit to engine without sign-off.,2026-06-19_part8_notion_prompt_pack,draft
MWTCB_NOTION_ROW_0005,MWTCB_25ML,video,MWTCB_VIDMAT_005,MWTCB_VID_PACK_005,MWTCB_25ML__xlsx__BM001,MWTCB_ANG_002,MWTCB_HOOK_004,MWTCB_SUBHOOK_004,MWTCB_USP_003,MWTCB_CTA_002,Hero Laci Dapur,household_readiness,cold_scroll,universal_household,MODERATE,rumah,before_need_preparation,STANDBY_BEFORE_NEED,FAMILY_HOME,"Dapur cantik, barang standby kecemasan pula tarak.",Botol kecil 25ml ni senang selit dekat celah laci dapur.,"Cap merah senang nampak, minyak hijau pekat herba asli.",Standby satu botol dekat dapur hari ini.,GENERAL,poster_ads,VIDEO_CREATIVE_BRIEF,MEDIUM,NO,OPTIONAL,BATCH_REVIEW,62,Medium claim tolerance — batch review recommended. Submit only after operator spot-check.,2026-06-19_part8_notion_prompt_pack,draft
MWTCB_NOTION_ROW_0006,MWTCB_25ML,video,MWTCB_VIDMAT_006,MWTCB_VID_PACK_006,MWTCB_25ML__xlsx__BM001,MWTCB_ANG_002,MWTCB_HOOK_005,MWTCB_SUBHOOK_005,MWTCB_USP_003,MWTCB_CTA_002,Hero Laci Dapur,household_readiness,cold_scroll,universal_household,MODERATE,rumah,before_need_preparation,STANDBY_BEFORE_NEED,FAMILY_HOME,"POV: Beli siap-siap sebab sengal-sengal semasa memasak atau bekerja di dapur, memerlukan sapuan pantas.",Minyak Cap Burung dengan formula herba asli 1958 untuk melegakan lenguh sendi bekerja di dapur.,"Cap merah senang nampak, minyak hijau pekat herba asli.",Standby satu botol dekat dapur hari ini.,GENERAL,poster_ads,VIDEO_CREATIVE_BRIEF,HIGH,YES,YES,OPERATOR_FIRST,22,High claim tolerance — operator must review before production hand-off. Do not submit to engine without sign-off.,2026-06-19_part8_notion_prompt_pack,draft
MWTCB_NOTION_ROW_0007,MWTCB_25ML,video,MWTCB_VIDMAT_007,MWTCB_VID_PACK_007,MWTCB_25ML__xlsx__BM001,MWTCB_ANG_002,MWTCB_HOOK_006,MWTCB_SUBHOOK_006,MWTCB_USP_003,MWTCB_CTA_002,Hero Laci Dapur,household_readiness,cold_scroll,universal_household,MODERATE,rumah,before_need_preparation,STANDBY_BEFORE_NEED,FAMILY_HOME,"Pernah tak korang gelabah bila sengal-sengal semasa memasak atau bekerja di dapur, memerlukan sapuan pantas?",Sebab tu kena standby botol kecil 25ml ni dekat dalam laci kecemasan rumah.,"Cap merah senang nampak, minyak hijau pekat herba asli.",Standby satu botol dekat dapur hari ini.,UGC,poster_ads,VIDEO_CREATIVE_BRIEF,HIGH,YES,YES,OPERATOR_FIRST,22,High claim tolerance — operator must review before production hand-off. Do not submit to engine without sign-off.,2026-06-19_part8_notion_prompt_pack,draft
MWTCB_NOTION_ROW_0008,MWTCB_25ML,video,MWTCB_VIDMAT_008,MWTCB_VID_PACK_008,MWTCB_25ML__xlsx__BM001,MWTCB_ANG_002,MWTCB_HOOK_004,MWTCB_SUBHOOK_005,MWTCB_USP_004,MWTCB_CTA_002,Hero Laci Dapur,household_readiness,cold_scroll,universal_household,MODERATE,rumah,before_need_preparation,STANDBY_BEFORE_NEED,FAMILY_HOME,"Dapur cantik, barang standby kecemasan pula tarak.",Minyak Cap Burung dengan formula herba asli 1958 untuk melegakan lenguh sendi bekerja di dapur.,Sediaan herba asli tradisional untuk standby keluarga.,Standby satu botol dekat dapur hari ini.,GENERAL,poster_ads,VIDEO_CREATIVE_BRIEF,HIGH,YES,YES,OPERATOR_FIRST,22,High claim tolerance — operator must review before production hand-off. Do not submit to engine without sign-off.,2026-06-19_part8_notion_prompt_pack,draft
MWTCB_NOTION_ROW_0009,MWTCB_25ML,video,MWTCB_VIDMAT_009,MWTCB_VID_PACK_009,MWTCB_25ML__xlsx__BM001,MWTCB_ANG_003,MWTCB_HOOK_007,MWTCB_SUBHOOK_007,MWTCB_USP_005,MWTCB_CTA_003,Need-Before-Need Mindset,standby_before_need,cold_scroll,universal_household,BOLD,rumah,before_need_preparation,STANDBY_BEFORE_NEED,FAMILY_HOME,"Benda ni beli bukan sebab tengah sakit, tapi sebab tahu nanti akan perlu.",Satu rumah patut ada sekurang-kurangnya satu botol standby.,Formula turun-temurun yang bertahan sejak 1958.,Klik beg kuning untuk persediaan rumah.,GENERAL,poster_ads,VIDEO_CREATIVE_BRIEF,HIGH,YES,YES,OPERATOR_FIRST,18,High claim tolerance — operator must review before production hand-off. Do not submit to engine without sign-off.,2026-06-19_part8_notion_prompt_pack,draft
MWTCB_NOTION_ROW_0010,MWTCB_25ML,video,MWTCB_VIDMAT_010,MWTCB_VID_PACK_010,MWTCB_25ML__xlsx__BM001,MWTCB_ANG_003,MWTCB_HOOK_008,MWTCB_SUBHOOK_008,MWTCB_USP_005,MWTCB_CTA_003,Need-Before-Need Mindset,standby_before_need,cold_scroll,universal_household,BOLD,rumah,before_need_preparation,STANDBY_BEFORE_NEED,FAMILY_HOME,POV: Beli siap-siap sebab mengubah tabiat membeli dari 'membeli ketika sakit' kepada 'stok awal sebelum sakit'.,Minyak Cap Burung dengan formula herba asli 1958 untuk melegakan lenguh-lenguh-badan.,Formula turun-temurun yang bertahan sejak 1958.,Klik beg kuning untuk persediaan rumah.,GENERAL,poster_ads,VIDEO_CREATIVE_BRIEF,HIGH,YES,YES,OPERATOR_FIRST,18,High claim tolerance — operator must review before production hand-off. Do not submit to engine without sign-off.,2026-06-19_part8_notion_prompt_pack,draft
