motivation_id,status,reason
BM041,PARK,After-activity angle boleh jadi terlalu generic kalau tak ada scene spesifik.
BM032,PARK,"Formula asli bagus sebagai proof chip, tapi kurang kuat sebagai main motivation."
BM033,PARK,"Logo burung bagus untuk recall, bukan sales driver utama."
BM034,PARK,"Botol kaca hijau cantik untuk product-only, tapi bukan enough untuk full angle."
BM039,PARK,Open house angle seasonal. Guna bila campaign raya/kenduri/family event.
BM040,PARK,"Cuaca hujan/lemau seasonal. Bagus untuk timing tertentu, bukan evergreen utama."
BM043,PARK,"Copycat differentiation boleh guna, tapi jangan jadikan main story terlalu awal."
BM054,PARK,"Corner barang perlu bagus untuk carousel/product page, kurang punchy untuk cold ads."
BM055,PARK,"Rumah bandar/rasa kampung emotional, tapi kurang direct conversion berbanding rumah tok atau Sejak 1958."
BM060,PARK,"Local identity bagus sebagai brand layer, bukan direct-response hook utama."
