rank,motivation_id,hook
1,BM001,Satu rumah patut ada minyak standby macam ni.
2,BM003,Mak ayah kita bukan saja-saja simpan minyak macam ni.
3,BM014,"Satu untuk rumah, satu untuk kereta, satu untuk beg."
4,BM030,Yang bertahan sejak 1958 lain cerita.
5,BM018,"Kalau kau pernah buka almari rumah tok, kau tahu vibe ni."
6,BM005,Botol kecil ni senang masuk mana-mana.
7,BM022,Nak belikan mak ayah sesuatu yang betul-betul berguna?
8,BM056,"‘Sejak 1958’ tu bukan hiasan, itu signal."
9,BM012,"Cap merah, minyak hijau — sekali pandang dah cam."
10,BM051,"Charger, skincare, baju semua ingat. Minyak standby jangan lupa."
