motivation_classification_row_id,product_id,source_motivation_id,source_motivation_id_raw,motivation_batch_key,buyer_motivation_row_id,source_file,source_sheet,source_batch,import_version,source_sequence,primary_bucket,secondary_bucket,buyer_stage,persona_fit,boldness_level,usage_context,sales_mechanism,best_content_format,best_platform_surface,bundle_potential,repeat_purchase_potential,strongest_hook_from_this_motivation,expansion_priority,notes_for_angle_generation
MWTCB_25ML__xlsx__BM001,MWTCB_25ML,BM001,BM001,2026-06-19_xlsx__BM001,MWTCB_25ML__xlsx__BM001,mwtcb_copywriting_landbank.xlsx,Classification Layer,2026-06-19_xlsx,2026-06-19_initial_landbank,1,STANDBY_BEFORE_NEED,FAMILY_HOME,cold_scroll,universal_household,BOLD,rumah,before_need_preparation,poster_ad,poster_ads,HIGH,MEDIUM,Jangan tunggu badan buat hal baru tercari-cari.,HIGH,"Core angle. Expand into rumah wajib ada, jangan tunggu kecoh, rumah belum lengkap."
MWTCB_25ML__xlsx__BM002,MWTCB_25ML,BM002,BM002,2026-06-19_xlsx__BM002,MWTCB_25ML__xlsx__BM002,mwtcb_copywriting_landbank.xlsx,Classification Layer,2026-06-19_xlsx,2026-06-19_initial_landbank,2,STANDBY_BEFORE_NEED,PRACTICAL_STORAGE,warm_interest,universal_household,BOLD,laci,fear_of_not_having,POV_scene,TikTok_Shop_video,MEDIUM,MEDIUM,Badan tak bagi notis sebelum buat perangai.,HIGH,Use sudden-problem scene. Strong for short POV: orang kelam-kabut cari minyak.
MWTCB_25ML__xlsx__BM003,MWTCB_25ML,BM003,BM003,2026-06-19_xlsx__BM003,MWTCB_25ML__xlsx__BM003,mwtcb_copywriting_landbank.xlsx,Classification Layer,2026-06-19_xlsx,2026-06-19_initial_landbank,3,FAMILY_HOME,NOSTALGIA_TRUST,cold_scroll,family_home_buyer,MODERATE,rumah,family_responsibility,UGC_talking_head,TikTok_Shop_video,MEDIUM,HIGH,Mak ayah kita bukan saja-saja simpan minyak macam ni.,HIGH,"Expand into “orang lama tahu”, “rumah mak ayah mesti ada”, trust-by-habit."
MWTCB_25ML__xlsx__BM004,MWTCB_25ML,BM004,BM004,2026-06-19_xlsx__BM004,MWTCB_25ML__xlsx__BM004,mwtcb_copywriting_landbank.xlsx,Classification Layer,2026-06-19_xlsx,2026-06-19_initial_landbank,4,NOSTALGIA_TRUST,FAMILY_HOME,gift_buyer,anak_beli_untuk_parent,MODERATE,balik_kampung,gift_utility,hybrid_video,TikTok_Shop_video,HIGH,MEDIUM,Balik kampung jangan bawa tangan kosong yang tak berguna.,HIGH,"Good gifting angle. Push practical gift, bukan hadiah syok sendiri."
MWTCB_25ML__xlsx__BM005,MWTCB_25ML,BM005,BM005,2026-06-19_xlsx__BM005,MWTCB_25ML__xlsx__BM005,mwtcb_copywriting_landbank.xlsx,Classification Layer,2026-06-19_xlsx,2026-06-19_initial_landbank,5,PRACTICAL_STORAGE,MULTI_BUY,ready_to_buy,universal_household,MODERATE,laci,practical_convenience,product_only_video,product_page_asset,HIGH,MEDIUM,Botol besar menyemak. Botol kecil ni masuk mana-mana.,HIGH,Turn size into buying reason. Great for product demo with hand/laci/beg/kereta.
MWTCB_25ML__xlsx__BM006,MWTCB_25ML,BM006,BM006,2026-06-19_xlsx__BM006,MWTCB_25ML__xlsx__BM006,mwtcb_copywriting_landbank.xlsx,Classification Layer,2026-06-19_xlsx,2026-06-19_initial_landbank,6,PRACTICAL_STORAGE,FAMILY_HOME,cold_scroll,family_home_buyer,BOLD,laci,household_readiness,POV_scene,TikTok_Shop_video,MEDIUM,MEDIUM,"Laci rumah penuh benda random, tapi minyak standby tak ada?",HIGH,Sharp household shame angle. Expand into laci semak tapi benda perlu tak ada.
MWTCB_25ML__xlsx__BM007,MWTCB_25ML,BM007,BM007,2026-06-19_xlsx__BM007,MWTCB_25ML__xlsx__BM007,mwtcb_copywriting_landbank.xlsx,Classification Layer,2026-06-19_xlsx,2026-06-19_initial_landbank,7,TRAVEL_CAR_BAG,STANDBY_BEFORE_NEED,cold_scroll,driver_travel,AGGRESSIVE,kereta,fear_of_not_having,POV_scene,TikTok_Shop_video,HIGH,MEDIUM,Roadtrip boleh jadi neraka bila badan mula tak sedap.,HIGH,"Very strong. Expand into roadtrip, balik kampung, drive jauh, kereta sebagai second home."
MWTCB_25ML__xlsx__BM008,MWTCB_25ML,BM008,BM008,2026-06-19_xlsx__BM008,MWTCB_25ML__xlsx__BM008,mwtcb_copywriting_landbank.xlsx,Classification Layer,2026-06-19_xlsx,2026-06-19_initial_landbank,8,TRAVEL_CAR_BAG,PRACTICAL_STORAGE,warm_interest,impulse_tiktok_buyer,MODERATE,beg,practical_convenience,UGC_talking_head,TikTok_Shop_video,HIGH,MEDIUM,"Ada barang yang patut duduk dalam beg, bukan tunggu rumah.",HIGH,"Good EDC angle. Use handbag, pouch, sling bag, beg kerja."
MWTCB_25ML__xlsx__BM009,MWTCB_25ML,BM009,BM009,2026-06-19_xlsx__BM009,MWTCB_25ML__xlsx__BM009,mwtcb_copywriting_landbank.xlsx,Classification Layer,2026-06-19_xlsx,2026-06-19_initial_landbank,9,TRAVEL_CAR_BAG,STANDBY_BEFORE_NEED,cold_scroll,driver_travel,BOLD,travel,fear_of_not_having,POV_scene,TikTok_Shop_video,HIGH,MEDIUM,"Powerbank kau ingat, minyak standby kau lupa?",HIGH,Modern vs basic contrast. Expand heavily for travel checklist content.
MWTCB_25ML__xlsx__BM010,MWTCB_25ML,BM010,BM010,2026-06-19_xlsx__BM010,MWTCB_25ML__xlsx__BM010,mwtcb_copywriting_landbank.xlsx,Classification Layer,2026-06-19_xlsx,2026-06-19_initial_landbank,10,NOSTALGIA_TRUST,VISUAL_RECOGNITION,cold_scroll,nostalgia_buyer,MODERATE,rumah,nostalgia_trust,product_only_video,TikTok_Shop_video,MEDIUM,MEDIUM,Sekali tengok dah tahu — ini bukan produk pelik-pelik.,MEDIUM,"Good trust opener. Needs visual-heavy treatment, not long copy."
