rank,motivation_id,boldness_level,hook,sample_subhook,sample_cta
1,BM_012,AGGRESSIVE,"""Harga murah gila, tak payah fikir dua kali. Guna kupon terus sauk 3 botol.""","""Satu letak beg, satu kereta, satu ruang tamu. Tak rugi standby barang lama.""",Tap Beg Kuning
2,BM_024,AGGRESSIVE,"""Siksa tengok mak ayah nak naik tangga surau sebab lutut bunyi ketat?""","""Minyak hijau herba pekat. Gosok tiap pagi, urat longgar langkah pun ringan.""",Beli Set Lutut
3,BM_026,AGGRESSIVE,"""Balik kenduri perut rasa senak gas penuh? Nak sendawa tapi tak lepas.""","""Urut membulat minyak cap burung ni kat perut. Kejap lagi confirm sendawa puas.""",Beli Set Sendawa
4,BM_057,AGGRESSIVE,"""Kaki game yang main sampai subuh confirm wrist tangan rasa kejang guna mouse?""","""Jangan biar urat tangan rosak muda. Standby botol kecil ni tepi keyboard kau.""",Klik Beli Kaki Game
5,BM_001,AGGRESSIVE,"""Anak mula meragam pukul 2 pagi, waktu tu baru kau nak menggelimpang cari minyak?""","""Jangan tunggu anak melalak baru nak geledah almari. Sapu siap-siap.""",Tap Beg Kuning Standby
6,BM_004,AGGRESSIVE,"""Bawa minyak besar-besar dalam beg travel buat menyemak jer. Guna yang ni.""","""Saiz 25ml, kaca hijau tebal. Sumbat celah zip pun tak risau pecah atau tumpah.""",Beli Saiz Travel
7,BM_016,AGGRESSIVE,"""Duduk menghadap laptop 8 jam, leher rasa macam kena simen. Keras gila.""","""Sapu minyak cap burung ni dekat tengkuk. Bau herba segar, urat pun longgar.""",Simpan Di Ofis
8,BM_018,AGGRESSIVE,"""Ayah kau kalau dah start berkebun, petang confirm mengadu tangan kebas.""","""Bagi dia minyak hijau cap burung. Sekali tonyoh, urat tegang terus lembut.""",Beli Untuk Ayah
9,BM_031,AGGRESSIVE,"""Bangun pagi leher terus kaku tak boleh toleh? Siksa ooo kena salah bantal.""","""Jangan biar satu hari rosak. Gosok minyak cap burung ni, biar herba lembutkan urat.""",Klik Sini Lega Laju
10,BM_037,AGGRESSIVE,"""Pagi-pagi bangun tidur, pijak jer lantai terus tumit rasa menyucuk bisa?""","""Urut minyak cap burung ni kat tumit malam sebelum tidur. Esok bangun rasa ringan.""",Beli Pelega Tumit
