source_batch,source_file,source_sheet,import_version,source_sequence,source_motivation_id,buyer_motivation_row_id,rank,bundle_logic
2026-06-19_xlsx,mwtcb_copywriting_landbank.xlsx,Bundle Top10,2026-06-19_initial_landbank,1,BM014,MWTCB_25ML__xlsx__BM014,1,"Rumah satu, kereta satu, beg satu."
2026-06-19_xlsx,mwtcb_copywriting_landbank.xlsx,Bundle Top10,2026-06-19_initial_landbank,2,BM036,MWTCB_25ML__xlsx__BM036,2,Satu botol dalam rumah cepat lesap.
2026-06-19_xlsx,mwtcb_copywriting_landbank.xlsx,Bundle Top10,2026-06-19_initial_landbank,3,BM021,MWTCB_25ML__xlsx__BM021,3,Repeat buyer perlu spare sebelum habis.
2026-06-19_xlsx,mwtcb_copywriting_landbank.xlsx,Bundle Top10,2026-06-19_initial_landbank,4,BM005,MWTCB_25ML__xlsx__BM005,4,"Botol kecil senang beli lebih, tak makan ruang."
2026-06-19_xlsx,mwtcb_copywriting_landbank.xlsx,Bundle Top10,2026-06-19_initial_landbank,5,BM007,MWTCB_25ML__xlsx__BM007,5,Satu khusus untuk kereta.
2026-06-19_xlsx,mwtcb_copywriting_landbank.xlsx,Bundle Top10,2026-06-19_initial_landbank,6,BM009,MWTCB_25ML__xlsx__BM009,6,Satu untuk travel bag.
2026-06-19_xlsx,mwtcb_copywriting_landbank.xlsx,Bundle Top10,2026-06-19_initial_landbank,7,BM051,MWTCB_25ML__xlsx__BM051,7,Travel checklist boleh jual set packing.
2026-06-19_xlsx,mwtcb_copywriting_landbank.xlsx,Bundle Top10,2026-06-19_initial_landbank,8,BM053,MWTCB_25ML__xlsx__BM053,8,Rumah kecil pun boleh simpan beberapa botol.
2026-06-19_xlsx,mwtcb_copywriting_landbank.xlsx,Bundle Top10,2026-06-19_initial_landbank,9,BM026,MWTCB_25ML__xlsx__BM026,9,Mak-mak suka stok barang rumah.
2026-06-19_xlsx,mwtcb_copywriting_landbank.xlsx,Bundle Top10,2026-06-19_initial_landbank,10,BM022,MWTCB_25ML__xlsx__BM022,10,Beli untuk rumah sendiri + mak ayah.
