source_batch,source_file,source_sheet,import_version,source_sequence,source_motivation_id,buyer_motivation_row_id,rank,persona_fit,boldness_level,u_g_c_angle,sample_subhook,sample_cta
2026-06-19_zip_csv,mwtcb_gemini_copywriting_landbank_csv.zip,UGC_Top10,2026-06-19_initial_landbank,1,BM024,MWTCB_25ML__zip_csv__BM024,1,anak_beli_untuk_parent,AGGRESSIVE,"Nostalgia trigger — ""Siksa tengok mak ayah nak naik tangga surau sebab lutut bunyi ketat?""","""Minyak hijau herba pekat. Gosok tiap pagi, urat longgar langkah pun ringan.""",Beli Set Lutut
2026-06-19_zip_csv,mwtcb_gemini_copywriting_landbank_csv.zip,UGC_Top10,2026-06-19_initial_landbank,2,BM026,MWTCB_25ML__zip_csv__BM026,2,anak_beli_untuk_parent,AGGRESSIVE,"Use moment — ""Balik kenduri perut rasa senak gas penuh? Nak sendawa tapi tak lepas.""","""Urut membulat minyak cap burung ni kat perut. Kejap lagi confirm sendawa puas.""",Beli Set Sendawa
2026-06-19_zip_csv,mwtcb_gemini_copywriting_landbank_csv.zip,UGC_Top10,2026-06-19_initial_landbank,3,BM057,MWTCB_25ML__zip_csv__BM057,3,lelaki_bekerja,AGGRESSIVE,"Use moment — ""Kaki game yang main sampai subuh confirm wrist tangan rasa kejang guna mouse?""","""Jangan biar urat tangan rosak muda. Standby botol kecil ni tepi keyboard kau.""",Klik Beli Kaki Game
2026-06-19_zip_csv,mwtcb_gemini_copywriting_landbank_csv.zip,UGC_Top10,2026-06-19_initial_landbank,4,BM001,MWTCB_25ML__zip_csv__BM001,4,mak_mak,AGGRESSIVE,"Problem callout — ""Anak mula meragam pukul 2 pagi, waktu tu baru kau nak menggelimpang cari minyak?""","""Jangan tunggu anak melalak baru nak geledah almari. Sapu siap-siap.""",Tap Beg Kuning Standby
2026-06-19_zip_csv,mwtcb_gemini_copywriting_landbank_csv.zip,UGC_Top10,2026-06-19_initial_landbank,5,BM004,MWTCB_25ML__zip_csv__BM004,5,anak_beli_untuk_parent,AGGRESSIVE,"Small bottle practicality — ""Bawa minyak besar-besar dalam beg travel buat menyemak jer. Guna yang ni.""","""Saiz 25ml, kaca hijau tebal. Sumbat celah zip pun tak risau pecah atau tumpah.""",Beli Saiz Travel
2026-06-19_zip_csv,mwtcb_gemini_copywriting_landbank_csv.zip,UGC_Top10,2026-06-19_initial_landbank,6,BM005,MWTCB_25ML__zip_csv__BM005,6,anak_beli_untuk_parent,MODERATE,"Nostalgia trigger — ""Orang tua kalau dah start sebu perut, dia tak cari ubat moden. Dia cari yang ni.""","""Minyak Hijau formula asli. Sekali urut, angin lama terus keluar bertubi-tubi.""",Borong Untuk Tok
2026-06-19_zip_csv,mwtcb_gemini_copywriting_landbank_csv.zip,UGC_Top10,2026-06-19_initial_landbank,7,BM015,MWTCB_25ML__zip_csv__BM015,7,anak_beli_untuk_parent,SOFT,"Nostalgia trigger — ""Orang tua kalau malam selalu terjaga sebab kaki sejuk? Sapu minyak herba ni.""","""Formula asli sejak 1958, panaskan tapak kaki sebelum tidur supaya lena.""",Beli Set Warga Emas
2026-06-19_zip_csv,mwtcb_gemini_copywriting_landbank_csv.zip,UGC_Top10,2026-06-19_initial_landbank,8,BM016,MWTCB_25ML__zip_csv__BM016,8,lelaki_bekerja,AGGRESSIVE,"Use moment — ""Duduk menghadap laptop 8 jam, leher rasa macam kena simen. Keras gila.""","""Sapu minyak cap burung ni dekat tengkuk. Bau herba segar, urat pun longgar.""",Simpan Di Ofis
2026-06-19_zip_csv,mwtcb_gemini_copywriting_landbank_csv.zip,UGC_Top10,2026-06-19_initial_landbank,9,BM018,MWTCB_25ML__zip_csv__BM018,9,mak_mak,AGGRESSIVE,"Family situation — ""Ayah kau kalau dah start berkebun, petang confirm mengadu tangan kebas.""","""Bagi dia minyak hijau cap burung. Sekali tonyoh, urat tegang terus lembut.""",Beli Untuk Ayah
2026-06-19_zip_csv,mwtcb_gemini_copywriting_landbank_csv.zip,UGC_Top10,2026-06-19_initial_landbank,10,BM045,MWTCB_25ML__zip_csv__BM045,10,driver_travel,MODERATE,"Travel/kereta/beg — ""Panjat gunung beg nak kena ringan, tapi minyak urut wajib bawa. Guna yang ni.""","""Botol kaca hijau tebal 25ml. Tak makan ruang beg, lutut start longgar terus gosok.""",Beli Set Hiking
