rank,motivation_id,reason
1,BM014,"Multi-buy logic paling jelas: rumah, kereta, beg. Terus naikkan AOV."
2,BM015,“Jangan tunggu perlu baru cari” ialah direct-response core trigger.
3,BM001,Rumah wajib ada barang standby. Broadest household angle.
4,BM030,“Sejak 1958” jadi trust weapon yang tak nampak generic.
5,BM007,Roadtrip/kereta ada pain jelas dan visual scene kuat.
6,BM026,"Mak-mak buyer kuat, practical, cepat faham, tinggi conversion."
7,BM018,Rumah tok nostalgia kuat untuk stop scroll dan emotional stickiness.
8,BM058,TikTok impulse buyer: tak plan beli tapi rasa wajib ada.
9,BM012,Cap merah + minyak hijau kuat untuk product-only stop-scroll.
10,BM049,Perut mula buat hal ialah use moment yang sangat familiar.
11,BM021,Repeat purchase + stock-up angle.
12,BM036,"Satu botol cepat lesap, push bundle tanpa nampak memaksa."
13,BM009,"Travel checklist angle: powerbank ingat, minyak lupa."
14,BM056,Trust cue “Sejak 1958” sebagai product page dan poster headline.
15,BM035,“Bukan untuk show off. Untuk ada bila perlu.” Sangat sharp dan commercial.
