source_batch,source_file,source_sheet,import_version,source_sequence,source_motivation_id,buyer_motivation_row_id,rank,primary_bucket,buyer_stage,strongest_hook,reason
2026-06-19_zip_csv,mwtcb_gemini_copywriting_landbank_csv.zip,Top_15_Expand,2026-06-19_initial_landbank,1,BM012,MWTCB_25ML__zip_csv__BM012,1,MULTI_BUY,repeat_buyer,"""Harga murah gila, tak payah fikir dua kali. Guna kupon terus sauk 3 botol.""",Conversion laju untuk produk bawah RM20.
2026-06-19_zip_csv,mwtcb_gemini_copywriting_landbank_csv.zip,Top_15_Expand,2026-06-19_initial_landbank,2,BM024,MWTCB_25ML__zip_csv__BM024,2,FAMILY_HOME,repeat_buyer,"""Siksa tengok mak ayah nak naik tangga surau sebab lutut bunyi ketat?""",Membantu pergerakan harian warga emas.
2026-06-19_zip_csv,mwtcb_gemini_copywriting_landbank_csv.zip,Top_15_Expand,2026-06-19_initial_landbank,3,BM026,MWTCB_25ML__zip_csv__BM026,3,SEASONAL_CONTEXT,repeat_buyer,"""Balik kenduri perut rasa senak gas penuh? Nak sendawa tapi tak lepas.""",Sering terjadi selepas musim perayaan/kenduri.
2026-06-19_zip_csv,mwtcb_gemini_copywriting_landbank_csv.zip,Top_15_Expand,2026-06-19_initial_landbank,4,BM057,MWTCB_25ML__zip_csv__BM057,4,PRACTICAL_STORAGE,repeat_buyer,"""Kaki game yang main sampai subuh confirm wrist tangan rasa kejang guna mouse?""",Pasaran moden baharu (gaming/streaming community).
2026-06-19_zip_csv,mwtcb_gemini_copywriting_landbank_csv.zip,Top_15_Expand,2026-06-19_initial_landbank,5,BM005,MWTCB_25ML__zip_csv__BM005,5,NOSTALGIA_TRUST,repeat_buyer,"""Orang tua kalau dah start sebu perut, dia tak cari ubat moden. Dia cari yang ni.""",Trust lama yang melekat pada golongan veteran.
2026-06-19_zip_csv,mwtcb_gemini_copywriting_landbank_csv.zip,Top_15_Expand,2026-06-19_initial_landbank,6,BM007,MWTCB_25ML__zip_csv__BM007,6,PRACTICAL_STORAGE,repeat_buyer,"""Laci rumah kau penuh ubat tapi satu pun tak boleh pakai waktu kecemasan?""","Menyelesaikan isu harian ""kehilangan barang"" di rumah."
2026-06-19_zip_csv,mwtcb_gemini_copywriting_landbank_csv.zip,Top_15_Expand,2026-06-19_initial_landbank,7,BM015,MWTCB_25ML__zip_csv__BM015,7,NOSTALGIA_TRUST,repeat_buyer,"""Orang tua kalau malam selalu terjaga sebab kaki sejuk? Sapu minyak herba ni.""",Menjual kehangatan malam tanpa ubat makan.
2026-06-19_zip_csv,mwtcb_gemini_copywriting_landbank_csv.zip,Top_15_Expand,2026-06-19_initial_landbank,8,BM045,MWTCB_25ML__zip_csv__BM045,8,TRAVEL_CAR_BAG,repeat_buyer,"""Panjat gunung beg nak kena ringan, tapi minyak urut wajib bawa. Guna yang ni.""",Target pasaran outdoor/hiking.
2026-06-19_zip_csv,mwtcb_gemini_copywriting_landbank_csv.zip,Top_15_Expand,2026-06-19_initial_landbank,9,BM001,MWTCB_25ML__zip_csv__BM001,9,STANDBY_BEFORE_NEED,ready_to_buy,"""Anak mula meragam pukul 2 pagi, waktu tu baru kau nak menggelimpang cari minyak?""",Menyentuh 'pain point' mak-mak yang kurang tidur.
2026-06-19_zip_csv,mwtcb_gemini_copywriting_landbank_csv.zip,Top_15_Expand,2026-06-19_initial_landbank,10,BM002,MWTCB_25ML__zip_csv__BM002,10,TRAVEL_CAR_BAG,ready_to_buy,"""Hadap jem dari KL ke Shah Alam, pinggang dah bunyi 'krak'. Kau ada benda ni?""",Realiti harian pekerja korporat / komuter tegar.
2026-06-19_zip_csv,mwtcb_gemini_copywriting_landbank_csv.zip,Top_15_Expand,2026-06-19_initial_landbank,11,BM004,MWTCB_25ML__zip_csv__BM004,11,PRACTICAL_STORAGE,ready_to_buy,"""Bawa minyak besar-besar dalam beg travel buat menyemak jer. Guna yang ni.""",Menjual fungsi praktikaliti saiz produk.
2026-06-19_zip_csv,mwtcb_gemini_copywriting_landbank_csv.zip,Top_15_Expand,2026-06-19_initial_landbank,12,BM016,MWTCB_25ML__zip_csv__BM016,12,PRACTICAL_STORAGE,cold_scroll,"""Duduk menghadap laptop 8 jam, leher rasa macam kena simen. Keras gila.""",Target pasaran kolar putih (desk-bound workers).
2026-06-19_zip_csv,mwtcb_gemini_copywriting_landbank_csv.zip,Top_15_Expand,2026-06-19_initial_landbank,13,BM017,MWTCB_25ML__zip_csv__BM017,13,STANDBY_BEFORE_NEED,warm_interest,"""Tengah sedap tidur tiba-tiba betis kejang simpul biawak? Sakit dia sampai menangis.""",Menyelesaikan masalah khusus ibu mengandung.
2026-06-19_zip_csv,mwtcb_gemini_copywriting_landbank_csv.zip,Top_15_Expand,2026-06-19_initial_landbank,14,BM018,MWTCB_25ML__zip_csv__BM018,14,FAMILY_HOME,gift_buyer,"""Ayah kau kalau dah start berkebun, petang confirm mengadu tangan kebas.""",Hubungan emosi antara anak dan hobi ayah.
2026-06-19_zip_csv,mwtcb_gemini_copywriting_landbank_csv.zip,Top_15_Expand,2026-06-19_initial_landbank,15,BM028,MWTCB_25ML__zip_csv__BM028,15,NOSTALGIA_TRUST,ready_to_buy,"""Dah bosan beli minyak angin viral yang bau jer wangi tapi sakit tak hilang?""",Menyerang jenama moden yang estetik tapi kurang 'bite'.
