rank,motivation_id,primary_bucket,poster_angle,sample_subhook,sample_cta
1,BM_024,FAMILY_HOME,"""Siksa tengok mak ayah nak naik tangga surau sebab lutut bunyi ketat?""","""Minyak hijau herba pekat. Gosok tiap pagi, urat longgar langkah pun ringan.""",Beli Set Lutut
2,BM_026,SEASONAL_CONTEXT,"""Balik kenduri perut rasa senak gas penuh? Nak sendawa tapi tak lepas.""","""Urut membulat minyak cap burung ni kat perut. Kejap lagi confirm sendawa puas.""",Beli Set Sendawa
3,BM_001,STANDBY_BEFORE_NEED,"""Anak mula meragam pukul 2 pagi, waktu tu baru kau nak menggelimpang cari minyak?""","""Jangan tunggu anak melalak baru nak geledah almari. Sapu siap-siap.""",Tap Beg Kuning Standby
4,BM_018,FAMILY_HOME,"""Ayah kau kalau dah start berkebun, petang confirm mengadu tangan kebas.""","""Bagi dia minyak hijau cap burung. Sekali tonyoh, urat tegang terus lembut.""",Beli Untuk Ayah
5,BM_037,STANDBY_BEFORE_NEED,"""Pagi-pagi bangun tidur, pijak jer lantai terus tumit rasa menyucuk bisa?""","""Urut minyak cap burung ni kat tumit malam sebelum tidur. Esok bangun rasa ringan.""",Beli Pelega Tumit
6,BM_056,STANDBY_BEFORE_NEED,"""Tengah malam perut memulas tajam sebab salah makan petang tadi? Siksa ooo.""","""Selesai urusan, terus sapu minyak cap burung sekeliling pusat. Redakan memulas.""",Standby Botol Perut
7,BM_017,STANDBY_BEFORE_NEED,"""Tengah sedap tidur tiba-tiba betis kejang simpul biawak? Sakit dia sampai menangis.""","""Sebab tu kena letak botol cap merah ni tepi bantal. Capai terus urut.""",Standby Tepi Katil
8,BM_003,FAMILY_HOME,"""Mak kat kampung tu kalau solat makin lama makin payah nak bangun. Jangan biarkan.""","""Bagi dia minyak yang dia memang kenal sejak kecil. Botol kaca hijau tradisi.""",Hantar Kat Mak Sekarang
9,BM_014,FAMILY_HOME,"""Balik kampung minggu depan jangan balik tangan kosong. Mak ayah tak nak benda mahal.""","""Bawak balik sepeket minyak cap burung ni, senyum orang tua tu sebab barang rare.""",Beli Buah Tangan
10,BM_011,FAMILY_HOME,"""Suri rumah kalau dah start mengemas, malam confirm mengaduh sakit pinggang.""","""Jangan biar malam kau tersiksa. Sapu minyak cap burung ni, herba asli serap dalam.""",Beli Untuk Isteri
