source_batch,source_file,source_sheet,import_version,source_sequence,source_motivation_id,buyer_motivation_row_id,rank,hook
2026-06-19_xlsx,mwtcb_copywriting_landbank.xlsx,Aggressive Hooks,2026-06-19_initial_landbank,1,BM007,MWTCB_25ML__xlsx__BM007,1,Roadtrip boleh jadi neraka bila badan mula tak sedap.
2026-06-19_xlsx,mwtcb_copywriting_landbank.xlsx,Aggressive Hooks,2026-06-19_initial_landbank,2,BM037,MWTCB_25ML__xlsx__BM037,2,"Bila perlu waktu malam, minyak pula tak ada."
2026-06-19_xlsx,mwtcb_copywriting_landbank.xlsx,Aggressive Hooks,2026-06-19_initial_landbank,3,BM013,MWTCB_25ML__xlsx__BM013,3,Rumah cantik tak guna kalau benda basic pun tak ada.
2026-06-19_xlsx,mwtcb_copywriting_landbank.xlsx,Aggressive Hooks,2026-06-19_initial_landbank,4,BM038,MWTCB_25ML__xlsx__BM038,4,Takkan minyak standby pun nak pinjam jiran?
2026-06-19_xlsx,mwtcb_copywriting_landbank.xlsx,Aggressive Hooks,2026-06-19_initial_landbank,5,BM024,MWTCB_25ML__xlsx__BM024,5,Balik kerja badan rasa macam kena hempap hari Isnin?
2026-06-19_xlsx,mwtcb_copywriting_landbank.xlsx,Aggressive Hooks,2026-06-19_initial_landbank,6,BM006,MWTCB_25ML__xlsx__BM006,6,"Laci rumah penuh benda random, tapi minyak standby tak ada?"
2026-06-19_xlsx,mwtcb_copywriting_landbank.xlsx,Aggressive Hooks,2026-06-19_initial_landbank,7,BM045,MWTCB_25ML__xlsx__BM045,7,"Handbag penuh lip tint, tapi minyak standby tak ada?"
2026-06-19_xlsx,mwtcb_copywriting_landbank.xlsx,Aggressive Hooks,2026-06-19_initial_landbank,8,BM015,MWTCB_25ML__xlsx__BM015,8,Jangan tunggu perlu baru cari.
2026-06-19_xlsx,mwtcb_copywriting_landbank.xlsx,Aggressive Hooks,2026-06-19_initial_landbank,9,BM026,MWTCB_25ML__xlsx__BM026,9,Mak-mak tahu — benda kecil boleh jadi drama kalau tak standby.
2026-06-19_xlsx,mwtcb_copywriting_landbank.xlsx,Aggressive Hooks,2026-06-19_initial_landbank,10,BM035,MWTCB_25ML__xlsx__BM035,10,Produk macam ni bukan untuk show off. Dia untuk ada bila perlu.
