rank,motivation_id,primary_bucket,product_only_reason,sample_cta
1,BM_030,VISUAL_RECOGNITION,"Minyak hijau pekat / ""Kerja shift malam kilang atau security? Angin malam sejuk mencerah urat.""",Dapatkan Benteng Anda
2,BM_020,VISUAL_RECOGNITION,"Cap merah, herba asli / ""Tengah sedap lepak luar kena gigit nyamuk? Gatal sampai luka digarut.""",Standby Dalam Beg
3,BM_025,VISUAL_RECOGNITION,"Formula urut asli / ""Tengah masak tersalah rentap kuali sampai pergelangan tangan terseliuh?""",Simpan Di Datar Dapur
4,BM_034,VISUAL_RECOGNITION,"Botol kaca kuat / ""Kaki pancing laut malam tahu betapa kejamnya angin laut kalau masuk botol urat.""",Beli Stok Memancing
5,BM_038,VISUAL_RECOGNITION,"Formula tegar 1958 / ""Abang uniform bertugas banting tulang, badan malam-malam rasa lenguh menyucuk?""",Standby Dalam Poket
6,BM_022,VISUAL_RECOGNITION,"Bau herba menyegarkan / ""Anak study sampai malam suntuk tapi asyik mengantuk sebab badan lenguh?""",Beli Untuk Anak
7,BM_053,VISUAL_RECOGNITION,"Formula urut asli / ""Bila stress kerja menimbun, automatik urat tengkuk rasa tebal dan berat sangat?""",Klik Pelega Tengkuk
8,BM_059,VISUAL_RECOGNITION,"Formula herba asli / ""Lengan rasa lenguh kejang sbb angkat barang ofis naik turun tangga?""",Beli Saiz Poket
9,BM_019,VISUAL_RECOGNITION,"Bau herba semula jadi / ""Kepala rasa macam kena ketuk dengan tukul? Jangan telan ubat jer.""",Dapatkan Relief
10,BM_048,VISUAL_RECOGNITION,"Bau segar asli / ""Kerja bawah tengah panas sampai kepala rasa berpusing pening lalat?""",Standby Satu Botol
