usp_id,product_id,angle_id,motivation_id,usp_text,usp_family,proof_type,visual_proof,buyer_reason,primary_bucket,usage_context,boldness_level,best_content_format,platform_surface_fit,source_batch,usp_status
MWTCB_USP_001,MWTCB_25ML,MWTCB_ANG_001,MWTCB_25ML__xlsx__BM001,Formula asli herba turun-temurun sejak 1958.,Sejak 1958,heritage,show vintage logo,petua warisan dipercayai,STANDBY_BEFORE_NEED,rumah,AGGRESSIVE,hybrid_video,poster_ads,2026-06-19_part3_6_copy_components,draft
MWTCB_USP_002,MWTCB_25ML,MWTCB_ANG_001,MWTCB_25ML__xlsx__BM001,Sediaan herba asli tradisional untuk standby keluarga.,Sesuai standby,practical proof,show drawer cabinet placement,persediaan kecemasan keluarga,STANDBY_BEFORE_NEED,rumah,AGGRESSIVE,hybrid_video,poster_ads,2026-06-19_part3_6_copy_components,draft
MWTCB_USP_003,MWTCB_25ML,MWTCB_ANG_002,MWTCB_25ML__xlsx__BM001,"Cap merah senang nampak, minyak hijau pekat herba asli.",Minyak hijau tradisi,product-only visual proof,show green liquid,herba pekat tulen,STANDBY_BEFORE_NEED,rumah,MODERATE,hybrid_video,poster_ads,2026-06-19_part3_6_copy_components,draft
MWTCB_USP_004,MWTCB_25ML,MWTCB_ANG_002,MWTCB_25ML__xlsx__BM001,Sediaan herba asli tradisional untuk standby keluarga.,Sesuai standby,practical proof,show drawer cabinet placement,persediaan kecemasan keluarga,STANDBY_BEFORE_NEED,rumah,MODERATE,hybrid_video,poster_ads,2026-06-19_part3_6_copy_components,draft
MWTCB_USP_005,MWTCB_25ML,MWTCB_ANG_003,MWTCB_25ML__xlsx__BM001,Formula turun-temurun yang bertahan sejak 1958.,Sejak 1958,heritage,show vintage logo,petua warisan dipercayai,STANDBY_BEFORE_NEED,rumah,BOLD,hybrid_video,poster_ads,2026-06-19_part3_6_copy_components,draft
MWTCB_USP_006,MWTCB_25ML,MWTCB_ANG_003,MWTCB_25ML__xlsx__BM001,Sediaan herba asli tradisional untuk standby keluarga.,Sesuai standby,practical proof,show drawer cabinet placement,persediaan kecemasan keluarga,STANDBY_BEFORE_NEED,rumah,BOLD,hybrid_video,poster_ads,2026-06-19_part3_6_copy_components,draft
MWTCB_USP_007,MWTCB_25ML,MWTCB_ANG_004,MWTCB_25ML__xlsx__BM002,Herba pekat tradisional asli yang meresap pantas.,Botol 25ml,product-only visual proof,show green liquid,herba pekat tulen,STANDBY_BEFORE_NEED,laci,BOLD,hybrid_video,poster_ads,2026-06-19_part3_6_copy_components,draft
MWTCB_USP_008,MWTCB_25ML,MWTCB_ANG_004,MWTCB_25ML__xlsx__BM002,Sediaan herba asli tradisional untuk standby keluarga.,Sesuai standby,practical proof,show drawer cabinet placement,persediaan kecemasan keluarga,STANDBY_BEFORE_NEED,laci,BOLD,hybrid_video,poster_ads,2026-06-19_part3_6_copy_components,draft
MWTCB_USP_009,MWTCB_25ML,MWTCB_ANG_005,MWTCB_25ML__xlsx__BM002,Bau herba asli yang menenangkan tidur.,Botol 25ml,product-only visual proof,show green liquid,herba pekat tulen,STANDBY_BEFORE_NEED,laci,SOFT,hybrid_video,poster_ads,2026-06-19_part3_6_copy_components,draft
MWTCB_USP_010,MWTCB_25ML,MWTCB_ANG_005,MWTCB_25ML__xlsx__BM002,Sediaan herba asli tradisional untuk standby keluarga.,Sesuai standby,practical proof,show drawer cabinet placement,persediaan kecemasan keluarga,STANDBY_BEFORE_NEED,laci,SOFT,hybrid_video,poster_ads,2026-06-19_part3_6_copy_components,draft
MWTCB_USP_011,MWTCB_25ML,MWTCB_ANG_006,MWTCB_25ML__xlsx__BM002,Formula asli tradisional dengan herba hangat melonggarkan kejang.,Botol 25ml,product-only visual proof,show green liquid,herba pekat tulen,STANDBY_BEFORE_NEED,laci,AGGRESSIVE,hybrid_video,poster_ads,2026-06-19_part3_6_copy_components,draft
MWTCB_USP_012,MWTCB_25ML,MWTCB_ANG_006,MWTCB_25ML__xlsx__BM002,Sediaan herba asli tradisional untuk standby keluarga.,Sesuai standby,practical proof,show drawer cabinet placement,persediaan kecemasan keluarga,STANDBY_BEFORE_NEED,laci,AGGRESSIVE,hybrid_video,poster_ads,2026-06-19_part3_6_copy_components,draft
MWTCB_USP_013,MWTCB_25ML,MWTCB_ANG_007,MWTCB_25ML__xlsx__BM015,Petua tradisional tulen sejak 1958.,Sejak 1958,heritage,show vintage logo,petua warisan dipercayai,STANDBY_BEFORE_NEED,rumah,AGGRESSIVE,hybrid_video,poster_ads,2026-06-19_part3_6_copy_components,draft
MWTCB_USP_014,MWTCB_25ML,MWTCB_ANG_007,MWTCB_25ML__xlsx__BM015,Sediaan herba asli tradisional untuk standby keluarga.,Sesuai standby,practical proof,show drawer cabinet placement,persediaan kecemasan keluarga,STANDBY_BEFORE_NEED,rumah,AGGRESSIVE,hybrid_video,poster_ads,2026-06-19_part3_6_copy_components,draft
MWTCB_USP_015,MWTCB_25ML,MWTCB_ANG_008,MWTCB_25ML__xlsx__BM015,Cap merah mudah dicam ketika kecemasan.,Botol 25ml,product-only visual proof,show green liquid,herba pekat tulen,STANDBY_BEFORE_NEED,rumah,MODERATE,hybrid_video,poster_ads,2026-06-19_part3_6_copy_components,draft
MWTCB_USP_016,MWTCB_25ML,MWTCB_ANG_008,MWTCB_25ML__xlsx__BM015,Sediaan herba asli tradisional untuk standby keluarga.,Sesuai standby,practical proof,show drawer cabinet placement,persediaan kecemasan keluarga,STANDBY_BEFORE_NEED,rumah,MODERATE,hybrid_video,poster_ads,2026-06-19_part3_6_copy_components,draft
MWTCB_USP_017,MWTCB_25ML,MWTCB_ANG_009,MWTCB_25ML__xlsx__BM015,Cap merah mudah dicam sekali pandang.,Botol 25ml,product-only visual proof,show green liquid,herba pekat tulen,STANDBY_BEFORE_NEED,rumah,MODERATE,hybrid_video,poster_ads,2026-06-19_part3_6_copy_components,draft
MWTCB_USP_018,MWTCB_25ML,MWTCB_ANG_009,MWTCB_25ML__xlsx__BM015,Sediaan herba asli tradisional untuk standby keluarga.,Sesuai standby,practical proof,show drawer cabinet placement,persediaan kecemasan keluarga,STANDBY_BEFORE_NEED,rumah,MODERATE,hybrid_video,poster_ads,2026-06-19_part3_6_copy_components,draft
MWTCB_USP_019,MWTCB_25ML,MWTCB_ANG_010,MWTCB_25ML__xlsx__BM037,Petua asli tradisional sejak 1958.,Sejak 1958,heritage,show vintage logo,petua warisan dipercayai,STANDBY_BEFORE_NEED,malam,BOLD,hybrid_video,poster_ads,2026-06-19_part3_6_copy_components,draft
MWTCB_USP_020,MWTCB_25ML,MWTCB_ANG_010,MWTCB_25ML__xlsx__BM037,Sediaan herba asli tradisional untuk standby keluarga.,Sesuai standby,practical proof,show drawer cabinet placement,persediaan kecemasan keluarga,STANDBY_BEFORE_NEED,malam,BOLD,hybrid_video,poster_ads,2026-06-19_part3_6_copy_components,draft
