source_batch,source_file,source_sheet,import_version,source_sequence,source_motivation_id,buyer_motivation_row_id,rank,primary_bucket,buyer_stage,bundle_potential,hook,bundle_logic
2026-06-19_zip_csv,mwtcb_gemini_copywriting_landbank_csv.zip,Bundle_Top10,2026-06-19_initial_landbank,1,BM012,MWTCB_25ML__zip_csv__BM012,1,MULTI_BUY,repeat_buyer,HIGH,"""Harga murah gila, tak payah fikir dua kali. Guna kupon terus sauk 3 botol.""","""Satu letak beg, satu kereta, satu ruang tamu. Tak rugi standby barang lama."""
2026-06-19_zip_csv,mwtcb_gemini_copywriting_landbank_csv.zip,Bundle_Top10,2026-06-19_initial_landbank,2,BM024,MWTCB_25ML__zip_csv__BM024,2,FAMILY_HOME,repeat_buyer,HIGH,"""Siksa tengok mak ayah nak naik tangga surau sebab lutut bunyi ketat?""","""Minyak hijau herba pekat. Gosok tiap pagi, urat longgar langkah pun ringan."""
2026-06-19_zip_csv,mwtcb_gemini_copywriting_landbank_csv.zip,Bundle_Top10,2026-06-19_initial_landbank,3,BM026,MWTCB_25ML__zip_csv__BM026,3,SEASONAL_CONTEXT,repeat_buyer,HIGH,"""Balik kenduri perut rasa senak gas penuh? Nak sendawa tapi tak lepas.""","""Urut membulat minyak cap burung ni kat perut. Kejap lagi confirm sendawa puas."""
2026-06-19_zip_csv,mwtcb_gemini_copywriting_landbank_csv.zip,Bundle_Top10,2026-06-19_initial_landbank,4,BM057,MWTCB_25ML__zip_csv__BM057,4,PRACTICAL_STORAGE,repeat_buyer,HIGH,"""Kaki game yang main sampai subuh confirm wrist tangan rasa kejang guna mouse?""","""Jangan biar urat tangan rosak muda. Standby botol kecil ni tepi keyboard kau."""
2026-06-19_zip_csv,mwtcb_gemini_copywriting_landbank_csv.zip,Bundle_Top10,2026-06-19_initial_landbank,5,BM005,MWTCB_25ML__zip_csv__BM005,5,NOSTALGIA_TRUST,repeat_buyer,HIGH,"""Orang tua kalau dah start sebu perut, dia tak cari ubat moden. Dia cari yang ni.""","""Minyak Hijau formula asli. Sekali urut, angin lama terus keluar bertubi-tubi."""
2026-06-19_zip_csv,mwtcb_gemini_copywriting_landbank_csv.zip,Bundle_Top10,2026-06-19_initial_landbank,6,BM007,MWTCB_25ML__zip_csv__BM007,6,PRACTICAL_STORAGE,repeat_buyer,HIGH,"""Laci rumah kau penuh ubat tapi satu pun tak boleh pakai waktu kecemasan?""","""Cap merah ni senang cam. Letak satu dalam laci tv, satu dekat dapur."""
2026-06-19_zip_csv,mwtcb_gemini_copywriting_landbank_csv.zip,Bundle_Top10,2026-06-19_initial_landbank,7,BM015,MWTCB_25ML__zip_csv__BM015,7,NOSTALGIA_TRUST,repeat_buyer,HIGH,"""Orang tua kalau malam selalu terjaga sebab kaki sejuk? Sapu minyak herba ni.""","""Formula asli sejak 1958, panaskan tapak kaki sebelum tidur supaya lena."""
2026-06-19_zip_csv,mwtcb_gemini_copywriting_landbank_csv.zip,Bundle_Top10,2026-06-19_initial_landbank,8,BM045,MWTCB_25ML__zip_csv__BM045,8,TRAVEL_CAR_BAG,repeat_buyer,HIGH,"""Panjat gunung beg nak kena ringan, tapi minyak urut wajib bawa. Guna yang ni.""","""Botol kaca hijau tebal 25ml. Tak makan ruang beg, lutut start longgar terus gosok."""
2026-06-19_zip_csv,mwtcb_gemini_copywriting_landbank_csv.zip,Bundle_Top10,2026-06-19_initial_landbank,9,BM006,MWTCB_25ML__zip_csv__BM006,9,NOSTALGIA_TRUST,repeat_buyer,HIGH,"""Kerja angkat kotak sehari suntuk, malam ni confirm siksa tak boleh tidur.""","""Sapu sebelum tidur. Biar herba meresap, esok bangun badan fresh tak ada ketat."""
2026-06-19_zip_csv,mwtcb_gemini_copywriting_landbank_csv.zip,Bundle_Top10,2026-06-19_initial_landbank,10,BM013,MWTCB_25ML__zip_csv__BM013,10,NOSTALGIA_TRUST,repeat_buyer,HIGH,"""Otot ketat gila lepas layan leg day? Jangan biar esok jalan kengkang.""","""Minyak hijau ni herba dia pekat, urut sikit kat muscle terus rasa loose."""
