source_batch,source_file,source_sheet,import_version,source_sequence,source_motivation_id,buyer_motivation_row_id,rank,primary_bucket,poster_angle,sample_subhook,sample_cta
2026-06-19_zip_csv,mwtcb_gemini_copywriting_landbank_csv.zip,Poster_Top10,2026-06-19_initial_landbank,1,BM024,MWTCB_25ML__zip_csv__BM024,1,FAMILY_HOME,"""Siksa tengok mak ayah nak naik tangga surau sebab lutut bunyi ketat?""","""Minyak hijau herba pekat. Gosok tiap pagi, urat longgar langkah pun ringan.""",Beli Set Lutut
2026-06-19_zip_csv,mwtcb_gemini_copywriting_landbank_csv.zip,Poster_Top10,2026-06-19_initial_landbank,2,BM026,MWTCB_25ML__zip_csv__BM026,2,SEASONAL_CONTEXT,"""Balik kenduri perut rasa senak gas penuh? Nak sendawa tapi tak lepas.""","""Urut membulat minyak cap burung ni kat perut. Kejap lagi confirm sendawa puas.""",Beli Set Sendawa
2026-06-19_zip_csv,mwtcb_gemini_copywriting_landbank_csv.zip,Poster_Top10,2026-06-19_initial_landbank,3,BM001,MWTCB_25ML__zip_csv__BM001,3,STANDBY_BEFORE_NEED,"""Anak mula meragam pukul 2 pagi, waktu tu baru kau nak menggelimpang cari minyak?""","""Jangan tunggu anak melalak baru nak geledah almari. Sapu siap-siap.""",Tap Beg Kuning Standby
2026-06-19_zip_csv,mwtcb_gemini_copywriting_landbank_csv.zip,Poster_Top10,2026-06-19_initial_landbank,4,BM018,MWTCB_25ML__zip_csv__BM018,4,FAMILY_HOME,"""Ayah kau kalau dah start berkebun, petang confirm mengadu tangan kebas.""","""Bagi dia minyak hijau cap burung. Sekali tonyoh, urat tegang terus lembut.""",Beli Untuk Ayah
2026-06-19_zip_csv,mwtcb_gemini_copywriting_landbank_csv.zip,Poster_Top10,2026-06-19_initial_landbank,5,BM037,MWTCB_25ML__zip_csv__BM037,5,STANDBY_BEFORE_NEED,"""Pagi-pagi bangun tidur, pijak jer lantai terus tumit rasa menyucuk bisa?""","""Urut minyak cap burung ni kat tumit malam sebelum tidur. Esok bangun rasa ringan.""",Beli Pelega Tumit
2026-06-19_zip_csv,mwtcb_gemini_copywriting_landbank_csv.zip,Poster_Top10,2026-06-19_initial_landbank,6,BM056,MWTCB_25ML__zip_csv__BM056,6,STANDBY_BEFORE_NEED,"""Tengah malam perut memulas tajam sebab salah makan petang tadi? Siksa ooo.""","""Selesai urusan, terus sapu minyak cap burung sekeliling pusat. Redakan memulas.""",Standby Botol Perut
2026-06-19_zip_csv,mwtcb_gemini_copywriting_landbank_csv.zip,Poster_Top10,2026-06-19_initial_landbank,7,BM017,MWTCB_25ML__zip_csv__BM017,7,STANDBY_BEFORE_NEED,"""Tengah sedap tidur tiba-tiba betis kejang simpul biawak? Sakit dia sampai menangis.""","""Sebab tu kena letak botol cap merah ni tepi bantal. Capai terus urut.""",Standby Tepi Katil
2026-06-19_zip_csv,mwtcb_gemini_copywriting_landbank_csv.zip,Poster_Top10,2026-06-19_initial_landbank,8,BM003,MWTCB_25ML__zip_csv__BM003,8,FAMILY_HOME,"""Mak kat kampung tu kalau solat makin lama makin payah nak bangun. Jangan biarkan.""","""Bagi dia minyak yang dia memang kenal sejak kecil. Botol kaca hijau tradisi.""",Hantar Kat Mak Sekarang
2026-06-19_zip_csv,mwtcb_gemini_copywriting_landbank_csv.zip,Poster_Top10,2026-06-19_initial_landbank,9,BM014,MWTCB_25ML__zip_csv__BM014,9,FAMILY_HOME,"""Balik kampung minggu depan jangan balik tangan kosong. Mak ayah tak nak benda mahal.""","""Bawak balik sepeket minyak cap burung ni, senyum orang tua tu sebab barang rare.""",Beli Buah Tangan
2026-06-19_zip_csv,mwtcb_gemini_copywriting_landbank_csv.zip,Poster_Top10,2026-06-19_initial_landbank,10,BM011,MWTCB_25ML__zip_csv__BM011,10,FAMILY_HOME,"""Suri rumah kalau dah start mengemas, malam confirm mengaduh sakit pinggang.""","""Jangan biar malam kau tersiksa. Sapu minyak cap burung ni, herba asli serap dalam.""",Beli Untuk Isteri
