rank,motivation_id,primary_bucket,buyer_stage,bundle_potential,hook,bundle_logic
1,BM_012,MULTI_BUY,repeat_buyer,HIGH,"""Harga murah gila, tak payah fikir dua kali. Guna kupon terus sauk 3 botol.""","""Satu letak beg, satu kereta, satu ruang tamu. Tak rugi standby barang lama."""
2,BM_024,FAMILY_HOME,repeat_buyer,HIGH,"""Siksa tengok mak ayah nak naik tangga surau sebab lutut bunyi ketat?""","""Minyak hijau herba pekat. Gosok tiap pagi, urat longgar langkah pun ringan."""
3,BM_026,SEASONAL_CONTEXT,repeat_buyer,HIGH,"""Balik kenduri perut rasa senak gas penuh? Nak sendawa tapi tak lepas.""","""Urut membulat minyak cap burung ni kat perut. Kejap lagi confirm sendawa puas."""
4,BM_057,PRACTICAL_STORAGE,repeat_buyer,HIGH,"""Kaki game yang main sampai subuh confirm wrist tangan rasa kejang guna mouse?""","""Jangan biar urat tangan rosak muda. Standby botol kecil ni tepi keyboard kau."""
5,BM_005,NOSTALGIA_TRUST,repeat_buyer,HIGH,"""Orang tua kalau dah start sebu perut, dia tak cari ubat moden. Dia cari yang ni.""","""Minyak Hijau formula asli. Sekali urut, angin lama terus keluar bertubi-tubi."""
6,BM_007,PRACTICAL_STORAGE,repeat_buyer,HIGH,"""Laci rumah kau penuh ubat tapi satu pun tak boleh pakai waktu kecemasan?""","""Cap merah ni senang cam. Letak satu dalam laci tv, satu dekat dapur."""
7,BM_015,NOSTALGIA_TRUST,repeat_buyer,HIGH,"""Orang tua kalau malam selalu terjaga sebab kaki sejuk? Sapu minyak herba ni.""","""Formula asli sejak 1958, panaskan tapak kaki sebelum tidur supaya lena."""
8,BM_045,TRAVEL_CAR_BAG,repeat_buyer,HIGH,"""Panjat gunung beg nak kena ringan, tapi minyak urut wajib bawa. Guna yang ni.""","""Botol kaca hijau tebal 25ml. Tak makan ruang beg, lutut start longgar terus gosok."""
9,BM_006,NOSTALGIA_TRUST,repeat_buyer,HIGH,"""Kerja angkat kotak sehari suntuk, malam ni confirm siksa tak boleh tidur.""","""Sapu sebelum tidur. Biar herba meresap, esok bangun badan fresh tak ada ketat."""
10,BM_013,NOSTALGIA_TRUST,repeat_buyer,HIGH,"""Otot ketat gila lepas layan leg day? Jangan biar esok jalan kengkang.""","""Minyak hijau ni herba dia pekat, urut sikit kat muscle terus rasa loose."""
