source_batch,source_file,source_sheet,import_version,source_sequence,source_motivation_id,buyer_motivation_row_id,rank,primary_bucket,product_only_reason,sample_cta
2026-06-19_zip_csv,mwtcb_gemini_copywriting_landbank_csv.zip,ProductOnly_Top10,2026-06-19_initial_landbank,1,BM030,MWTCB_25ML__zip_csv__BM030,1,VISUAL_RECOGNITION,"Minyak hijau pekat / ""Kerja shift malam kilang atau security? Angin malam sejuk mencerah urat.""",Dapatkan Benteng Anda
2026-06-19_zip_csv,mwtcb_gemini_copywriting_landbank_csv.zip,ProductOnly_Top10,2026-06-19_initial_landbank,2,BM020,MWTCB_25ML__zip_csv__BM020,2,VISUAL_RECOGNITION,"Cap merah, herba asli / ""Tengah sedap lepak luar kena gigit nyamuk? Gatal sampai luka digarut.""",Standby Dalam Beg
2026-06-19_zip_csv,mwtcb_gemini_copywriting_landbank_csv.zip,ProductOnly_Top10,2026-06-19_initial_landbank,3,BM025,MWTCB_25ML__zip_csv__BM025,3,VISUAL_RECOGNITION,"Formula urut asli / ""Tengah masak tersalah rentap kuali sampai pergelangan tangan terseliuh?""",Simpan Di Datar Dapur
2026-06-19_zip_csv,mwtcb_gemini_copywriting_landbank_csv.zip,ProductOnly_Top10,2026-06-19_initial_landbank,4,BM034,MWTCB_25ML__zip_csv__BM034,4,VISUAL_RECOGNITION,"Botol kaca kuat / ""Kaki pancing laut malam tahu betapa kejamnya angin laut kalau masuk botol urat.""",Beli Stok Memancing
2026-06-19_zip_csv,mwtcb_gemini_copywriting_landbank_csv.zip,ProductOnly_Top10,2026-06-19_initial_landbank,5,BM038,MWTCB_25ML__zip_csv__BM038,5,VISUAL_RECOGNITION,"Formula tegar 1958 / ""Abang uniform bertugas banting tulang, badan malam-malam rasa lenguh menyucuk?""",Standby Dalam Poket
2026-06-19_zip_csv,mwtcb_gemini_copywriting_landbank_csv.zip,ProductOnly_Top10,2026-06-19_initial_landbank,6,BM022,MWTCB_25ML__zip_csv__BM022,6,VISUAL_RECOGNITION,"Bau herba menyegarkan / ""Anak study sampai malam suntuk tapi asyik mengantuk sebab badan lenguh?""",Beli Untuk Anak
2026-06-19_zip_csv,mwtcb_gemini_copywriting_landbank_csv.zip,ProductOnly_Top10,2026-06-19_initial_landbank,7,BM053,MWTCB_25ML__zip_csv__BM053,7,VISUAL_RECOGNITION,"Formula urut asli / ""Bila stress kerja menimbun, automatik urat tengkuk rasa tebal dan berat sangat?""",Klik Pelega Tengkuk
2026-06-19_zip_csv,mwtcb_gemini_copywriting_landbank_csv.zip,ProductOnly_Top10,2026-06-19_initial_landbank,8,BM059,MWTCB_25ML__zip_csv__BM059,8,VISUAL_RECOGNITION,"Formula herba asli / ""Lengan rasa lenguh kejang sbb angkat barang ofis naik turun tangga?""",Beli Saiz Poket
2026-06-19_zip_csv,mwtcb_gemini_copywriting_landbank_csv.zip,ProductOnly_Top10,2026-06-19_initial_landbank,9,BM019,MWTCB_25ML__zip_csv__BM019,9,VISUAL_RECOGNITION,"Bau herba semula jadi / ""Kepala rasa macam kena ketuk dengan tukul? Jangan telan ubat jer.""",Dapatkan Relief
2026-06-19_zip_csv,mwtcb_gemini_copywriting_landbank_csv.zip,ProductOnly_Top10,2026-06-19_initial_landbank,10,BM048,MWTCB_25ML__zip_csv__BM048,10,VISUAL_RECOGNITION,"Bau segar asli / ""Kerja bawah tengah panas sampai kepala rasa berpusing pening lalat?""",Standby Satu Botol
