source_batch,source_file,source_sheet,import_version,source_sequence,source_motivation_id,buyer_motivation_row_id,rank,poster_angle
2026-06-19_xlsx,mwtcb_copywriting_landbank.xlsx,Poster Top10,2026-06-19_initial_landbank,1,BM015,MWTCB_25ML__xlsx__BM015,1,Jangan tunggu perlu baru cari.
2026-06-19_xlsx,mwtcb_copywriting_landbank.xlsx,Poster Top10,2026-06-19_initial_landbank,2,BM001,MWTCB_25ML__xlsx__BM001,2,Satu rumah wajib ada minyak standby.
2026-06-19_xlsx,mwtcb_copywriting_landbank.xlsx,Poster Top10,2026-06-19_initial_landbank,3,BM013,MWTCB_25ML__xlsx__BM013,3,Rumah cantik tak guna kalau benda basic tak ada.
2026-06-19_xlsx,mwtcb_copywriting_landbank.xlsx,Poster Top10,2026-06-19_initial_landbank,4,BM030,MWTCB_25ML__xlsx__BM030,4,Yang bertahan sejak 1958 lain cerita.
2026-06-19_xlsx,mwtcb_copywriting_landbank.xlsx,Poster Top10,2026-06-19_initial_landbank,5,BM036,MWTCB_25ML__xlsx__BM036,5,Satu botol cepat lesap. Ambil lebih.
2026-06-19_xlsx,mwtcb_copywriting_landbank.xlsx,Poster Top10,2026-06-19_initial_landbank,6,BM021,MWTCB_25ML__xlsx__BM021,6,"Bila satu rumah pakai, stok kena ada."
2026-06-19_xlsx,mwtcb_copywriting_landbank.xlsx,Poster Top10,2026-06-19_initial_landbank,7,BM056,MWTCB_25ML__xlsx__BM056,7,“Sejak 1958” sebagai trust headline.
2026-06-19_xlsx,mwtcb_copywriting_landbank.xlsx,Poster Top10,2026-06-19_initial_landbank,8,BM028,MWTCB_25ML__xlsx__BM028,8,"Rak rumah nampak penuh, tapi minyak standby tak ada?"
2026-06-19_xlsx,mwtcb_copywriting_landbank.xlsx,Poster Top10,2026-06-19_initial_landbank,9,BM038,MWTCB_25ML__xlsx__BM038,9,Takkan minyak standby pun nak pinjam jiran?
2026-06-19_xlsx,mwtcb_copywriting_landbank.xlsx,Poster Top10,2026-06-19_initial_landbank,10,BM059,MWTCB_25ML__xlsx__BM059,10,"Bila rumah ramai orang, benda kecil cepat jadi kecoh."
