hook_id,product_id,angle_id,motivation_id,hook_text,hook_family,hook_style,boldness_level,buyer_stage,persona_fit,primary_bucket,platform_surface_fit,best_content_format,opening_pattern,emotion_trigger,curiosity_gap,visual_prompt_hint,usage_context,sales_mechanism,compliance_risk_level,source_batch,hook_status
MWTCB_HOOK_001,MWTCB_25ML,MWTCB_ANG_001,MWTCB_25ML__xlsx__BM001,Anak melalak pukul 2 pagi baru kau kalut nak cari minyak?,standby_before_need,problem_hook,AGGRESSIVE,cold_scroll,universal_household,STANDBY_BEFORE_NEED,poster_ads,hybrid_video,Anak melalak pukul 2 pagi...,panic,remedy speed,Close-up jam dinding menunjukkan pukul 2:30 pagi. Ibu dengan cemas menggeledah laci meja melegakan anak dengan minyak cap merah.,rumah,before_need_preparation,LOW,2026-06-19_part3_6_copy_components,draft
MWTCB_HOOK_002,MWTCB_25ML,MWTCB_ANG_001,MWTCB_25ML__xlsx__BM001,POV: Beli siap-siap sebab anak mula meragam atau kembung perut pukul 2 pagi ketika semua farmasi sudah tutup.,standby_before_need,POV_hook,AGGRESSIVE,cold_scroll,universal_household,STANDBY_BEFORE_NEED,poster_ads,hybrid_video,POV: Beli siap-siap sebab anak...,identification,situation match,Close-up jam dinding menunjukkan pukul 2:30 pagi. Ibu dengan cemas menggeledah laci meja melegakan anak dengan minyak cap merah.,rumah,before_need_preparation,LOW,2026-06-19_part3_6_copy_components,draft
MWTCB_HOOK_003,MWTCB_25ML,MWTCB_ANG_001,MWTCB_25ML__xlsx__BM001,Jangan tunggu sampai anak mula meragam atau kembung perut pukul 2 pagi ketika semua farmasi sudah tutup baru sibuk nak cari minyak!,standby_before_need,warning_hook,AGGRESSIVE,cold_scroll,universal_household,STANDBY_BEFORE_NEED,poster_ads,hybrid_video,Jangan tunggu sampai anak mula...,guilt,problem solution,Close-up jam dinding menunjukkan pukul 2:30 pagi. Ibu dengan cemas menggeledah laci meja melegakan anak dengan minyak cap merah.,rumah,before_need_preparation,LOW,2026-06-19_part3_6_copy_components,draft
MWTCB_HOOK_004,MWTCB_25ML,MWTCB_ANG_002,MWTCB_25ML__xlsx__BM001,"Dapur cantik, barang standby kecemasan pula tarak.",household_readiness,standby_hook,MODERATE,cold_scroll,universal_household,STANDBY_BEFORE_NEED,poster_ads,hybrid_video,"Dapur cantik, barang standby kecemasan...",concern,emergency readiness,"Tangan ibu terseliuh ringan ketika memusing kuali tebal di dapur, lalu segera mencapai botol kaca hijau retro Cap Burung dari rak rempah.",rumah,before_need_preparation,LOW,2026-06-19_part3_6_copy_components,draft
MWTCB_HOOK_005,MWTCB_25ML,MWTCB_ANG_002,MWTCB_25ML__xlsx__BM001,"POV: Beli siap-siap sebab sengal-sengal semasa memasak atau bekerja di dapur, memerlukan sapuan pantas.",household_readiness,POV_hook,MODERATE,cold_scroll,universal_household,STANDBY_BEFORE_NEED,poster_ads,hybrid_video,POV: Beli siap-siap sebab sengal-sengal...,identification,situation match,"Tangan ibu terseliuh ringan ketika memusing kuali tebal di dapur, lalu segera mencapai botol kaca hijau retro Cap Burung dari rak rempah.",rumah,before_need_preparation,LOW,2026-06-19_part3_6_copy_components,draft
MWTCB_HOOK_006,MWTCB_25ML,MWTCB_ANG_002,MWTCB_25ML__xlsx__BM001,"Pernah tak korang gelabah bila sengal-sengal semasa memasak atau bekerja di dapur, memerlukan sapuan pantas?",household_readiness,question_hook,MODERATE,cold_scroll,universal_household,STANDBY_BEFORE_NEED,poster_ads,hybrid_video,Pernah tak korang gelabah bila...,empathy,problem solution,"Tangan ibu terseliuh ringan ketika memusing kuali tebal di dapur, lalu segera mencapai botol kaca hijau retro Cap Burung dari rak rempah.",rumah,before_need_preparation,LOW,2026-06-19_part3_6_copy_components,draft
MWTCB_HOOK_007,MWTCB_25ML,MWTCB_ANG_003,MWTCB_25ML__xlsx__BM001,"Benda ni beli bukan sebab tengah sakit, tapi sebab tahu nanti akan perlu.",standby_before_need,problem_hook,BOLD,cold_scroll,universal_household,STANDBY_BEFORE_NEED,poster_ads,hybrid_video,Benda ni beli bukan sebab...,concern,remedy speed,"Tangan menyusun 3 botol Cap Burung dalam susunan rapi di laci ruang tamu, dashboard kereta, dan beg kerja.",rumah,before_need_preparation,LOW,2026-06-19_part3_6_copy_components,draft
MWTCB_HOOK_008,MWTCB_25ML,MWTCB_ANG_003,MWTCB_25ML__xlsx__BM001,POV: Beli siap-siap sebab mengubah tabiat membeli dari 'membeli ketika sakit' kepada 'stok awal sebelum sakit'.,standby_before_need,POV_hook,BOLD,cold_scroll,universal_household,STANDBY_BEFORE_NEED,poster_ads,hybrid_video,POV: Beli siap-siap sebab mengubah...,identification,situation match,"Tangan menyusun 3 botol Cap Burung dalam susunan rapi di laci ruang tamu, dashboard kereta, dan beg kerja.",rumah,before_need_preparation,LOW,2026-06-19_part3_6_copy_components,draft
MWTCB_HOOK_009,MWTCB_25ML,MWTCB_ANG_003,MWTCB_25ML__xlsx__BM001,Jangan tunggu sampai mengubah tabiat membeli dari 'membeli ketika sakit' kepada 'stok awal sebelum sakit' baru sibuk nak cari minyak!,standby_before_need,warning_hook,BOLD,cold_scroll,universal_household,STANDBY_BEFORE_NEED,poster_ads,hybrid_video,Jangan tunggu sampai mengubah tabiat...,guilt,problem solution,"Tangan menyusun 3 botol Cap Burung dalam susunan rapi di laci ruang tamu, dashboard kereta, dan beg kerja.",rumah,before_need_preparation,LOW,2026-06-19_part3_6_copy_components,draft
MWTCB_HOOK_010,MWTCB_25ML,MWTCB_ANG_004,MWTCB_25ML__xlsx__BM002,Badan tak bagi e-mel makluman sebelum urat tengkuk kau kejang.,standby_before_need,standby_hook,BOLD,warm_interest,universal_household,STANDBY_BEFORE_NEED,poster_ads,hybrid_video,Badan tak bagi e-mel makluman...,concern,remedy speed,Lelaki korporat sedang duduk di kerusi ofis tiba-tiba memegang lehernya yang kaku sambil mengerang kecil.,laci,fear_of_not_having,LOW,2026-06-19_part3_6_copy_components,draft
