source_batch,source_file,source_sheet,import_version,source_sequence,source_motivation_id,buyer_motivation_row_id,rank,hook
2026-06-19_xlsx,mwtcb_copywriting_landbank.xlsx,Safe Hooks,2026-06-19_initial_landbank,1,BM001,MWTCB_25ML__xlsx__BM001,1,Satu rumah patut ada minyak standby macam ni.
2026-06-19_xlsx,mwtcb_copywriting_landbank.xlsx,Safe Hooks,2026-06-19_initial_landbank,2,BM003,MWTCB_25ML__xlsx__BM003,2,Mak ayah kita bukan saja-saja simpan minyak macam ni.
2026-06-19_xlsx,mwtcb_copywriting_landbank.xlsx,Safe Hooks,2026-06-19_initial_landbank,3,BM014,MWTCB_25ML__xlsx__BM014,3,"Satu untuk rumah, satu untuk kereta, satu untuk beg."
2026-06-19_xlsx,mwtcb_copywriting_landbank.xlsx,Safe Hooks,2026-06-19_initial_landbank,4,BM030,MWTCB_25ML__xlsx__BM030,4,Yang bertahan sejak 1958 lain cerita.
2026-06-19_xlsx,mwtcb_copywriting_landbank.xlsx,Safe Hooks,2026-06-19_initial_landbank,5,BM018,MWTCB_25ML__xlsx__BM018,5,"Kalau kau pernah buka almari rumah tok, kau tahu vibe ni."
2026-06-19_xlsx,mwtcb_copywriting_landbank.xlsx,Safe Hooks,2026-06-19_initial_landbank,6,BM005,MWTCB_25ML__xlsx__BM005,6,Botol kecil ni senang masuk mana-mana.
2026-06-19_xlsx,mwtcb_copywriting_landbank.xlsx,Safe Hooks,2026-06-19_initial_landbank,7,BM022,MWTCB_25ML__xlsx__BM022,7,Nak belikan mak ayah sesuatu yang betul-betul berguna?
2026-06-19_xlsx,mwtcb_copywriting_landbank.xlsx,Safe Hooks,2026-06-19_initial_landbank,8,BM056,MWTCB_25ML__xlsx__BM056,8,"‘Sejak 1958’ tu bukan hiasan, itu signal."
2026-06-19_xlsx,mwtcb_copywriting_landbank.xlsx,Safe Hooks,2026-06-19_initial_landbank,9,BM012,MWTCB_25ML__xlsx__BM012,9,"Cap merah, minyak hijau — sekali pandang dah cam."
2026-06-19_xlsx,mwtcb_copywriting_landbank.xlsx,Safe Hooks,2026-06-19_initial_landbank,10,BM051,MWTCB_25ML__xlsx__BM051,10,"Charger, skincare, baju semua ingat. Minyak standby jangan lupa."
