Category,Value
primary_bucket,STANDBY_BEFORE_NEED
primary_bucket,FAMILY_HOME
primary_bucket,MULTI_BUY
primary_bucket,TRAVEL_CAR_BAG
primary_bucket,NOSTALGIA_TRUST
primary_bucket,PRACTICAL_STORAGE
primary_bucket,TIKTOK_CURIOSITY
primary_bucket,PERSONA_SPECIFIC
primary_bucket,SEASONAL_CONTEXT
primary_bucket,VISUAL_RECOGNITION
buyer_stage,cold_scroll
buyer_stage,warm_interest
buyer_stage,ready_to_buy
buyer_stage,repeat_buyer
buyer_stage,gift_buyer
boldness_level,SOFT
boldness_level,MODERATE
boldness_level,BOLD
boldness_level,AGGRESSIVE
expansion_priority,HIGH
expansion_priority,MEDIUM
expansion_priority,LOW
