rank,motivation_id,UGC_angle
1,BM026,Mak-mak cakap direct: “Benda macam ni kena ada sebelum rumah kecoh.”
2,BM003,Anak cerita habit mak ayah simpan minyak.
3,BM024,Lelaki/pekerja balik kerja badan rasa berat.
4,BM022,"Anak beli untuk mak ayah, practical gift."
5,BM045,Handbag penuh barang beauty tapi minyak standby tak ada.
6,BM031,Petua orang lama jangan cepat dibuang.
7,BM011,Bukan semua benda viral boleh dipercayai.
8,BM017,Satu rumah cari barang yang sama bila tak selesa.
9,BM035,"Produk bukan untuk show off, untuk ada bila perlu."
10,BM046,Lelaki pun kena standby barang basic.
