motivation_classification_row_id,product_id,source_motivation_id,source_motivation_id_raw,motivation_batch_key,buyer_motivation_row_id,source_file,source_sheet,source_batch,import_version,source_sequence,primary_bucket,secondary_bucket,buyer_stage,persona_fit,boldness_level,usage_context,sales_mechanism,best_content_format,best_platform_surface,bundle_potential,repeat_purchase_potential,strongest_hook_from_this_motivation,expansion_priority,notes_for_angle_generation
MWTCB_25ML__zip_csv__BM001,MWTCB_25ML,BM001,BM_001,2026-06-19_zip_csv__BM001,MWTCB_25ML__zip_csv__BM001,mwtcb_gemini_copywriting_landbank_csv.zip,Classification_Layer,2026-06-19_zip_csv,2026-06-19_initial_landbank,1,STANDBY_BEFORE_NEED,NOSTALGIA_TRUST,ready_to_buy,mak_mak,AGGRESSIVE,malam,fear_of_not_having,poster_ad,poster_ads,MEDIUM,MEDIUM,"""Anak mula meragam pukul 2 pagi, waktu tu baru kau nak menggelimpang cari minyak?""",HIGH,Expand as standby_before_need angle using PAS with proof: Formula Asli sejak 1958. Keep raw sales tension; split final variants by boldness.
MWTCB_25ML__zip_csv__BM002,MWTCB_25ML,BM002,BM_002,2026-06-19_zip_csv__BM002,MWTCB_25ML__zip_csv__BM002,mwtcb_gemini_copywriting_landbank_csv.zip,Classification_Layer,2026-06-19_zip_csv,2026-06-19_initial_landbank,2,TRAVEL_CAR_BAG,PRACTICAL_STORAGE,ready_to_buy,driver_travel,BOLD,kerja,practical_convenience,POV_scene,TikTok_Shop_video,MEDIUM,LOW,"""Hadap jem dari KL ke Shah Alam, pinggang dah bunyi 'krak'. Kau ada benda ni?""",HIGH,Expand as travel_car_bag angle using HSO with proof: Botol 25ml muat cup holder. Keep raw sales tension; split final variants by boldness.
MWTCB_25ML__zip_csv__BM003,MWTCB_25ML,BM003,BM_003,2026-06-19_zip_csv__BM003,MWTCB_25ML__zip_csv__BM003,mwtcb_gemini_copywriting_landbank_csv.zip,Classification_Layer,2026-06-19_zip_csv,2026-06-19_initial_landbank,3,FAMILY_HOME,VISUAL_RECOGNITION,gift_buyer,anak_beli_untuk_parent,MODERATE,balik_kampung,family_responsibility,UGC_talking_head,TikTok_Shop_video,MEDIUM,HIGH,"""Mak kat kampung tu kalau solat makin lama makin payah nak bangun. Jangan biarkan.""",HIGH,Expand as family_home angle using BAB with proof: Label Warisan Cap Burung. Keep raw sales tension; split final variants by boldness.
MWTCB_25ML__zip_csv__BM004,MWTCB_25ML,BM004,BM_004,2026-06-19_zip_csv__BM004,MWTCB_25ML__zip_csv__BM004,mwtcb_gemini_copywriting_landbank_csv.zip,Classification_Layer,2026-06-19_zip_csv,2026-06-19_initial_landbank,4,PRACTICAL_STORAGE,TRAVEL_CAR_BAG,ready_to_buy,anak_beli_untuk_parent,AGGRESSIVE,beg,multi_location_logic,POV_scene,TikTok_Shop_video,MEDIUM,LOW,"""Bawa minyak besar-besar dalam beg travel buat menyemak jer. Guna yang ni.""",HIGH,"Expand as practical_storage angle using FAB with proof: Botol kaca hijau tebal, saiz 25ml. Keep raw sales tension; split final variants by boldness."
MWTCB_25ML__zip_csv__BM005,MWTCB_25ML,BM005,BM_005,2026-06-19_zip_csv__BM005,MWTCB_25ML__zip_csv__BM005,mwtcb_gemini_copywriting_landbank_csv.zip,Classification_Layer,2026-06-19_zip_csv,2026-06-19_initial_landbank,5,NOSTALGIA_TRUST,FAMILY_HOME,repeat_buyer,anak_beli_untuk_parent,MODERATE,rumah,nostalgia_trust,hybrid_video,TikTok_Shop_video,HIGH,HIGH,"""Orang tua kalau dah start sebu perut, dia tak cari ubat moden. Dia cari yang ni.""",HIGH,Expand as nostalgia_trust angle using PASTOR with proof: Petua Turun Temurun 1958. Keep raw sales tension; split final variants by boldness.
MWTCB_25ML__zip_csv__BM006,MWTCB_25ML,BM006,BM_006,2026-06-19_zip_csv__BM006,MWTCB_25ML__zip_csv__BM006,mwtcb_gemini_copywriting_landbank_csv.zip,Classification_Layer,2026-06-19_zip_csv,2026-06-19_initial_landbank,6,NOSTALGIA_TRUST,MULTI_BUY,repeat_buyer,lelaki_bekerja,AGGRESSIVE,kerja,fear_of_not_having,hybrid_video,TikTok_Shop_video,HIGH,HIGH,"""Kerja angkat kotak sehari suntuk, malam ni confirm siksa tak boleh tidur.""",MEDIUM,Expand as nostalgia_trust angle using PAS with proof: Formula tegang urat. Keep raw sales tension; split final variants by boldness.
MWTCB_25ML__zip_csv__BM007,MWTCB_25ML,BM007,BM_007,2026-06-19_zip_csv__BM007,MWTCB_25ML__zip_csv__BM007,mwtcb_gemini_copywriting_landbank_csv.zip,Classification_Layer,2026-06-19_zip_csv,2026-06-19_initial_landbank,7,PRACTICAL_STORAGE,STANDBY_BEFORE_NEED,repeat_buyer,family_home_buyer,MODERATE,rumah,practical_convenience,POV_scene,TikTok_Shop_video,HIGH,LOW,"""Laci rumah kau penuh ubat tapi satu pun tak boleh pakai waktu kecemasan?""",HIGH,Expand as practical_storage angle using Problem/Moment with proof: Botol 25ml senang selit. Keep raw sales tension; split final variants by boldness.
MWTCB_25ML__zip_csv__BM008,MWTCB_25ML,BM008,BM_008,2026-06-19_zip_csv__BM008,MWTCB_25ML__zip_csv__BM008,mwtcb_gemini_copywriting_landbank_csv.zip,Classification_Layer,2026-06-19_zip_csv,2026-06-19_initial_landbank,8,TRAVEL_CAR_BAG,STANDBY_BEFORE_NEED,cold_scroll,driver_travel,MODERATE,beg,before_need_preparation,POV_scene,TikTok_Shop_video,LOW,LOW,"""Rider gigil atas motor redah hujan? Jangan sampai urat kaki kejang tengah jalan.""",MEDIUM,Expand as travel_car_bag angle using HSO with proof: Formula Asli herba. Keep raw sales tension; split final variants by boldness.
MWTCB_25ML__zip_csv__BM009,MWTCB_25ML,BM009,BM_009,2026-06-19_zip_csv__BM009,MWTCB_25ML__zip_csv__BM009,mwtcb_gemini_copywriting_landbank_csv.zip,Classification_Layer,2026-06-19_zip_csv,2026-06-19_initial_landbank,9,NOSTALGIA_TRUST,VISUAL_RECOGNITION,ready_to_buy,nostalgia_buyer,MODERATE,balik_kampung,nostalgia_trust,hybrid_video,TikTok_Shop_video,MEDIUM,MEDIUM,"""Berhenti scroll! Kau ingat lagi tak minyak cap burung kat rumah tok dulu?""",HIGH,Expand as nostalgia_trust angle using Hook/Memory with proof: Sejak 1958 & Cap Burung. Keep raw sales tension; split final variants by boldness.
MWTCB_25ML__zip_csv__BM010,MWTCB_25ML,BM010,BM_010,2026-06-19_zip_csv__BM010,MWTCB_25ML__zip_csv__BM010,mwtcb_gemini_copywriting_landbank_csv.zip,Classification_Layer,2026-06-19_zip_csv,2026-06-19_initial_landbank,10,TRAVEL_CAR_BAG,VISUAL_RECOGNITION,warm_interest,lelaki_bekerja,AGGRESSIVE,kerja,fear_of_not_having,UGC_talking_head,TikTok_Shop_video,MEDIUM,LOW,"""Balik kerja kena berdiri tegak sejam dalam LRT? Kaki rasa nak luruh.""",MEDIUM,Expand as travel_car_bag angle using PAS with proof: Minyak hijau pekat. Keep raw sales tension; split final variants by boldness.
