source_batch,source_file,source_sheet,import_version,source_sequence,source_motivation_id,buyer_motivation_row_id,rank,boldness_level,hook,sample_subhook,sample_cta
2026-06-19_zip_csv,mwtcb_gemini_copywriting_landbank_csv.zip,Aggressive_Hooks,2026-06-19_initial_landbank,1,BM012,MWTCB_25ML__zip_csv__BM012,1,AGGRESSIVE,"""Harga murah gila, tak payah fikir dua kali. Guna kupon terus sauk 3 botol.""","""Satu letak beg, satu kereta, satu ruang tamu. Tak rugi standby barang lama.""",Tap Beg Kuning
2026-06-19_zip_csv,mwtcb_gemini_copywriting_landbank_csv.zip,Aggressive_Hooks,2026-06-19_initial_landbank,2,BM024,MWTCB_25ML__zip_csv__BM024,2,AGGRESSIVE,"""Siksa tengok mak ayah nak naik tangga surau sebab lutut bunyi ketat?""","""Minyak hijau herba pekat. Gosok tiap pagi, urat longgar langkah pun ringan.""",Beli Set Lutut
2026-06-19_zip_csv,mwtcb_gemini_copywriting_landbank_csv.zip,Aggressive_Hooks,2026-06-19_initial_landbank,3,BM026,MWTCB_25ML__zip_csv__BM026,3,AGGRESSIVE,"""Balik kenduri perut rasa senak gas penuh? Nak sendawa tapi tak lepas.""","""Urut membulat minyak cap burung ni kat perut. Kejap lagi confirm sendawa puas.""",Beli Set Sendawa
2026-06-19_zip_csv,mwtcb_gemini_copywriting_landbank_csv.zip,Aggressive_Hooks,2026-06-19_initial_landbank,4,BM057,MWTCB_25ML__zip_csv__BM057,4,AGGRESSIVE,"""Kaki game yang main sampai subuh confirm wrist tangan rasa kejang guna mouse?""","""Jangan biar urat tangan rosak muda. Standby botol kecil ni tepi keyboard kau.""",Klik Beli Kaki Game
2026-06-19_zip_csv,mwtcb_gemini_copywriting_landbank_csv.zip,Aggressive_Hooks,2026-06-19_initial_landbank,5,BM001,MWTCB_25ML__zip_csv__BM001,5,AGGRESSIVE,"""Anak mula meragam pukul 2 pagi, waktu tu baru kau nak menggelimpang cari minyak?""","""Jangan tunggu anak melalak baru nak geledah almari. Sapu siap-siap.""",Tap Beg Kuning Standby
2026-06-19_zip_csv,mwtcb_gemini_copywriting_landbank_csv.zip,Aggressive_Hooks,2026-06-19_initial_landbank,6,BM004,MWTCB_25ML__zip_csv__BM004,6,AGGRESSIVE,"""Bawa minyak besar-besar dalam beg travel buat menyemak jer. Guna yang ni.""","""Saiz 25ml, kaca hijau tebal. Sumbat celah zip pun tak risau pecah atau tumpah.""",Beli Saiz Travel
2026-06-19_zip_csv,mwtcb_gemini_copywriting_landbank_csv.zip,Aggressive_Hooks,2026-06-19_initial_landbank,7,BM016,MWTCB_25ML__zip_csv__BM016,7,AGGRESSIVE,"""Duduk menghadap laptop 8 jam, leher rasa macam kena simen. Keras gila.""","""Sapu minyak cap burung ni dekat tengkuk. Bau herba segar, urat pun longgar.""",Simpan Di Ofis
2026-06-19_zip_csv,mwtcb_gemini_copywriting_landbank_csv.zip,Aggressive_Hooks,2026-06-19_initial_landbank,8,BM018,MWTCB_25ML__zip_csv__BM018,8,AGGRESSIVE,"""Ayah kau kalau dah start berkebun, petang confirm mengadu tangan kebas.""","""Bagi dia minyak hijau cap burung. Sekali tonyoh, urat tegang terus lembut.""",Beli Untuk Ayah
2026-06-19_zip_csv,mwtcb_gemini_copywriting_landbank_csv.zip,Aggressive_Hooks,2026-06-19_initial_landbank,9,BM031,MWTCB_25ML__zip_csv__BM031,9,AGGRESSIVE,"""Bangun pagi leher terus kaku tak boleh toleh? Siksa ooo kena salah bantal.""","""Jangan biar satu hari rosak. Gosok minyak cap burung ni, biar herba lembutkan urat.""",Klik Sini Lega Laju
2026-06-19_zip_csv,mwtcb_gemini_copywriting_landbank_csv.zip,Aggressive_Hooks,2026-06-19_initial_landbank,10,BM037,MWTCB_25ML__zip_csv__BM037,10,AGGRESSIVE,"""Pagi-pagi bangun tidur, pijak jer lantai terus tumit rasa menyucuk bisa?""","""Urut minyak cap burung ni kat tumit malam sebelum tidur. Esok bangun rasa ringan.""",Beli Pelega Tumit
