rank,motivation_id,poster_angle
1,BM015,Jangan tunggu perlu baru cari.
2,BM001,Satu rumah wajib ada minyak standby.
3,BM013,Rumah cantik tak guna kalau benda basic tak ada.
4,BM030,Yang bertahan sejak 1958 lain cerita.
5,BM036,Satu botol cepat lesap. Ambil lebih.
6,BM021,"Bila satu rumah pakai, stok kena ada."
7,BM056,“Sejak 1958” sebagai trust headline.
8,BM028,"Rak rumah nampak penuh, tapi minyak standby tak ada?"
9,BM038,Takkan minyak standby pun nak pinjam jiran?
10,BM059,"Bila rumah ramai orang, benda kecil cepat jadi kecoh."
