motivation_id,primary_bucket,secondary_bucket,buyer_stage,persona_fit,boldness_level,usage_context,sales_mechanism,best_content_format,best_platform_surface,bundle_potential,repeat_purchase_potential,strongest_hook_from_this_motivation,expansion_priority,notes_for_angle_generation
BM001,STANDBY_BEFORE_NEED,FAMILY_HOME,cold_scroll,universal_household,BOLD,rumah,before_need_preparation,poster_ad,poster_ads,HIGH,MEDIUM,Jangan tunggu badan buat hal baru tercari-cari.,HIGH,"Core angle. Expand into rumah wajib ada, jangan tunggu kecoh, rumah belum lengkap."
BM002,STANDBY_BEFORE_NEED,PRACTICAL_STORAGE,warm_interest,universal_household,BOLD,laci,fear_of_not_having,POV_scene,TikTok_Shop_video,MEDIUM,MEDIUM,Badan tak bagi notis sebelum buat perangai.,HIGH,Use sudden-problem scene. Strong for short POV: orang kelam-kabut cari minyak.
BM003,FAMILY_HOME,NOSTALGIA_TRUST,cold_scroll,family_home_buyer,MODERATE,rumah,family_responsibility,UGC_talking_head,TikTok_Shop_video,MEDIUM,HIGH,Mak ayah kita bukan saja-saja simpan minyak macam ni.,HIGH,"Expand into “orang lama tahu”, “rumah mak ayah mesti ada”, trust-by-habit."
BM004,NOSTALGIA_TRUST,FAMILY_HOME,gift_buyer,anak_beli_untuk_parent,MODERATE,balik_kampung,gift_utility,hybrid_video,TikTok_Shop_video,HIGH,MEDIUM,Balik kampung jangan bawa tangan kosong yang tak berguna.,HIGH,"Good gifting angle. Push practical gift, bukan hadiah syok sendiri."
BM005,PRACTICAL_STORAGE,MULTI_BUY,ready_to_buy,universal_household,MODERATE,laci,practical_convenience,product_only_video,product_page_asset,HIGH,MEDIUM,Botol besar menyemak. Botol kecil ni masuk mana-mana.,HIGH,Turn size into buying reason. Great for product demo with hand/laci/beg/kereta.
BM006,PRACTICAL_STORAGE,FAMILY_HOME,cold_scroll,family_home_buyer,BOLD,laci,household_readiness,POV_scene,TikTok_Shop_video,MEDIUM,MEDIUM,"Laci rumah penuh benda random, tapi minyak standby tak ada?",HIGH,Sharp household shame angle. Expand into laci semak tapi benda perlu tak ada.
BM007,TRAVEL_CAR_BAG,STANDBY_BEFORE_NEED,cold_scroll,driver_travel,AGGRESSIVE,kereta,fear_of_not_having,POV_scene,TikTok_Shop_video,HIGH,MEDIUM,Roadtrip boleh jadi neraka bila badan mula tak sedap.,HIGH,"Very strong. Expand into roadtrip, balik kampung, drive jauh, kereta sebagai second home."
BM008,TRAVEL_CAR_BAG,PRACTICAL_STORAGE,warm_interest,impulse_tiktok_buyer,MODERATE,beg,practical_convenience,UGC_talking_head,TikTok_Shop_video,HIGH,MEDIUM,"Ada barang yang patut duduk dalam beg, bukan tunggu rumah.",HIGH,"Good EDC angle. Use handbag, pouch, sling bag, beg kerja."
BM009,TRAVEL_CAR_BAG,STANDBY_BEFORE_NEED,cold_scroll,driver_travel,BOLD,travel,fear_of_not_having,POV_scene,TikTok_Shop_video,HIGH,MEDIUM,"Powerbank kau ingat, minyak standby kau lupa?",HIGH,Modern vs basic contrast. Expand heavily for travel checklist content.
BM010,NOSTALGIA_TRUST,VISUAL_RECOGNITION,cold_scroll,nostalgia_buyer,MODERATE,rumah,nostalgia_trust,product_only_video,TikTok_Shop_video,MEDIUM,MEDIUM,Sekali tengok dah tahu — ini bukan produk pelik-pelik.,MEDIUM,"Good trust opener. Needs visual-heavy treatment, not long copy."
BM011,NOSTALGIA_TRUST,TIKTOK_CURIOSITY,cold_scroll,nostalgia_buyer,BOLD,rumah,nostalgia_trust,UGC_talking_head,TikTok_Shop_video,MEDIUM,HIGH,Bukan semua benda viral boleh dipercayai.,HIGH,Anti-hype angle. Strong against generic viral oils/products.
BM012,VISUAL_RECOGNITION,TIKTOK_CURIOSITY,cold_scroll,impulse_tiktok_buyer,BOLD,rumah,visual_recognition,product_only_video,TikTok_Shop_video,MEDIUM,MEDIUM,"Cap merah, minyak hijau — sekali lalu pun mata berhenti.",HIGH,"Great product-only asset. Expand into visual stop-scroll, object recognition."
BM013,FAMILY_HOME,STANDBY_BEFORE_NEED,cold_scroll,family_home_buyer,BOLD,rumah,household_readiness,poster_ad,poster_ads,MEDIUM,MEDIUM,Rumah cantik tak guna kalau benda basic pun tak ada.,HIGH,Sharp home-completeness angle. Works for poster and TikTok hook overlay.
BM014,MULTI_BUY,TRAVEL_CAR_BAG,ready_to_buy,universal_household,BOLD,rumah,multi_location_logic,carousel,TikTok_Shop_video,HIGH,HIGH,Satu botol memang tak cukup kalau kau selalu bergerak.,HIGH,"Core bundle mechanic. Expand into 3-bottle logic: rumah, kereta, beg."
BM015,STANDBY_BEFORE_NEED,MULTI_BUY,cold_scroll,universal_household,BOLD,rumah,before_need_preparation,poster_ad,poster_ads,HIGH,HIGH,Jangan tunggu perlu baru cari.,HIGH,"Core conversion angle. Can power ads, posters, live pin, product page."
BM016,FAMILY_HOME,PRACTICAL_STORAGE,cold_scroll,universal_household,MODERATE,rumah,household_readiness,UGC_talking_head,TikTok_Shop_video,MEDIUM,HIGH,Botol kecil ni jenis hero senyap dalam rumah.,HIGH,Good emotional utility angle. Expand into “tak nampak penting sampai perlu”.
BM017,FAMILY_HOME,PERSONA_SPECIFIC,warm_interest,family_home_buyer,MODERATE,rumah,family_responsibility,POV_scene,TikTok_Shop_video,HIGH,HIGH,Dalam rumah mesti ada satu barang yang semua orang cari bila tak selesa.,HIGH,"Family situation angle. Good for “ayah cari, mak cari, anak cari” montage."
BM018,NOSTALGIA_TRUST,FAMILY_HOME,cold_scroll,nostalgia_buyer,BOLD,rumah,nostalgia_trust,product_only_video,TikTok_Shop_video,MEDIUM,MEDIUM,"Kalau kau pernah buka almari rumah tok, kau tahu vibe ni.",HIGH,"Emotional stop-scroll. Expand with visual rumah tok, almari lama, kampung memory."
BM019,TIKTOK_CURIOSITY,VISUAL_RECOGNITION,cold_scroll,impulse_tiktok_buyer,BOLD,rumah,visual_recognition,product_only_video,TikTok_Shop_video,MEDIUM,LOW,"Tengah scroll TikTok, tiba-tiba nampak minyak macam dari almari tok.",HIGH,Excellent for TikTok product-only and curiosity openers.
BM020,TIKTOK_CURIOSITY,PRACTICAL_STORAGE,ready_to_buy,impulse_tiktok_buyer,MODERATE,rumah,impulse_low_friction,product_only_video,TikTok_Shop_video,MEDIUM,MEDIUM,Benda kecil macam ni memang bahaya — senang sangat masuk cart.,HIGH,"Impulse buying angle. Pair with price check, small size, cart filler."
BM021,MULTI_BUY,FAMILY_HOME,repeat_buyer,family_home_buyer,BOLD,rumah,multi_location_logic,poster_ad,TikTok_live_pin,HIGH,HIGH,"Bila satu rumah pakai, satu botol boleh hilang sekelip mata.",HIGH,Strong for repeat purchase and live selling. Push spare bottle logic.
BM022,FAMILY_HOME,NOSTALGIA_TRUST,gift_buyer,anak_beli_untuk_parent,MODERATE,balik_kampung,gift_utility,UGC_talking_head,TikTok_Shop_video,HIGH,MEDIUM,Nak belikan mak ayah sesuatu? Jangan asyik beli benda hiasan.,HIGH,Parent gifting angle. Expand into practical kasih sayang.
BM023,PERSONA_SPECIFIC,FAMILY_HOME,warm_interest,family_home_buyer,BOLD,rumah,family_responsibility,POV_scene,TikTok_Shop_video,MEDIUM,MEDIUM,"Bila rumah kecoh cari minyak, jangan jadi orang yang cuma tanya ‘mana letak?’",MEDIUM,Good spouse/responsibility angle. Use sparingly; strong but narrower.
BM024,PERSONA_SPECIFIC,STANDBY_BEFORE_NEED,cold_scroll,lelaki_bekerja,BOLD,kerja,practical_convenience,UGC_talking_head,TikTok_Shop_video,MEDIUM,MEDIUM,Balik kerja badan rasa macam kena hempap hari Isnin?,HIGH,"Strong worker pain hook. Expand for lelaki bekerja, office worker, retail worker."
BM025,TRAVEL_CAR_BAG,PERSONA_SPECIFIC,warm_interest,driver_travel,BOLD,kereta,practical_convenience,POV_scene,TikTok_Shop_video,HIGH,MEDIUM,"Kalau hidup kau banyak dalam kereta, minyak standby bukan optional.",HIGH,Strong driver niche. Good for Grab/driver/salesman/road warrior creative.
BM026,PERSONA_SPECIFIC,FAMILY_HOME,cold_scroll,mak_mak,BOLD,rumah,family_responsibility,UGC_talking_head,TikTok_Shop_video,HIGH,HIGH,Mak-mak tahu — benda kecil boleh jadi drama kalau tak standby.,HIGH,One of the best UGC lanes. Expand into “mak tak ada masa nak panik”.
BM027,PERSONA_SPECIFIC,PRACTICAL_STORAGE,cold_scroll,lelaki_bekerja,MODERATE,kerja,practical_convenience,UGC_talking_head,TikTok_Shop_video,MEDIUM,LOW,"Beg kerja penuh charger, tapi benda untuk badan sendiri tak ada?",MEDIUM,Useful but narrower. Works for office bag/work pouch content.
BM028,FAMILY_HOME,PRACTICAL_STORAGE,warm_interest,family_home_buyer,BOLD,rak,household_readiness,poster_ad,poster_ads,MEDIUM,MEDIUM,"Rak rumah nampak penuh, tapi minyak standby tak ada?",MEDIUM,Good poster copy. Expand into “nampak lengkap vs betul-betul lengkap”.
BM029,NOSTALGIA_TRUST,VISUAL_RECOGNITION,cold_scroll,nostalgia_buyer,MODERATE,rumah,nostalgia_trust,product_only_video,TikTok_Shop_video,MEDIUM,MEDIUM,Ada produk yang tak perlu explain — tengok label pun terus teringat rumah lama.,MEDIUM,Good visual nostalgia but may overlap BM018. Keep as support angle.
BM030,NOSTALGIA_TRUST,VISUAL_RECOGNITION,cold_scroll,universal_household,BOLD,rumah,nostalgia_trust,poster_ad,product_page_asset,MEDIUM,HIGH,Produk random boleh viral seminggu. Yang bertahan sejak 1958 lain cerita.,HIGH,Top trust proof. Build many ads around “bukan baru nak up”.
BM031,NOSTALGIA_TRUST,FAMILY_HOME,warm_interest,nostalgia_buyer,BOLD,rumah,nostalgia_trust,UGC_talking_head,TikTok_Shop_video,MEDIUM,HIGH,Petua orang lama jangan cepat sangat kau buang.,HIGH,Cultural trust angle. Strong Malay-market emotional driver.
BM032,NOSTALGIA_TRUST,VISUAL_RECOGNITION,warm_interest,nostalgia_buyer,MODERATE,rumah,nostalgia_trust,product_only_video,product_page_asset,LOW,MEDIUM,"Kalau nak minyak tradisional, cari yang rasa betul-betul tradisional.",MEDIUM,"Good product page proof chip, less strong as main hook."
BM033,VISUAL_RECOGNITION,TIKTOK_CURIOSITY,cold_scroll,impulse_tiktok_buyer,MODERATE,rumah,visual_recognition,product_only_video,TikTok_Shop_video,LOW,MEDIUM,Ingat satu benda je — Cap Burung.,MEDIUM,"Good memory device. Use for branding, not main conversion angle."
BM034,VISUAL_RECOGNITION,NOSTALGIA_TRUST,cold_scroll,nostalgia_buyer,MODERATE,rumah,visual_recognition,product_only_video,product_page_asset,LOW,LOW,Botol kaca hijau ni bukan vibe produk random kilang semalam.,MEDIUM,Nice aesthetic proof. Use in product-only closeup; not strongest sales engine.
BM035,PRACTICAL_STORAGE,STANDBY_BEFORE_NEED,cold_scroll,universal_household,BOLD,rumah,practical_convenience,UGC_talking_head,TikTok_Shop_video,MEDIUM,MEDIUM,Produk macam ni bukan untuk show off. Dia untuk ada bila perlu.,HIGH,"Strong anti-vanity angle. Very TikTok-native, practical, direct."
BM036,MULTI_BUY,FAMILY_HOME,ready_to_buy,family_home_buyer,BOLD,rumah,multi_location_logic,poster_ad,TikTok_live_pin,HIGH,HIGH,"Dalam rumah, minyak macam ni kalau ada satu memang cepat lesap.",HIGH,Bundle and repeat monster. Expand into “satu tak cukup”.
BM037,STANDBY_BEFORE_NEED,SEASONAL_CONTEXT,cold_scroll,universal_household,AGGRESSIVE,malam,fear_of_not_having,POV_scene,TikTok_Shop_video,MEDIUM,MEDIUM,"Bila perlu waktu malam, minyak pula tak ada.",HIGH,High tension. Great for fear-of-not-having ads.
BM038,STANDBY_BEFORE_NEED,FAMILY_HOME,cold_scroll,family_home_buyer,BOLD,rumah,household_readiness,poster_ad,poster_ads,MEDIUM,MEDIUM,Takkan minyak standby pun nak pinjam jiran?,MEDIUM,Sharp shame hook. Good but use selectively to avoid overuse.
