rank,motivation_id,persona_fit,boldness_level,UGC_angle,sample_subhook,sample_cta
1,BM_024,anak_beli_untuk_parent,AGGRESSIVE,"Nostalgia trigger — ""Siksa tengok mak ayah nak naik tangga surau sebab lutut bunyi ketat?""","""Minyak hijau herba pekat. Gosok tiap pagi, urat longgar langkah pun ringan.""",Beli Set Lutut
2,BM_026,anak_beli_untuk_parent,AGGRESSIVE,"Use moment — ""Balik kenduri perut rasa senak gas penuh? Nak sendawa tapi tak lepas.""","""Urut membulat minyak cap burung ni kat perut. Kejap lagi confirm sendawa puas.""",Beli Set Sendawa
3,BM_057,lelaki_bekerja,AGGRESSIVE,"Use moment — ""Kaki game yang main sampai subuh confirm wrist tangan rasa kejang guna mouse?""","""Jangan biar urat tangan rosak muda. Standby botol kecil ni tepi keyboard kau.""",Klik Beli Kaki Game
4,BM_001,mak_mak,AGGRESSIVE,"Problem callout — ""Anak mula meragam pukul 2 pagi, waktu tu baru kau nak menggelimpang cari minyak?""","""Jangan tunggu anak melalak baru nak geledah almari. Sapu siap-siap.""",Tap Beg Kuning Standby
5,BM_004,anak_beli_untuk_parent,AGGRESSIVE,"Small bottle practicality — ""Bawa minyak besar-besar dalam beg travel buat menyemak jer. Guna yang ni.""","""Saiz 25ml, kaca hijau tebal. Sumbat celah zip pun tak risau pecah atau tumpah.""",Beli Saiz Travel
6,BM_005,anak_beli_untuk_parent,MODERATE,"Nostalgia trigger — ""Orang tua kalau dah start sebu perut, dia tak cari ubat moden. Dia cari yang ni.""","""Minyak Hijau formula asli. Sekali urut, angin lama terus keluar bertubi-tubi.""",Borong Untuk Tok
7,BM_015,anak_beli_untuk_parent,SOFT,"Nostalgia trigger — ""Orang tua kalau malam selalu terjaga sebab kaki sejuk? Sapu minyak herba ni.""","""Formula asli sejak 1958, panaskan tapak kaki sebelum tidur supaya lena.""",Beli Set Warga Emas
8,BM_016,lelaki_bekerja,AGGRESSIVE,"Use moment — ""Duduk menghadap laptop 8 jam, leher rasa macam kena simen. Keras gila.""","""Sapu minyak cap burung ni dekat tengkuk. Bau herba segar, urat pun longgar.""",Simpan Di Ofis
9,BM_018,mak_mak,AGGRESSIVE,"Family situation — ""Ayah kau kalau dah start berkebun, petang confirm mengadu tangan kebas.""","""Bagi dia minyak hijau cap burung. Sekali tonyoh, urat tegang terus lembut.""",Beli Untuk Ayah
10,BM_045,driver_travel,MODERATE,"Travel/kereta/beg — ""Panjat gunung beg nak kena ringan, tapi minyak urut wajib bawa. Guna yang ni.""","""Botol kaca hijau tebal 25ml. Tak makan ruang beg, lutut start longgar terus gosok.""",Beli Set Hiking
