source_batch,source_file,source_sheet,import_version,source_sequence,source_motivation_id,buyer_motivation_row_id,rank,product_only_reason
2026-06-19_xlsx,mwtcb_copywriting_landbank.xlsx,ProductOnly Top10,2026-06-19_initial_landbank,1,BM012,MWTCB_25ML__xlsx__BM012,1,Cap merah + minyak hijau = instant visual hook.
2026-06-19_xlsx,mwtcb_copywriting_landbank.xlsx,ProductOnly Top10,2026-06-19_initial_landbank,2,BM057,MWTCB_25ML__xlsx__BM057,2,Produk sendiri boleh stop scroll tanpa talent.
2026-06-19_xlsx,mwtcb_copywriting_landbank.xlsx,ProductOnly Top10,2026-06-19_initial_landbank,3,BM019,MWTCB_25ML__xlsx__BM019,3,Vibe almari tok buat orang curious.
2026-06-19_xlsx,mwtcb_copywriting_landbank.xlsx,ProductOnly Top10,2026-06-19_initial_landbank,4,BM034,MWTCB_25ML__xlsx__BM034,4,Botol kaca hijau nampak klasik dan closeup-friendly.
2026-06-19_xlsx,mwtcb_copywriting_landbank.xlsx,ProductOnly Top10,2026-06-19_initial_landbank,5,BM052,MWTCB_25ML__xlsx__BM052,5,Cap merah sebagai quick-find proof dalam laci.
2026-06-19_xlsx,mwtcb_copywriting_landbank.xlsx,ProductOnly Top10,2026-06-19_initial_landbank,6,BM020,MWTCB_25ML__xlsx__BM020,6,Botol kecil senang masuk cart.
2026-06-19_xlsx,mwtcb_copywriting_landbank.xlsx,ProductOnly Top10,2026-06-19_initial_landbank,7,BM033,MWTCB_25ML__xlsx__BM033,7,Logo Cap Burung mudah ingat.
2026-06-19_xlsx,mwtcb_copywriting_landbank.xlsx,ProductOnly Top10,2026-06-19_initial_landbank,8,BM005,MWTCB_25ML__xlsx__BM005,8,"Demo masuk laci, beg, kereta."
2026-06-19_xlsx,mwtcb_copywriting_landbank.xlsx,ProductOnly Top10,2026-06-19_initial_landbank,9,BM030,MWTCB_25ML__xlsx__BM030,9,Overlay “Sejak 1958” kuat untuk trust.
2026-06-19_xlsx,mwtcb_copywriting_landbank.xlsx,ProductOnly Top10,2026-06-19_initial_landbank,10,BM056,MWTCB_25ML__xlsx__BM056,10,Trust signal pada label boleh jadi hero frame.
